gene,logFC,logCPM,LR,PValue,FDR
EGFL7,1.39375359596133,2.51780258898152,45.2368711302015,1.74587007970909e-11,1.97143649400751e-07
LILRB2,-0.859905419111434,4.60163901899972,31.9019981538059,1.62150268006284e-08,9.15500413163477e-05
PDGFD,2.19592102490593,5.16024013530727,30.7055908782011,3.00298538096682e-08,0.000113032369739591
TENM4,2.05515177568539,2.01572205240797,24.7319604221951,6.58825544972328e-07,0.00185986451345688
SLC16A1,1.05319389707494,2.52172866189248,23.0712537089008,1.56107267023504e-06,0.00352552651845881
ZCCHC24,1.04977910788586,3.95082420661361,22.5579310493935,2.03901006487415e-06,0.00383741694209314
NID1,1.98775598768254,1.97981844752134,22.126568259178,2.55252518653229e-06,0.00411758777233181
SH3BP5,-0.647480503858288,6.80970873379717,21.6573875697863,3.2595222614547e-06,0.00454309086949184
LCN2,-2.05311344077261,0.370603330613046,21.3488075199441,3.82858824808017e-06,0.00454309086949184
TNS1,-2.56301927627276,1.81419482249953,21.2537224767868,4.02328273954289e-06,0.00454309086949184
GATM,-1.93657173420507,1.17050939722744,19.6706404977682,9.2004110565459e-06,0.00944464015004693
LMAN1,0.371472072291108,6.91010504256103,19.3878318990165,1.06684647573403e-05,0.0100390253366572
HEXA,0.431556327510012,7.76384330973042,18.8781123630012,1.39342312288032e-05,0.0121034876181266
NPEPL1,-0.448697436536049,4.57074591982347,18.1279111757259,2.06551500152248e-05,0.0166598538551371
NR4A3,-1.94688203229876,1.15109954512605,17.7029748766464,2.58222449459179e-05,0.019438985995287
WFDC2,-1.31632157233898,1.16363312277141,17.4529093424941,2.94513207496384e-05,0.0198737035738904
RMI2,-1.64093372419514,0.980593181093026,17.3357197867131,3.13243207779729e-05,0.0198737035738904
CDA,-2.30197157694233,1.61841386748363,17.3142840874922,3.16796550062015e-05,0.0198737035738904
EPB41L4A,0.71626365028539,4.67136499354373,17.0479098227962,3.64484719327047e-05,0.0216619023717948
ERAP2,-2.00071416084435,5.95466666964189,16.945155907061,3.84753701490455e-05,0.0217231939861511
DHRS9,1.10685477648194,2.65092255019672,16.8072073396268,4.13758582090942e-05,0.0222483900427186
BIRC7,3.07999112319454,1.4190206115489,16.6842402483262,4.41462206408644e-05,0.0226590510671201
FAH,0.59752046851774,3.91190295326783,16.524409009744,4.80278009834327e-05,0.0235795621176053
INHBA-AS1,-1.08335053128041,0.876606140377771,16.1857211923065,5.74253435530699e-05,0.0270186241417194
FUCA2,0.346328726615309,6.16709757638252,15.9885113316775,6.37280418540105e-05,0.0273924580743223
ABHD5,-0.489451157268482,7.98746828056088,15.9883329776615,6.37340459606505e-05,0.0273924580743223
PIK3R1,0.370447367594822,5.39931722058797,15.9366707075061,6.54973758418971e-05,0.0273924580743223
SIGLEC12,2.1437780373086,4.17328353094534,15.6356925576182,7.67913624595818e-05,0.0309688594604856
KLHDC7B,0.999175754967694,1.48841585287236,15.5375958818399,8.08805865725312e-05,0.0314932270198973
SKAP1,1.52625037402534,2.83445569890289,15.3529625941387,8.91809771199606e-05,0.0335677197879532
DENND2D,0.372185180873665,5.42848596685522,15.2245068612726,9.54565964055947e-05,0.0337035199695433
CHML,-1.05249382178576,4.80330093320239,15.1949442105608,9.69626739680304e-05,0.0337035199695433
LINC01597,-1.07672964769614,0.748924969211668,15.1181813897701,0.000100986001207931,0.0337035199695433
SELL,1.18611635319191,0.473391964513173,15.1089566588294,0.000101480665866496,0.0337035199695433
HLA-DQA2,-5.10333828628549,7.41485517119595,14.9906775429776,0.000108043611395968,0.034857955996665
MLXIP,-0.407241855177181,4.53154912645738,14.8801367321922,0.00011456297418009,0.0359345862344882
AKR1C1,2.12703993287932,3.19127891587232,14.8149345961669,0.000118592606127945,0.0361330394983846
DTNA,1.35488777817685,3.35086217386957,14.7677811326635,0.000121595421620494,0.0361330394983846
IFI6,0.686135160476226,9.31311924594075,14.5666449535765,0.000135288217170865,0.0389108424292308
FTL,0.354057021638693,15.4905564297538,14.5315052679158,0.000137835077680591,0.0389108424292308
VAMP4,0.388217292444531,4.97497625915738,14.4095744629468,0.000147052741123801,0.0399403693341294
MELTF-AS1,1.2486272387873,0.130438606928971,14.3193576990314,0.000154270308900747,0.0399403693341294
ARPC3,-0.210314535074295,10.1298288527011,14.2770213218048,0.000157779283240789,0.0399403693341294
HELLS,-0.823347914793244,1.52065265029288,14.2204866204954,0.000162590731438809,0.0399403693341294
DDHD1,-0.41294555246087,6.57350404408911,14.1888957521007,0.000165343384325824,0.0399403693341294
SYP,-0.897261768984249,1.24793167085425,14.1604487844789,0.000167862237127698,0.0399403693341294
CCL20,-3.48630004778555,4.23530080691367,14.1424959433377,0.000169471737000718,0.0399403693341294
LINC-PINT,-1.14913904484593,5.0166502198681,14.1242947802806,0.000171119367707975,0.0399403693341294
DUSP2,-2.53338056648592,2.23677078771908,14.0431699163378,0.000178661532108054,0.0399403693341294
TANGO2,-0.560971754064612,4.40285594126343,14.0333604265165,0.000179595925417576,0.0399403693341294
KCTD21-AS1,1.19347944469735,0.0908469433423129,14.0250690153786,0.000180389553315675,0.0399403693341294
NUAK2,-1.61740415094573,0.18581988508635,13.8520435464557,0.000197781536813553,0.0418512909718785
OIP5-AS1,-0.672244546572565,5.8380638356807,13.8443474447615,0.000198593221098061,0.0418512909718785
CTSC,0.462702814236517,10.5650947432738,13.8297780588381,0.000200139011023861,0.0418512909718785
ANKRD44,-0.346895625975863,5.46126520024799,13.7244726898957,0.000211678185812703,0.0434594558944918
TNNI2,0.622889083205555,6.92631496018141,13.6001218174396,0.000226170849002816,0.0456057361953535
CENPM,-1.26946441423771,0.195583835117969,13.4066737141421,0.000250730635117711,0.0496710584517403
PLEKHG2,-1.86872480900821,1.36089627756941,13.2849327479935,0.000267547627362681,0.0520366463887612
AMIGO2,0.534822012919065,7.35824925898308,13.2224830538556,0.000276610923854307,0.0520366463887612
RMDN3,0.523028682118128,7.1435037153849,13.2029668782667,0.00027950629223219,0.0520366463887612
SYT11,-0.709601446284537,3.17716268340096,13.19227928157,0.000281104802489765,0.0520366463887612
GPI,0.308516710725614,6.55532780961042,13.1024704154997,0.000294906619125107,0.0537110571477534
MBOAT7,-0.366480188552906,4.40142279648056,13.0456047888582,0.000303996976563477,0.0539992377467994
LINC01220,-1.16733670831451,1.6735361480375,13.0329805723074,0.000306053065514981,0.0539992377467994
DZANK1,-0.685213359191789,2.22678118927599,12.9822506479739,0.000314457746444826,0.0546285672746919
C2orf27A,-2.69668478568169,1.04537457202625,12.9043596939789,0.000327817660531677,0.0558926588156847
TMPRSS11E,2.45296972032904,2.0385189014706,12.8826983950683,0.000331633735445526,0.0558926588156847
SSH2,-0.311983024423356,5.6752945704311,12.6916762862567,0.000367286863799799,0.0608226188690116
STAG3,0.815759151716617,1.16868630707925,12.6695555293544,0.000371657873004056,0.0608226188690116
YEATS4,-0.399937394974517,4.42193214233396,12.5996353225439,0.000385822025559875,0.0620866291614107
FAM216A,-0.984794006817307,0.664239225821285,12.5776935557176,0.000390378203193425,0.0620866291614107
MFGE8,1.82508772327739,2.83565063085956,12.1710613153546,0.000485366812611147,0.0761216951111816
LINC00339,-0.909348191857298,3.64107936939105,12.1056006657776,0.000502706001513869,0.077761043412255
PRKCB,-1.40802797063592,1.19677868085108,12.0575213577718,0.000515838323180717,0.0778764770003638
PKD2L1,0.571619642549363,4.23284917140695,12.0524430776795,0.000517245463604967,0.0778764770003638
