,logFC,logCPM,LR,PValue,FDR
LILRB2,-0.661548646991802,4.59237125939185,38.3622549571646,5.87579390010177e-10,4.07195383025581e-06
CLIC2,-0.93228070457817,3.10814162372915,37.9592926989172,7.22361864512296e-10,4.07195383025581e-06
SYNE1,-1.08679062757402,1.16683229763935,28.184170354393,1.10303000753309e-07,0.000414518676830935
MMP14,-0.859864584711349,3.58112256712034,25.0033525579189,5.72307149526053e-07,0.00161304770093918
ARHGAP12,1.1336253939624,1.35890099742362,22.5643775917285,2.03217938331761e-06,0.00458215807350454
GPD1,0.447906596928022,7.51537811218745,20.2536202622828,6.78249949127943e-06,0.012744316544114
RGS9,-0.726875062631239,2.72743948215839,18.9304468259235,1.35571634517274e-05,0.021834780107825
SLC37A1,-0.835085911094818,4.63293134428277,17.3558886302066,3.0993644998001e-05,0.0358800174155788
SLC46A1,-1.11951728198029,1.88386946201152,17.3254930229916,3.14933448561469e-05,0.0358800174155788
ARPIN,-0.416519983336691,5.23821823014841,17.305558497712,3.18254545108913e-05,0.0358800174155788
RRAS,-0.298677371613274,5.85961032432194,16.9312825609277,3.8757579124555e-05,0.0397229951863848
DHRS9,0.860887390388195,2.68987398734067,16.5922770916594,4.63393351497488e-05,0.043535805373189
SLC28A3,-2.05739747916135,1.30780713289693,15.2200272305648,9.56832900917834e-05,0.0786617102964504
SIRPB1,0.728642097966073,6.71444649189992,15.1459099608213,9.95136522653319e-05,0.0786617102964504
GSTT2B,-1.03667804966574,1.08029543379773,15.019339956153,0.000106415017875814,0.0786617102964504
PDE6G,-0.825785797275894,2.78236912124957,14.9289565559237,0.000111636275034877,0.0786617102964504
PRR5L,-1.26315007920008,1.02971926633439,14.613588952986,0.000131959563580518,0.0850112644744585
TLE1,-0.639462675506112,3.28405113258198,14.4765173243941,0.000141917737582527,0.0850112644744585
PLA2G4C,-1.10105349852025,1.13253811941332,14.4586687059677,0.000143268939596834,0.0850112644744585
ARHGEF5,0.571356277157968,3.13288725310332,14.2382269107549,0.000161065224330149,0.0907924669549051
DLG5,-0.886852461017054,0.589814783046946,14.0778021310191,0.000175401658981106,0.0941656334929993
PRKCB,-0.89207491801799,0.975935536325204,13.8562205525465,0.00019734240080087,0.0962021853285243
FAM228A,-1.11097955589252,0.526523054502541,13.8521232043168,0.00019777315304131,0.0962021853285243
SCGB1A1,0.779422387594079,2.84182482958032,13.7865749630023,0.000204794433908514,0.0962021853285243
UGCG,0.618644011258825,5.43876706425408,13.6963340336127,0.000214873519394241,0.0968993623060268
RHOBTB3,-0.878443129485245,1.19457973811411,13.3194771011714,0.000262663415234873,0.111602562867775
REPS1,-0.434999405126187,4.1553989143835,13.286837386037,0.000267275962163377,0.111602562867775
SIGLEC12,-1.86717554746327,4.36512813079204,13.189879798321,0.000281464950584742,0.113329851889013
PIWIL4,-0.900376887328336,0.537415738154941,13.0813584211854,0.000298249085232579,0.115946902996969
