,Set,N,DE,P.DE,FDR
1,GOCC_SECRETORY_GRANULE,731,22,7.52709494579994e-09,0.000121133538962758
2,GOCC_SECRETORY_VESICLE,867,23,3.44203555118918e-08,0.000276963390626438
3,GOCC_TERTIARY_GRANULE,151,10,1.06580761127266e-07,0.000571734729607031
4,GOCC_SECRETORY_GRANULE_MEMBRANE,281,11,4.55447977095484e-06,0.0183238107384941
5,GOCC_VESICLE_MEMBRANE,1094,22,7.10210854230826e-06,0.0203018346192281
6,GOBP_HEPATOCYTE_APOPTOTIC_PROCESS,19,4,8.04448547453769e-06,0.0203018346192281
7,GOCC_PIGMENT_GRANULE,105,7,8.83072406230017e-06,0.0203018346192281
8,GOCC_CELL_SURFACE,717,17,1.0797029952027e-05,0.0217195753772464
9,GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,602,15,2.07211390906842e-05,0.0370516990429312
10,GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,339,11,2.63388019595642e-05,0.0423870339935266
11,GOBP_LEUKOCYTE_MIGRATION,343,11,2.93218518754944e-05,0.0428978692938483
12,GOBP_CELL_ADHESION,1216,22,3.61802764816676e-05,0.0485207657849563
13,GOMF_CALCIUM_ION_BINDING,491,13,4.07027744022666e-05,0.0500994937634494
14,GOCC_FICOLIN_1_RICH_GRANULE_MEMBRANE,56,5,4.37705133977072e-05,0.0500994937634494
15,GOBP_DENDRITIC_CELL_MIGRATION,29,4,4.66968499628249e-05,0.0500994937634494
16,GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,986,19,5.64327293665357e-05,0.0532300576860569
17,GOCC_ENDOPLASMIC_RETICULUM_LUMEN,246,9,5.81758131944797e-05,0.0532300576860569
18,GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,141,7,5.95377517149707e-05,0.0532300576860569
19,GOBP_ACTIN_FILAMENT_BASED_PROCESS,690,15,9.72421847615923e-05,0.0823641304930687
20,GOBP_CELL_CHEMOTAXIS,266,9,0.000105726055898887,0.0850724708790395
