,Set,N,DE,P.DE,FDR
1,GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,947,20,1.98632584092937e-09,3.19659417580764e-05
2,GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,1356,23,6.53392436847517e-09,5.25752224309355e-05
3,GOBP_CELLULAR_RESPONSE_TO_ORGANIC_SUBSTANCE,1610,24,3.44418876167992e-08,0.000184757765805717
4,GOBP_CELL_CELL_SIGNALING,940,18,6.4422935377844e-08,0.000259189574758911
5,GOBP_CELL_MOTILITY,1415,21,3.25352944516574e-07,0.00104600893376053
6,GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,1320,20,4.75493777099542e-07,0.00104600893376053
7,GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,1080,18,5.02894185972335e-07,0.00104600893376053
8,GOBP_POSITIVE_REGULATION_OF_BEHAVIOR,16,4,5.19982071092043e-07,0.00104600893376053
9,GOBP_POSITIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,20,4,1.36646906286667e-06,0.00231592468333993
10,GOBP_CELLULAR_RESPONSE_TO_LIPID,507,12,1.47000315626191e-06,0.00231592468333993
11,GOBP_INFLAMMATORY_RESPONSE,716,14,1.75624391624703e-06,0.00231592468333993
12,GOCC_CELL_SURFACE,717,14,1.78513424296543e-06,0.00231592468333993
13,GOBP_LEUKOCYTE_MIGRATION,343,10,1.87081469480017e-06,0.00231592468333993
14,GOBP_RESPONSE_TO_LIPID,742,14,2.66061647384437e-06,0.00305837863668411
15,GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,24,4,2.95846940951474e-06,0.00312480772235092
16,GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,752,14,3.10674973949014e-06,0.00312480772235092
17,GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION,998,16,3.91331130645708e-06,0.00370452463851845
18,GOBP_REGULATION_OF_TRANSPORT,1279,18,5.55016994687047e-06,0.00496216027527702
19,GOBP_REGULATION_OF_SYSTEM_PROCESS,391,10,5.9751321152245e-06,0.00506093690159515
20,GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,940,15,8.63363540902681e-06,0.00694705473187342
