,Set,N,DE,P.DE,FDR
1,HALLMARK_ESTROGEN_RESPONSE_EARLY,183,9,8.42327602245953e-06,0.000421163801122977
2,HALLMARK_MYOGENESIS,155,6,0.000996490827441624,0.0249122706860406
3,HALLMARK_COMPLEMENT,187,6,0.00258306754239412,0.0351073065349423
4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,198,6,0.00342514560677968,0.0351073065349423
5,HALLMARK_MITOTIC_SPINDLE,199,6,0.00351073065349423,0.0351073065349423
6,HALLMARK_APOPTOSIS,153,5,0.00541518362669165,0.0395758968017781
7,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,3,0.00554062555224893,0.0395758968017781
8,HALLMARK_ADIPOGENESIS,191,5,0.0133584126217116,0.0757604248392807
9,HALLMARK_IL2_STAT5_SIGNALING,192,5,0.0136368764710705,0.0757604248392807
10,HALLMARK_UV_RESPONSE_UP,145,4,0.0220493837410446,0.110246918705223
11,HALLMARK_ANDROGEN_RESPONSE,97,3,0.0344264403331537,0.146639023335732
12,HALLMARK_XENOBIOTIC_METABOLISM,168,4,0.0351933656005757,0.146639023335732
13,HALLMARK_KRAS_SIGNALING_UP,173,4,0.0385396502610092,0.148229424080805
14,HALLMARK_INTERFERON_GAMMA_RESPONSE,195,4,0.0553575488146078,0.197705531480742
15,HALLMARK_APICAL_JUNCTION,172,3,0.132266649837004,0.403206404014296
16,HALLMARK_HEME_METABOLISM,178,3,0.142297550092096,0.403206404014296
17,HALLMARK_PANCREAS_BETA_CELLS,21,1,0.143035044426961,0.403206404014296
18,HALLMARK_PROTEIN_SECRETION,94,2,0.151030154043268,0.403206404014296
19,HALLMARK_ALLOGRAFT_REJECTION,185,3,0.154309663634635,0.403206404014296
20,HALLMARK_P53_PATHWAY,194,3,0.170200691824135,0.403206404014296
