,Set,N,DE,P.DE,FDR,DEG.GENES
1,WP_ADHD_AND_AUTISM_ASD_PATHWAYS,270,4,0.00575123868543707,1,GATM,PIK3R1,AKR1C1,SYP
2,WP_OREXIN_RECEPTOR_PATHWAY,154,3,0.0080006686974501,1,NR4A3,PIK3R1,CHML
3,WP_TYROSINE_METABOLISM_AND_RELATED_DISORDERS,4,1,0.0105887977330671,1,FAH
4,WP_FERROPTOSIS,61,2,0.0114853665107449,1,AKR1C1,FTL
5,WP_CREATINE_PATHWAY,5,1,0.0132187379741238,1,GATM
6,WP_STEROID_HORMONE_PRECURSOR_BIOSYNTHESIS,5,1,0.0132187379741238,1,AKR1C1
7,WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,187,3,0.0135187220601531,1,SKAP1,IFI6,CCL20
8,WP_METASTATIC_BRAIN_TUMOR,6,1,0.0158418099293295,1,PIK3R1
9,WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,77,2,0.0178740140096716,1,PDGFD,PIK3R1
10,WP_BENZOAPYRENE_METABOLISM,7,1,0.0184580312162439,1,AKR1C1
11,WP_APOPTOSIS,84,2,0.021044928552186,1,PIK3R1,HELLS
12,WP_BIOMARKERS_FOR_UREA_CYCLE_DISORDERS,8,1,0.021067419408058,1,GATM
13,WP_GLUCOSE_METABOLISM_IN_TRIPLENEGATIVE_BREAST_CANCER_CELLS,8,1,0.021067419408058,1,SLC16A1
14,WP_KETOGENESIS_AND_KETOLYSIS,8,1,0.021067419408058,1,SLC16A1
15,WP_TCELL_RECEPTOR_SIGNALING,89,2,0.0234425202381376,1,PIK3R1,SKAP1
16,WP_MINERALOCORTICOID_BIOSYNTHESIS,9,1,0.0236699920336987,1,AKR1C1
17,WP_5Q35_COPY_NUMBER_VARIATION,90,2,0.0239349687736159,1,ABHD5,PIK3R1
18,WP_SMALL_CELL_LUNG_CANCER,90,2,0.0239349687736159,1,BIRC7,PIK3R1
19,WP_GLUCOCORTICOID_BIOSYNTHESIS,10,1,0.0262657665779438,1,AKR1C1
20,WP_GANGLIO_SERIES_SPHINGOLIPID_METABOLISM,12,1,0.0314369911412558,1,HEXA
21,WP_LACTATE_SHUTTLE_IN_GLIAL_CELLS,12,1,0.0314369911412558,1,SLC16A1
22,WP_NANOPARTICLE_TRIGGERED_REGULATED_NECROSIS,12,1,0.0314369911412558,1,FTL
23,WP_RETINOL_METABOLISM,13,1,0.0340124759100994,1,DHRS9
24,WP_CANCER_IMMUNOTHERAPY_BY_CTLA4_BLOCKADE,14,1,0.0365812320973227,1,PIK3R1
25,WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,15,1,0.0391432769685773,1,HEXA
26,WP_IRON_METABOLISM_DISORDERS,15,1,0.0391432769685773,1,FTL
27,WP_GLYCOSAMINOGLYCAN_DEGRADATION,16,1,0.0416986277460126,1,HEXA
28,WP_IL9_SIGNALING,16,1,0.0416986277460126,1,PIK3R1
29,WP_EBOLA_VIRUS_INFECTION_IN_HOST,122,2,0.0418041330216398,1,PIK3R1,HLA-DQA2
30,WP_HYPERTROPHY_MODEL,17,1,0.0442473016083902,1,NR4A3
31,WP_UREA_CYCLE_AND_METABOLISM_OF_AMINO_GROUPS,19,1,0.0493246870866842,1,GATM
32,WP_INTERFERONMEDIATED_SIGNALING,20,1,0.051853432844119,1,PIK3R1
33,WP_ROLES_OF_CERAMIDES_IN_DEVELOPMENT_OF_INSULIN_RESISTANCE,20,1,0.051853432844119,1,PIK3R1
34,WP_NONALCOHOLIC_FATTY_LIVER_DISEASE,141,2,0.0541551846121945,1,PIK3R1,MLXIP
35,WP_EBSTEINBARR_VIRUS_LMP1_SIGNALING,23,1,0.0594000861364066,1,CCL20
36,WP_CHEMOKINE_SIGNALING,149,2,0.0596971793612896,1,PIK3R1,CCL20
37,WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION,25,1,0.0643983707814664,1,PIK3R1
38,WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY,25,1,0.0643983707814664,1,PDGFD
39,WP_IL7_SIGNALING,25,1,0.0643983707814664,1,PIK3R1
40,WP_13Q1212_COPY_NUMBER_VARIATION,26,1,0.0668877183455541,1,DTNA
41,WP_MBDNF_AND_PROBDNF_REGULATION_OF_GABA_NEUROTRANSMISSION,26,1,0.0668877183455541,1,PIK3R1
42,WP_4P163_COPY_NUMBER_VARIATION,27,1,0.0693705584190442,1,PIK3R1
43,WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,27,1,0.0693705584190442,1,TNNI2
44,WP_LIPID_METABOLISM_PATHWAY,28,1,0.0718469077103989,1,ABHD5
45,WP_PDGFRBETA_PATHWAY,29,1,0.0743167828859597,1,PIK3R1
46,WP_FOCAL_ADHESION,172,2,0.0766380132241531,1,PDGFD,PIK3R1
47,WP_METABOLIC_PATHWAYS_OF_FIBROBLASTS,30,1,0.0767802005700491,1,SLC16A1
48,WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME,31,1,0.079237177345075,1,DUSP2
49,WP_FLUOROPYRIMIDINE_ACTIVITY,31,1,0.079237177345075,1,CDA
50,WP_PI3KAKTMTOR_SIGNALING_AND_THERAPEUTIC_OPPORTUNITIES_IN_PROSTATE_CANCER,32,1,0.0816877297516362,1,PIK3R1
