,NGenes,Direction,PValue,FDR
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Up,6.56653797682964e-12,9.85637350322129e-09
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Up,1.28317107885537e-08,9.5972017399934e-06
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Up,2.10153983863527e-08,9.5972017399934e-06
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,98,Up,2.55754876482169e-08,9.5972017399934e-06
REACTOME_SELENOAMINO_ACID_METABOLISM,100,Up,5.39648013220428e-08,1.62002333568772e-05
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,109,Up,7.20714385950085e-08,1.80298715551846e-05
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,51,Down,1.82364761998364e-05,0.00391042153942205
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,59,Up,3.35511162053906e-05,0.0057440375533214
REACTOME_KERATAN_SULFATE_DEGRADATION,6,Down,3.44412644769438e-05,0.0057440375533214
REACTOME_OAS_ANTIVIRAL_RESPONSE,8,Down,4.61533075152907e-05,0.00674687242503195
REACTOME_INFLUENZA_INFECTION,152,Up,4.94441017157571e-05,0.00674687242503195
REACTOME_CHOLESTEROL_BIOSYNTHESIS,23,Down,6.04956299280034e-05,0.00756699504349443
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,15,Down,0.000264254514264511,0.0300940658160821
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,4,Up,0.000280690820403165,0.0300940658160821
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,46,Down,0.000329527883500802,0.0305763065143573
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,155,Up,0.00034528948495987,0.0305763065143573
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,61,Down,0.00034630060675821,0.0305763065143573
REACTOME_DISEASES_OF_GLYCOSYLATION,73,Down,0.000418377375834416,0.034888024507081
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,36,Down,0.000712236275180968,0.0562666657392965
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,161,Down,0.000851038415076672,0.0638704330515042
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR,39,Down,0.000918814408538362,0.0656733536769563
REACTOME_PTK6_REGULATES_RHO_GTPASES_RAS_GTPASE_AND_MAP_KINASES,13,Down,0.00100853075662063,0.0663259190594991
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,17,Down,0.00101631987899299,0.0663259190594991
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,6,Down,0.0012072380592603,0.0755026802895713
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES,10,Down,0.00145807248410958,0.0875426719459395
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,10,Down,0.00163238050341577,0.0896201881975806
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,16,Down,0.00164816490047818,0.0896201881975806
REACTOME_CS_DS_DEGRADATION,8,Down,0.00167179564925533,0.0896201881975806
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,78,Down,0.0017356448065213,0.0898345811927059
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,47,Down,0.00209707393098698,0.101567723861
REACTOME_DISEASES_OF_METABOLISM,136,Down,0.00209766784789541,0.101567723861
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,5,Up,0.00238306102155327,0.109277331484238
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,25,Down,0.00242250099366932,0.109277331484238
REACTOME_NEUTROPHIL_DEGRANULATION,385,Down,0.0025024596169722,0.109277331484238
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,22,Down,0.00254810566418943,0.109277331484238
REACTOME_GAP_JUNCTION_DEGRADATION,9,Down,0.00281408807081054,0.117331838730184
REACTOME_RRNA_PROCESSING,197,Up,0.00303546283498908,0.119062665941857
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,244,Down,0.00310178950948053,0.119062665941857
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,18,Down,0.00317213430177002,0.119062665941857
REACTOME_SPHINGOLIPID_METABOLISM,61,Down,0.0031728891656724,0.119062665941857
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,184,Up,0.00356480086943128,0.130506490366253
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,12,Down,0.00386908564393623,0.134950384907749
