,NGenes,Direction,PValue,FDR
GO_COLLAGEN_CATABOLIC_PROCESS,15,Up,3.221543963898e-06,0.0238302025534969
GO_ENDOLYSOSOME_LUMEN,5,Up,4.7513114452192e-06,0.0238302025534969
GO_MHC_CLASS_II_PROTEIN_COMPLEX,13,Up,7.91060498790135e-06,0.0264504262112128
GO_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_BIOSYNTHETIC_PROCESS,3,Up,0.000111428786322564,0.257906426559006
GO_ZINC_ION_HOMEOSTASIS,19,Up,0.00014698760819596,0.257906426559006
GO_NADH_DEHYDROGENASE_ACTIVITY,37,Up,0.000154265632474732,0.257906426559006
GO_SOLUTE_SODIUM_SYMPORTER_ACTIVITY,14,Up,0.000256231428319579,0.332256993334438
GO_FIBRONECTIN_BINDING,13,Up,0.000268005042871512,0.332256993334438
GO_MHC_CLASS_II_RECEPTOR_ACTIVITY,7,Up,0.000336881632291499,0.332256993334438
GO_NADH_DEHYDROGENASE_COMPLEX,42,Up,0.000351784666817538,0.332256993334438
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR,49,Up,0.00040682548287508,0.332256993334438
GO_OLIGOSACCHARIDE_BINDING,5,Up,0.000455585622463973,0.332256993334438
GO_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,46,Up,0.000500018227027135,0.332256993334438
GO_NEGATIVE_REGULATION_OF_SMAD_PROTEIN_COMPLEX_ASSEMBLY,4,Up,0.000538475457631338,0.332256993334438
GO_MHC_CLASS_IB_PROTEIN_BINDING,4,Up,0.00058471413173928,0.332256993334438
GO_PROTEOGLYCAN_BINDING,17,Up,0.000660081694920619,0.332256993334438
GO_UDP_N_ACETYLGLUCOSAMINE_BIOSYNTHETIC_PROCESS,10,Up,0.000670869468344127,0.332256993334438
GO_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_DEPRESSION,1,Up,0.000690820231448666,0.332256993334438
GO_MHC_PROTEIN_COMPLEX,18,Up,0.000703687489246064,0.332256993334438
GO_AMINO_SUGAR_BIOSYNTHETIC_PROCESS,12,Up,0.000712194792850932,0.332256993334438
GO_UDP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS,14,Up,0.00071889156371652,0.332256993334438
GO_MHC_CLASS_I_RECEPTOR_ACTIVITY,4,Up,0.000793128729002631,0.332256993334438
GO_DIACYLGLYCEROL_BINDING,9,Up,0.000794677828009806,0.332256993334438
GO_BONE_MARROW_DEVELOPMENT,7,Up,0.000795403888421423,0.332256993334438
GO_HFE_TRANSFERRIN_RECEPTOR_COMPLEX,5,Up,0.000828075449442821,0.332256993334438
GO_RESPONSE_TO_ERYTHROPOIETIN,4,Up,0.000898189613366441,0.346528461987645
GO_DIRECT_OSSIFICATION,1,Up,0.000949688285336215,0.352826784822503
GO_RESPIRATORY_CHAIN_COMPLEX,66,Up,0.00105300513821369,0.368419643650392
GO_ENDOSOME_LUMEN,16,Up,0.00106511510974592,0.368419643650392
GO_EXTRACELLULAR_MATRIX_DISASSEMBLY,30,Up,0.00112499044811618,0.376159306168446
GO_INACTIVATION_OF_MAPK_ACTIVITY,16,Down,0.00124048908297624,0.396440403553233
GO_POSITIVE_REGULATION_OF_PODOSOME_ASSEMBLY,8,Down,0.00126468875622605,0.396440403553233
GO_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING,3,Up,0.00144040556508176,0.429653271706019
GO_FOLATE_IMPORT_ACROSS_PLASMA_MEMBRANE,4,Up,0.00145630657342285,0.429653271706019
GO_SKELETAL_MUSCLE_FIBER_DIFFERENTIATION,1,Up,0.00154061755179812,0.441313102329459
GO_SOLUTE_CATION_SYMPORTER_ACTIVITY,32,Up,0.00158381733464864,0.441313102329459
GO_INTERLEUKIN_18_PRODUCTION,5,Up,0.00185463530446644,0.487301373130246
GO_COLLAGEN_BINDING,25,Up,0.00186190082215811,0.487301373130246
GO_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_ENDOPLASMIC_RETICULUM_MEMBRANE,10,Up,0.00189460208873289,0.487301373130246
GO_AMYLOID_BETA_BINDING,40,Up,0.00196273917534159,0.492205916696287
GO_ENDOLYSOSOME,17,Up,0.00202432208154594,0.495267678048471
GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY,4,Down,0.00209291713061088,0.49677007154914
GO_PROTEIN_K6_LINKED_UBIQUITINATION,7,Down,0.00212950982719699,0.49677007154914
GO_RETINOL_METABOLIC_PROCESS,19,Down,0.00227799337358496,0.519330716600699
GO_LBD_DOMAIN_BINDING,4,Down,0.00240560899633019,0.536236974270848
GO_GERM_CELL_PROLIFERATION,4,Up,0.00247057872400219,0.538747286531868
GO_REGULATION_OF_SMAD_PROTEIN_COMPLEX_ASSEMBLY,5,Up,0.00263962560070765,0.556630066005356
GO_CGMP_CATABOLIC_PROCESS,1,Up,0.0026635672583249,0.556630066005356
GO_N_ACETYLGLUCOSAMINE_6_O_SULFOTRANSFERASE_ACTIVITY,2,Down,0.00274845021879685,0.562647023362269
GO_NEGATIVE_REGULATION_OF_MAST_CELL_DEGRANULATION,4,Up,0.00295524014277454,0.578147399676409
