,NGenes,Direction,PValue,FDR
GO_CYTOSOLIC_RIBOSOME,94,Up,3.43162397164645e-26,3.45461585225648e-22
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,98,Up,5.09153625958169e-22,2.56282477626044e-18
GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,53,Up,4.06378002148798e-20,1.36366911587732e-16
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,118,Up,6.31022556021273e-19,1.58812601786654e-15
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,110,Up,3.75252774123661e-18,7.5553393542058e-15
GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,40,Up,1.55750673093909e-15,2.61323671006064e-12
GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,154,Up,1.20602860313217e-13,1.73444142110451e-10
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,131,Up,3.81398862384578e-13,4.79942793453194e-10
GO_RIBOSOMAL_SUBUNIT,177,Up,4.4225614167696e-11,4.94688064251329e-08
GO_VIRAL_GENE_EXPRESSION,188,Up,1.34187338191815e-10,1.350863933577e-07
GO_POLYSOMAL_RIBOSOME,31,Up,2.76367884312128e-10,2.52926862851835e-07
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,197,Up,1.45683520765059e-09,1.22216333628488e-06
GO_RIBOSOME,213,Up,6.46920328871263e-09,5.00965150057462e-06
GO_LARGE_RIBOSOMAL_SUBUNIT,112,Up,1.37833703468182e-08,9.91122780581566e-06
GO_TRANSLATIONAL_INITIATION,181,Up,1.89535161707851e-08,1.27203364860863e-05
GO_SMALL_RIBOSOMAL_SUBUNIT,69,Up,8.47016490257207e-08,5.32932187963707e-05
GO_PROTEIN_TARGETING_TO_MEMBRANE,168,Up,1.98889429873929e-07,0.000117777640620049
GO_CYTOPLASMIC_TRANSLATION,89,Up,1.21216175779296e-06,0.000677935134205651
GO_RESPONSE_TO_CHEMOKINE,43,Down,1.57563505191181e-06,0.000834837793031378
GO_POSITIVE_REGULATION_OF_STEROID_HORMONE_SECRETION,3,Up,2.51852368453176e-06,0.00126769889660906
GO_SPONTANEOUS_NEUROTRANSMITTER_SECRETION,3,Up,4.88031093456523e-06,0.00233952810372705
GO_CHEMOKINE_ACTIVITY,20,Down,5.85122793415701e-06,0.00267746870968903
GO_GDP_BINDING,56,Down,6.57482634997141e-06,0.00287777290718097
GO_GRANULOCYTE_MIGRATION,78,Down,1.42626195611988e-05,0.00598257463010783
GO_NEUTROPHIL_MIGRATION,65,Down,1.6304083680542e-05,0.00656532841648065
GO_LIPID_EXPORT_FROM_CELL,12,Up,1.72214710513522e-05,0.00666802111822934
GO_CONTRACTILE_FIBER,113,Down,1.91984304273165e-05,0.0071581703374739
GO_CARGO_ADAPTOR_ACTIVITY,10,Down,2.85762456046934e-05,0.0102741808750874
GO_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY,9,Up,3.748958508838e-05,0.0130140570029214
GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,15,Up,3.96112271321934e-05,0.0132922074513264
GO_PIGMENT_GRANULE,87,Down,4.12233277016245e-05,0.0133869432249114
GO_CHEMOKINE_RECEPTOR_BINDING,26,Down,4.89637387898724e-05,0.0154036861999264
GO_MEMBRANE_RAFT_ORGANIZATION,15,Down,5.30944070497468e-05,0.0161970119930243
GO_VOLUNTARY_SKELETAL_MUSCLE_CONTRACTION,1,Down,6.46886365240371e-05,0.018439230449642
GO_POLYSOME,66,Up,6.56187027380051e-05,0.018439230449642
GO_S100_PROTEIN_BINDING,11,Down,6.59394354015211e-05,0.018439230449642
GO_HYALURONAN_BIOSYNTHETIC_PROCESS,7,Down,7.23776823199318e-05,0.0196925980517501
GO_REGULATION_OF_NEUTROPHIL_EXTRAVASATION,5,Down,8.40346340091847e-05,0.0222625436992227
GO_REGULATION_OF_CELL_SHAPE,112,Down,9.20816208716946e-05,0.0237688635209064
GO_MONOCYTE_CHEMOTAXIS,27,Down,0.000102377553300747,0.0257658707269656
GO_CYTOPLASMIC_SIDE_OF_ROUGH_ENDOPLASMIC_RETICULUM_MEMBRANE,4,Up,0.00011482872565525,0.0281946531993025
GO_CELL_MIGRATION_INVOLVED_IN_KIDNEY_DEVELOPMENT,1,Down,0.000133050302007431,0.0311492416350887
GO_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CELL_DEDIFFERENTIATION,1,Down,0.000133050302007431,0.0311492416350887
GO_RESPONSE_TO_CORTICOTROPIN_RELEASING_HORMONE,3,Down,0.000142553391902904,0.0326155680974213
GO_REGULATION_OF_EOSINOPHIL_MIGRATION,3,Down,0.000156235702415803,0.0348015910350144
GO_GLOMERULUS_MORPHOGENESIS,2,Down,0.000159279039015431,0.0348015910350144
GO_CYTOSKELETAL_ANCHORING_AT_PLASMA_MEMBRANE,6,Down,0.000167357717620174,0.0348015910350144
GO_GLOMERULAR_MESANGIAL_CELL_DIFFERENTIATION,3,Down,0.000178178012654033,0.0348015910350144
GO_MESANGIAL_CELL_DEVELOPMENT,3,Down,0.000178178012654033,0.0348015910350144
GO_PERICYTE_CELL_DIFFERENTIATION,3,Down,0.000178178012654033,0.0348015910350144
