,NGenes,Direction,PValue,FDR
HALLMARK_INTERFERON_ALPHA_RESPONSE,92,Up,4.50706142057231e-09,2.25353071028616e-07
HALLMARK_TNFA_SIGNALING_VIA_NFKB,167,Down,4.70973794928086e-05,0.00117743448732022
HALLMARK_INTERFERON_GAMMA_RESPONSE,176,Up,0.00325131431409741,0.0541885719016234
HALLMARK_E2F_TARGETS,176,Down,0.0368965879672285,0.461207349590357
HALLMARK_ESTROGEN_RESPONSE_LATE,106,Up,0.120525231563334,0.886965632006575
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Up,0.1251878035543,0.886965632006575
HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,Up,0.136790044474085,0.886965632006575
HALLMARK_ADIPOGENESIS,169,Up,0.141914501121052,0.886965632006575
HALLMARK_APOPTOSIS,124,Down,0.1864493831594,0.964696117471705
HALLMARK_IL6_JAK_STAT3_SIGNALING,68,Up,0.209162591969424,0.964696117471705
HALLMARK_ESTROGEN_RESPONSE_EARLY,112,Up,0.212233145843775,0.964696117471705
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,104,Up,0.23603440409618,0.978265047790919
HALLMARK_COAGULATION,70,Up,0.277741069097318,0.978265047790919
HALLMARK_CHOLESTEROL_HOMEOSTASIS,63,Up,0.281553817217038,0.978265047790919
HALLMARK_UV_RESPONSE_DN,99,Up,0.311063511440144,0.978265047790919
HALLMARK_HYPOXIA,133,Down,0.338360955458914,0.978265047790919
HALLMARK_ANGIOGENESIS,19,Down,0.375165786485464,0.978265047790919
HALLMARK_PEROXISOME,80,Down,0.447952222146262,0.978265047790919
HALLMARK_COMPLEMENT,141,Up,0.45430632595872,0.978265047790919
HALLMARK_INFLAMMATORY_RESPONSE,130,Down,0.4632610618684,0.978265047790919
HALLMARK_MYOGENESIS,93,Down,0.475956854514357,0.978265047790919
HALLMARK_DNA_REPAIR,141,Down,0.484217262618292,0.978265047790919
HALLMARK_PI3K_AKT_MTOR_SIGNALING,87,Up,0.593395028965476,0.978265047790919
HALLMARK_PROTEIN_SECRETION,90,Up,0.59537606819391,0.978265047790919
HALLMARK_FATTY_ACID_METABOLISM,128,Down,0.607802684334108,0.978265047790919
HALLMARK_MYC_TARGETS_V1,192,Up,0.617528020086325,0.978265047790919
HALLMARK_ALLOGRAFT_REJECTION,133,Down,0.630603518558056,0.978265047790919
HALLMARK_MITOTIC_SPINDLE,175,Down,0.639723321737436,0.978265047790919
HALLMARK_ANDROGEN_RESPONSE,82,Up,0.647632112246376,0.978265047790919
HALLMARK_KRAS_SIGNALING_DN,53,Down,0.67310418778432,0.978265047790919
HALLMARK_APICAL_SURFACE,20,Up,0.676432422874242,0.978265047790919
HALLMARK_HEME_METABOLISM,142,Down,0.689563594737114,0.978265047790919
HALLMARK_NOTCH_SIGNALING,25,Up,0.689858451119297,0.978265047790919
HALLMARK_IL2_STAT5_SIGNALING,146,Down,0.735454103768575,0.978265047790919
HALLMARK_TGF_BETA_SIGNALING,45,Down,0.755187789751465,0.978265047790919
HALLMARK_BILE_ACID_METABOLISM,72,Down,0.777587596491539,0.978265047790919
HALLMARK_APICAL_JUNCTION,103,Down,0.787383218942658,0.978265047790919
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,84,Down,0.825127306626593,0.978265047790919
HALLMARK_HEDGEHOG_SIGNALING,17,Up,0.850177091377809,0.978265047790919
HALLMARK_G2M_CHECKPOINT,164,Down,0.889025938841491,0.978265047790919
HALLMARK_MYC_TARGETS_V2,56,Down,0.890104809604527,0.978265047790919
HALLMARK_PANCREAS_BETA_CELLS,12,Down,0.891029787718358,0.978265047790919
HALLMARK_KRAS_SIGNALING_UP,114,Down,0.900891767992449,0.978265047790919
HALLMARK_UV_RESPONSE_UP,115,Down,0.901946113961811,0.978265047790919
HALLMARK_XENOBIOTIC_METABOLISM,130,Down,0.916725081127491,0.978265047790919
HALLMARK_MTORC1_SIGNALING,181,Up,0.929498908055631,0.978265047790919
HALLMARK_WNT_BETA_CATENIN_SIGNALING,29,Up,0.945343346511695,0.978265047790919
HALLMARK_P53_PATHWAY,160,Down,0.956192021394914,0.978265047790919
HALLMARK_SPERMATOGENESIS,59,Down,0.9586997468351,0.978265047790919
HALLMARK_GLYCOLYSIS,137,Up,0.998366083754509,0.998366083754509
