,NGenes,Direction,PValue,FDR
HALLMARK_G2M_CHECKPOINT,146,Down,0.00393048602069952,0.116214673140402
HALLMARK_INTERFERON_GAMMA_RESPONSE,166,Up,0.00464858692561606,0.116214673140402
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,73,Up,0.00994369413825902,0.163690341956275
HALLMARK_E2F_TARGETS,161,Down,0.0145012391288213,0.163690341956275
HALLMARK_ESTROGEN_RESPONSE_EARLY,102,Up,0.0163690341956275,0.163690341956275
HALLMARK_IL6_JAK_STAT3_SIGNALING,65,Up,0.0247811099447852,0.180995711930906
HALLMARK_INFLAMMATORY_RESPONSE,121,Up,0.0253393996703268,0.180995711930906
HALLMARK_PI3K_AKT_MTOR_SIGNALING,84,Down,0.0522218866705881,0.326386791691176
HALLMARK_KRAS_SIGNALING_DN,46,Up,0.0590811839253032,0.328228799585018
HALLMARK_UV_RESPONSE_UP,113,Up,0.0675932989215855,0.337966494607927
HALLMARK_TGF_BETA_SIGNALING,43,Up,0.0856394608570572,0.36664492722112
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Up,0.0907954795345686,0.36664492722112
HALLMARK_XENOBIOTIC_METABOLISM,124,Up,0.0992716825703583,0.36664492722112
HALLMARK_WNT_BETA_CATENIN_SIGNALING,26,Up,0.102660579621914,0.36664492722112
HALLMARK_SPERMATOGENESIS,56,Down,0.136299729597439,0.454332431991463
HALLMARK_MYOGENESIS,89,Up,0.19930383649455,0.622824489045468
HALLMARK_PEROXISOME,77,Down,0.22146247733743,0.646657025127651
HALLMARK_ALLOGRAFT_REJECTION,121,Up,0.251684370714728,0.646657025127651
HALLMARK_APOPTOSIS,117,Up,0.258020555161047,0.646657025127651
HALLMARK_MYC_TARGETS_V1,191,Down,0.25866281005106,0.646657025127651
HALLMARK_P53_PATHWAY,156,Up,0.29129953659342,0.685191627266384
HALLMARK_COMPLEMENT,134,Up,0.306157386068778,0.685191627266384
HALLMARK_COAGULATION,65,Up,0.322576923178539,0.685191627266384
HALLMARK_HEME_METABOLISM,139,Up,0.341542236192804,0.685191627266384
HALLMARK_ADIPOGENESIS,167,Down,0.342595813633192,0.685191627266384
HALLMARK_MYC_TARGETS_V2,53,Up,0.389406264816579,0.748858201570345
HALLMARK_ESTROGEN_RESPONSE_LATE,95,Up,0.411829749821239,0.762647684854146
HALLMARK_PANCREAS_BETA_CELLS,11,Up,0.432974545847442,0.773168831870432
HALLMARK_FATTY_ACID_METABOLISM,127,Down,0.452521240704928,0.780209035698152
HALLMARK_CHOLESTEROL_HOMEOSTASIS,61,Down,0.493555609501083,0.822592682501805
HALLMARK_APICAL_JUNCTION,100,Up,0.572303692942197,0.895170008214524
HALLMARK_IL2_STAT5_SIGNALING,137,Up,0.586224808444398,0.895170008214524
HALLMARK_APICAL_SURFACE,17,Up,0.593812074005876,0.895170008214524
HALLMARK_TNFA_SIGNALING_VIA_NFKB,152,Up,0.608715605585876,0.895170008214524
HALLMARK_HYPOXIA,125,Up,0.64326712117882,0.896646599803304
HALLMARK_INTERFERON_ALPHA_RESPONSE,90,Up,0.659732690362453,0.896646599803304
HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,Up,0.684034403877434,0.896646599803304
HALLMARK_MTORC1_SIGNALING,173,Down,0.694925925794813,0.896646599803304
HALLMARK_BILE_ACID_METABOLISM,68,Down,0.707243909925374,0.896646599803304
HALLMARK_NOTCH_SIGNALING,24,Up,0.717317279842643,0.896646599803304
HALLMARK_GLYCOLYSIS,133,Up,0.74001751349841,0.902460382315133
HALLMARK_PROTEIN_SECRETION,89,Up,0.790722031174051,0.910811164819304
HALLMARK_ANGIOGENESIS,16,Up,0.801860907257918,0.910811164819304
HALLMARK_UV_RESPONSE_DN,92,Down,0.815887065439578,0.910811164819304
HALLMARK_HEDGEHOG_SIGNALING,14,Down,0.819730048337373,0.910811164819304
HALLMARK_DNA_REPAIR,141,Down,0.891941001248345,0.958555108302765
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,101,Down,0.901041801804599,0.958555108302765
HALLMARK_ANDROGEN_RESPONSE,79,Down,0.95067997811777,0.986052780862112
HALLMARK_KRAS_SIGNALING_UP,104,Down,0.96633172524487,0.986052780862112
HALLMARK_MITOTIC_SPINDLE,162,Up,0.986358775988201,0.986358775988201
