,NGenes,Direction,PValue,FDR
HALLMARK_INTERFERON_ALPHA_RESPONSE,90,Down,1.12229297072545e-05,0.000561146485362727
HALLMARK_INTERFERON_GAMMA_RESPONSE,166,Down,0.000208377248959652,0.0052094312239913
HALLMARK_ANDROGEN_RESPONSE,79,Down,0.000993813065050872,0.0136577654641259
HALLMARK_MTORC1_SIGNALING,173,Down,0.00109262123713007,0.0136577654641259
HALLMARK_FATTY_ACID_METABOLISM,127,Down,0.0016848702016988,0.0157253559004603
HALLMARK_ADIPOGENESIS,167,Down,0.00188704270805523,0.0157253559004603
HALLMARK_CHOLESTEROL_HOMEOSTASIS,61,Down,0.00280097784891378,0.0200069846350984
HALLMARK_PI3K_AKT_MTOR_SIGNALING,84,Down,0.00524281264494678,0.0327675790309174
HALLMARK_PROTEIN_SECRETION,89,Down,0.0096432829592964,0.0535737942183133
HALLMARK_COMPLEMENT,134,Down,0.0302429154856487,0.151214577428243
HALLMARK_PANCREAS_BETA_CELLS,11,Down,0.051954968508663,0.23615894776665
HALLMARK_COAGULATION,65,Down,0.0664852232477296,0.255040786255626
HALLMARK_PEROXISOME,77,Down,0.0714819187827389,0.255040786255626
HALLMARK_IL6_JAK_STAT3_SIGNALING,65,Down,0.0728692539255476,0.255040786255626
HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,Down,0.0765122358766878,0.255040786255626
HALLMARK_UV_RESPONSE_UP,113,Down,0.0938768032160148,0.287572153437845
HALLMARK_XENOBIOTIC_METABOLISM,124,Down,0.0977745321688672,0.287572153437845
HALLMARK_GLYCOLYSIS,133,Down,0.106665805312237,0.296293903645103
HALLMARK_HEME_METABOLISM,139,Down,0.117466833472898,0.309123245981312
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,101,Down,0.145904280743553,0.342710582073674
HALLMARK_ESTROGEN_RESPONSE_LATE,95,Down,0.149833497503617,0.342710582073674
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Down,0.150792656112416,0.342710582073674
HALLMARK_E2F_TARGETS,161,Up,0.163602769146941,0.355658193797697
HALLMARK_SPERMATOGENESIS,56,Down,0.185584049861919,0.373359888769924
HALLMARK_DNA_REPAIR,141,Up,0.186679944384962,0.373359888769924
HALLMARK_INFLAMMATORY_RESPONSE,121,Down,0.209043805953298,0.402007319140958
HALLMARK_IL2_STAT5_SIGNALING,137,Down,0.220697408168768,0.408698904016236
HALLMARK_WNT_BETA_CATENIN_SIGNALING,26,Down,0.331803692936874,0.561476650952317
HALLMARK_TGF_BETA_SIGNALING,43,Down,0.33614289713371,0.561476650952317
HALLMARK_APICAL_SURFACE,17,Up,0.33688599057139,0.561476650952317
HALLMARK_MYC_TARGETS_V1,191,Down,0.365356446696551,0.58928459144605
HALLMARK_ESTROGEN_RESPONSE_EARLY,102,Down,0.401997890939725,0.628121704593321
HALLMARK_APICAL_JUNCTION,100,Down,0.42167124145759,0.635025491957559
HALLMARK_UV_RESPONSE_DN,92,Down,0.43181733453114,0.635025491957559
HALLMARK_KRAS_SIGNALING_UP,104,Down,0.477211417049804,0.681730595785435
HALLMARK_G2M_CHECKPOINT,146,Down,0.507664038981709,0.705088943030151
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,73,Down,0.570874072698243,0.77145144959222
HALLMARK_ALLOGRAFT_REJECTION,121,Down,0.623972685692429,0.796061113430696
HALLMARK_KRAS_SIGNALING_DN,46,Up,0.632226915377827,0.796061113430696
HALLMARK_BILE_ACID_METABOLISM,68,Down,0.636848890744557,0.796061113430696
HALLMARK_P53_PATHWAY,156,Up,0.672987426419862,0.820716373682758
HALLMARK_ANGIOGENESIS,16,Down,0.689700653737809,0.821072206830725
HALLMARK_MYC_TARGETS_V2,53,Down,0.708461526259639,0.823792472394929
HALLMARK_HYPOXIA,125,Down,0.783318032418153,0.890134127747901
HALLMARK_APOPTOSIS,117,Down,0.815545278789592,0.906161420877325
HALLMARK_HEDGEHOG_SIGNALING,14,Up,0.866148977145908,0.941466279506422
HALLMARK_TNFA_SIGNALING_VIA_NFKB,152,Down,0.945129259011185,0.986910444301079
HALLMARK_MITOTIC_SPINDLE,162,Down,0.95594757155289,0.986910444301079
HALLMARK_NOTCH_SIGNALING,24,Up,0.967172235415058,0.986910444301079
HALLMARK_MYOGENESIS,89,Down,0.997746769485742,0.997746769485742
