,NGenes,Direction,PValue,FDR
HALLMARK_TNFA_SIGNALING_VIA_NFKB,167,Down,6.88911797696323e-08,3.44455898848161e-06
HALLMARK_CHOLESTEROL_HOMEOSTASIS,63,Down,1.16845942182177e-05,0.000292114855455443
HALLMARK_ANDROGEN_RESPONSE,82,Down,0.000185252367178046,0.00238584740313605
HALLMARK_MTORC1_SIGNALING,181,Down,0.000190867792250884,0.00238584740313605
HALLMARK_INFLAMMATORY_RESPONSE,130,Down,0.00127046890994848,0.0105971974534018
HALLMARK_FATTY_ACID_METABOLISM,128,Down,0.00127166369440821,0.0105971974534018
HALLMARK_PANCREAS_BETA_CELLS,12,Down,0.00193864403921381,0.0138474574229558
HALLMARK_APOPTOSIS,124,Down,0.0153946841786293,0.0962167761164329
HALLMARK_IL2_STAT5_SIGNALING,146,Down,0.019856995233973,0.109627019175628
HALLMARK_XENOBIOTIC_METABOLISM,130,Down,0.0219254038351256,0.109627019175628
HALLMARK_MYOGENESIS,93,Down,0.0303813121400773,0.124611710478332
HALLMARK_UV_RESPONSE_UP,115,Down,0.0311465643046827,0.124611710478332
HALLMARK_PROTEIN_SECRETION,90,Down,0.0331634548340564,0.124611710478332
HALLMARK_PI3K_AKT_MTOR_SIGNALING,87,Down,0.0368639649004822,0.124611710478332
HALLMARK_COMPLEMENT,141,Down,0.0373835131434995,0.124611710478332
HALLMARK_GLYCOLYSIS,137,Down,0.0545942086314992,0.170606901973435
HALLMARK_PEROXISOME,80,Down,0.0604060217044561,0.177574295966731
HALLMARK_ALLOGRAFT_REJECTION,133,Down,0.0639267465480233,0.177574295966731
HALLMARK_WNT_BETA_CATENIN_SIGNALING,29,Down,0.0683268847990638,0.179807591576484
HALLMARK_HEME_METABOLISM,142,Down,0.0733366611510317,0.183341652877579
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,84,Down,0.0801904354898902,0.190929608309262
HALLMARK_ANGIOGENESIS,19,Down,0.113570969862976,0.258115840597674
HALLMARK_KRAS_SIGNALING_UP,114,Down,0.124411589620769,0.25930766799105
HALLMARK_HYPOXIA,133,Down,0.124467680635704,0.25930766799105
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,104,Down,0.141624474530843,0.283248949061687
HALLMARK_APICAL_JUNCTION,103,Down,0.163821435342986,0.315041221813434
HALLMARK_TGF_BETA_SIGNALING,45,Down,0.170309982213617,0.315388855951142
HALLMARK_APICAL_SURFACE,20,Up,0.25752782871926,0.459871122712964
HALLMARK_COAGULATION,70,Down,0.278775397759863,0.480647237517005
HALLMARK_INTERFERON_GAMMA_RESPONSE,176,Down,0.31284963844442,0.521416064074033
HALLMARK_MYC_TARGETS_V1,192,Down,0.334877791771118,0.531921710252303
HALLMARK_ADIPOGENESIS,169,Down,0.345749041481104,0.531921710252303
HALLMARK_MYC_TARGETS_V2,56,Down,0.35106832876652,0.531921710252303
HALLMARK_INTERFERON_ALPHA_RESPONSE,92,Up,0.409487866644607,0.592302508174849
HALLMARK_NOTCH_SIGNALING,25,Down,0.414611755722394,0.592302508174849
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Down,0.469085672436129,0.651507878383512
HALLMARK_IL6_JAK_STAT3_SIGNALING,68,Down,0.577632990126622,0.780585121792732
HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,Down,0.650387754993202,0.824010638115088
HALLMARK_P53_PATHWAY,160,Down,0.656718273043515,0.824010638115088
HALLMARK_SPERMATOGENESIS,59,Up,0.682954942109297,0.824010638115088
HALLMARK_BILE_ACID_METABOLISM,72,Down,0.695405327787438,0.824010638115088
HALLMARK_ESTROGEN_RESPONSE_EARLY,112,Down,0.700803303564367,0.824010638115088
HALLMARK_E2F_TARGETS,176,Up,0.738160899686711,0.824010638115088
HALLMARK_UV_RESPONSE_DN,99,Down,0.755050750600177,0.824010638115088
HALLMARK_MITOTIC_SPINDLE,175,Down,0.755291170174388,0.824010638115088
HALLMARK_ESTROGEN_RESPONSE_LATE,106,Down,0.758089787065881,0.824010638115088
HALLMARK_KRAS_SIGNALING_DN,53,Up,0.798616029304188,0.84959152053637
HALLMARK_HEDGEHOG_SIGNALING,17,Up,0.84438819809334,0.879571039680562
HALLMARK_DNA_REPAIR,141,Down,0.877617538285501,0.895528100291328
HALLMARK_G2M_CHECKPOINT,164,Down,0.912880185890029,0.912880185890029
