Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOCC_LYSOSOMAL_LUMEN,62,Up,3.83892024488463e-08,0.000609735702495026,"LGMN,CSPG4,NPC2,TCN2"
GOBP_INTESTINAL_HEXOSE_ABSORPTION,1,Up,1.13587859281955e-07,0.000902057984487645,EZR
GOCC_VACUOLAR_LUMEN,119,Up,1.44150391984675e-06,0.00763180225297533,"FTL,LGMN,CSPG4,PADI2,NPC2,TCN2"
HP_CHERRY_RED_SPOT_OF_THE_MACULA,13,Up,3.30811437408204e-06,0.0104562666883452,""
GOCC_GAMMA_DELTA_T_CELL_RECEPTOR_COMPLEX,3,Down,3.47922471577806e-06,0.0104562666883452,"TRGC1,TRGC2"
GOMF_FERRIC_IRON_BINDING,4,Up,3.94998426808984e-06,0.0104562666883452,FTL
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_ENDOTHELIN,1,Up,5.40166915195895e-06,0.0122563873057949,RHOA
HP_PULVERULENT_CATARACT,4,Up,7.02642451591437e-06,0.0139500875732835,FTL
GOBP_POSITIVE_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,3,Down,8.04476299540604e-06,0.0141972189617816,AR
HP_3_4_TOE_SYNDACTYLY,2,Up,2.86598869748421e-05,0.0455204984821416,RHOA
GOCC_GOLGI_LUMEN,31,Up,3.28240508069977e-05,0.0473949453606858,"DEFB1,MUC20,CSPG4,MUC12"
GOBP_RESPONSE_TO_STILBENOID,2,Up,3.63573221042886e-05,0.048121945581868,CD36
GOCC_PIGMENT_GRANULE,90,Up,4.17097836591896e-05,0.0484031098476625,"ITGB1,GCHFR"
GOMF_S100_PROTEIN_BINDING,11,Up,4.26647067850705e-05,0.0484031098476625,EZR
GOBP_SENSORY_PERCEPTION_OF_SOUR_TASTE,1,Up,7.43615123691086e-05,0.0745309811658111,PKD2L1
GOBP_POSITIVE_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT,9,Up,7.50800036928148e-05,0.0745309811658111,EZR
GOCC_MICROVILLUS_MEMBRANE,10,Up,8.48948932092831e-05,0.0766768061331366,"EZR,MUC20"
GOMF_FATTY_ACYL_COA_SYNTHASE_ACTIVITY,2,Down,8.689684004259e-05,0.0766768061331366,ACSM3
GOBP_REGULATION_OF_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,2,Up,0.000104094854190951,0.0870178194270983,FYN
HP_LOSS_OF_VOICE,6,Up,0.00011863828865716,0.0911055496056829,FTL
GOBP_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE,12,Up,0.000120456874754098,0.0911055496056829,RHOA
HP_ENDOCARDITIS,9,Up,0.000130776275272415,0.0916626227645606,CCR1
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,120,Up,0.000132735649662211,0.0916626227645606,"CSPG4,EGFL7,SERPINB6,NID1"
GOBP_ESCRT_COMPLEX_DISASSEMBLY,10,Up,0.000139327188480042,0.0922055722761881,""
GOBP_REGULATION_OF_REMOVAL_OF_SUPEROXIDE_RADICALS,4,Up,0.000147959158286659,0.0940014124426805,CD36
GOBP_POSITIVE_REGULATION_OF_CILIUM_MOVEMENT,2,Up,0.000164418168664346,0.0999408902341516,DEFB1
GOBP_SEQUESTERING_OF_IRON_ION,5,Up,0.00016989259184802,0.0999408902341516,FTL
GOBP_REGULATION_OF_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE,8,Up,0.000196609491384835,0.109080680372116,RHOA
HP_POSTEXERTIONAL_SYMPTOM_EXACERBATION,7,Down,0.000206731588278712,0.109080680372116,PYGL
GOBP_SEQUESTERING_OF_METAL_ION,8,Up,0.00021811931279409,0.109080680372116,FTL
GOBP_REGULATION_OF_FLAGELLATED_SPERM_MOTILITY,3,Up,0.000223288641248441,0.109080680372116,DEFB1
GOBP_CARDIAC_FIBROBLAST_CELL_DIFFERENTIATION,3,Down,0.000227227051498293,0.109080680372116,"INHBA,SPRY1"
HP_BCGITIS,8,Up,0.000228515663074032,0.109080680372116,IRF8
GOBP_REGULATION_OF_MYOBLAST_PROLIFERATION,6,Down,0.00023873239195002,0.109080680372116,ATF2
GOBP_REGULATION_OF_SUPEROXIDE_METABOLIC_PROCESS,19,Up,0.000240371706417179,0.109080680372116,CD36
GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION,24,Up,0.00025092064969044,0.110704796639813,""
HP_OSTEOLYSIS_INVOLVING_BONES_OF_THE_LOWER_LIMBS,9,Up,0.000316417488815094,0.135828620941896,""
GOMF_PROTEIN_ARGININE_DEIMINASE_ACTIVITY,1,Down,0.00036938056988285,0.154391357669719,PADI2
GOBP_CELLULAR_RESPONSE_TO_ETHANOL,10,Down,0.000493235994353132,0.198678266817671,""
GOBP_REGULATION_OF_MICROVILLUS_LENGTH,2,Up,0.000500354509394122,0.198678266817671,EZR
GOBP_MITOTIC_CYTOKINETIC_PROCESS,28,Up,0.000557495727203847,0.203223309957664,RHOA
GOBP_MONOCYTE_CHEMOTAXIS,24,Up,0.000564642645378514,0.203223309957664,"LGMN,CCR1"
GOBP_REGULATION_OF_NEUTROPHIL_EXTRAVASATION,5,Up,0.000564669988800795,0.203223309957664,CD99
HP_EYE_OF_THE_TIGER_ANOMALY_OF_GLOBUS_PALLIDUS,9,Up,0.00056982982147191,0.203223309957664,FTL
GOBP_MYOBLAST_PROLIFERATION,12,Down,0.000575775920675873,0.203223309957664,ATF2
GOBP_MIDBODY_ABSCISSION,15,Up,0.000607612425319448,0.20644383205527,""
GOMF_GDP_BINDING,55,Up,0.000616108850039858,0.20644383205527,""
GOBP_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS,13,Down,0.000638376107750159,0.20644383205527,"CBX8,INHBA"
GOBP_CARDIAC_CELL_FATE_COMMITMENT,4,Up,0.000660279637999803,0.20644383205527,ITGB1
GOBP_ACYLGLYCEROL_TRANSPORT,2,Up,0.000663833644212364,0.20644383205527,CD36
