Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOBP_DETOXIFICATION_OF_COPPER_ION,9,Up,4.10179687933759e-07,0.00341883451110941,""
GOBP_CELLULAR_RESPONSE_TO_COPPER_ION,16,Up,4.30502362413828e-07,0.00341883451110941,""
GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND,14,Up,7.38336731440097e-06,0.0390900076848769,""
GOBP_RESPONSE_TO_ERYTHROPOIETIN,4,Up,3.10852827628209e-05,0.123431886530471,""
HP_PHOTORECEPTOR_LAYER_LOSS_ON_MACULAR_OCT,5,Down,8.80461859862234e-05,0.279687514403837,""
GOBP_INTRACELLULAR_ZINC_ION_HOMEOSTASIS,23,Up,0.000183167256611671,0.330565515739629,""
GOBP_AXON_CHOICE_POINT_RECOGNITION,2,Down,0.000193324661401801,0.330565515739629,""
GOBP_AXON_MIDLINE_CHOICE_POINT_RECOGNITION,2,Down,0.000193324661401801,0.330565515739629,""
GOMF_DIACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY,4,Down,0.000210359552423537,0.330565515739629,""
GOBP_MAMMARY_GLAND_ALVEOLUS_DEVELOPMENT,8,Up,0.000218807397622268,0.330565515739629,""
HP_POLYPHAGIA,46,Down,0.000237851012642666,0.330565515739629,""
HP_DECREASED_PATELLAR_REFLEX,5,Down,0.000296219630947234,0.330565515739629,""
GOBP_RESPONSE_TO_COPPER_ION,21,Up,0.000296577002151902,0.330565515739629,""
GOBP_CELLULAR_RESPONSE_TO_ZINC_ION,15,Up,0.000306950622018315,0.330565515739629,""
GOMF_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY,5,Down,0.000312188046092957,0.330565515739629,""
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT,30,Up,0.000337518168172617,0.335050066567855,""
GOBP_NEGATIVE_REGULATION_OF_HEMATOPOIETIC_STEM_CELL_PROLIFERATION,3,Down,0.000397545533220305,0.371424453184594,""
GOBP_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,15,Down,0.000425689841662905,0.375623986396218,""
GOCC_ENDOPLASMIC_RETICULUM_EXIT_SITE,27,Down,0.000494033096979965,0.412985667333304,""
GOMF_INHIBITORY_MHC_CLASS_I_RECEPTOR_ACTIVITY,5,Up,0.000539864679511065,0.428733535233712,""
GOBP_REGULATION_OF_GROWTH_RATE,2,Down,0.000595212303851923,0.450178905813338,""
