Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOCC_CYTOSOLIC_RIBOSOME,111,Up,3.91490920769748e-06,0.0407960829231869,""
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,52,Up,5.13513536700697e-06,0.0407960829231869,""
GOBP_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY,9,Up,9.98962910625518e-06,0.0529084056230962,C3
GOCC_ACTOMYOSIN,53,Up,3.15232800871652e-05,0.096575570737091,"CORO1B,ZYX,TPM4,LIMA1"
GOCC_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX,22,Down,3.92375103342893e-05,0.096575570737091,ATP6V1G1
GOMF_LIPOPEPTIDE_BINDING,4,Up,4.15060255985671e-05,0.096575570737091,TLR1
HP_3_4_TOE_SYNDACTYLY,2,Down,4.25469818842996e-05,0.096575570737091,RHOA
HP_NORMOCHROMIC_ANEMIA,36,Up,5.17637042409205e-05,0.102809187085498,""
HP_ABNORMAL_ERYTHROCYTE_ADENOSINE_DEAMINASE_ACTIVITY,26,Up,6.09550928764693e-05,0.1038890962473,""
HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR,36,Up,6.53842886571212e-05,0.1038890962473,""
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,42,Up,7.55565617518708e-05,0.107840110750487,""
GOBP_SYNAPTIC_VESICLE_LUMEN_ACIDIFICATION,13,Down,8.3065135536681e-05,0.107840110750487,ATP6V1G1
GOCC_ACTIN_FILAMENT_BUNDLE,50,Up,8.82322008783645e-05,0.107840110750487,"CORO1B,ZYX,TPM4,LIMA1"
GOBP_VESTIBULOCOCHLEAR_NERVE_DEVELOPMENT,3,Up,0.000139338462688329,0.129278159441624,ATP8B1
GOBP_VESTIBULOCOCHLEAR_NERVE_MORPHOGENESIS,3,Up,0.000139338462688329,0.129278159441624,ATP8B1
HP_PULMONARY_HEMORRHAGE,27,Up,0.000141568930158904,0.129278159441624,HLA-DPB1
GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION,24,Down,0.000146737604058779,0.129278159441624,""
GOBP_PROTEIN_CONTAINING_COMPLEX_REMODELING,15,Up,0.000154379596905655,0.129278159441624,PLTP
HP_PURE_RED_CELL_APLASIA,27,Up,0.000162290238431908,0.129278159441624,""
GOMF_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,19,Down,0.000162726615194946,0.129278159441624,ATP6V1G1
GOBP_DIOL_BIOSYNTHETIC_PROCESS,14,Down,0.000171738712902639,0.129940781395715,ASAH1
GOMF_HEXOKINASE_ACTIVITY,3,Up,0.000190272390416295,0.13741990960566,HK3
