Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_METALLOTHIONEINS_BIND_METALS,7,Up,4.56179635432363e-10,7.71855943151559e-07,""
REACTOME_RESPONSE_TO_METAL_IONS,9,Up,3.37979199021848e-06,0.00285930402372483,""
REACTOME_DEFECTIVE_GALNT3_CAUSES_HFTC,2,Down,0.000529572080692344,0.226848605033938,""
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,2,Up,0.000571666348872805,0.226848605033938,""
REACTOME_LAMININ_INTERACTIONS,10,Down,0.000761754522067082,0.226848605033938,""
REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION,2,Down,0.000841056998282872,0.226848605033938,""
REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN,9,Down,0.00101433624927813,0.226848605033938,""
REACTOME_FASL_CD95L_SIGNALING,4,Down,0.00107257023656708,0.226848605033938,""
REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS,4,Up,0.00170267471371184,0.320102846177825,""
REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS,6,Down,0.00304701332503221,0.487647098385872,""
REACTOME_CA2_ACTIVATED_K_CHANNELS,3,Up,0.00325418992975193,0.487647098385872,""
REACTOME_CGMP_EFFECTS,6,Up,0.00345849005947427,0.487647098385872,""
REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS,6,Down,0.00396787293993446,0.516433924182239,""
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,65,Down,0.00528779212708645,0.639067448502163,""
REACTOME_FREE_FATTY_ACID_RECEPTORS,2,Down,0.00754706131443628,0.699629043962341,""
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,50,Down,0.00767991403834814,0.699629043962341,""
REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA,2,Up,0.00789817426965113,0.699629043962341,""
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,64,Up,0.00840579963238609,0.699629043962341,""
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,6,Down,0.00856431618118459,0.699629043962341,""
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS,2,Down,0.00858586063330437,0.699629043962341,""
REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN,5,Down,0.00868333919811416,0.699629043962341,""
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,7,Up,0.00933984636391966,0.718319093079639,""
