Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,86,Up,5.31381671822871e-07,0.0004367957342384,""
WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,14,Up,3.89134160352864e-05,0.0159934139905027,"PSAP,NPC2"
WP_GDNFRET_SIGNALING_AXIS,4,Down,0.000161552008706572,0.0442652503856008,"SPRY1,GATA3"
WP_COMPLEMENT_ACTIVATION,12,Up,0.000423640151220282,0.0731306930912878,""
WP_BENZENE_METABOLISM,3,Up,0.000444833899582043,0.0731306930912878,""
WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING,19,Up,0.00139013334621802,0.190448268431869,""
WP_GLP1_SECRETION_FROM_INTESTINE_TO_PORTAL_VEIN,1,Down,0.00276136041046541,0.290969205705192,""
WP_OLIGODENDROCYTE_SPECIFICATION_AND_DIFFERENTIATION_LEADING_TO_MYELIN_COMPONENTS_FOR_CNS,7,Down,0.00325815334006943,0.290969205705192,""
WP_UDPDERIVED_SUGARS_SYNTHESIS_IN_FIBROBLASTS,10,Up,0.00353661539600375,0.290969205705192,""
WP_FERROPTOSIS,49,Up,0.00353977135894394,0.290969205705192,FTL
WP_ACQUIRED_PARTIAL_LIPODYSTROPHY_BARRAQUERSIMONS_SYNDROME,10,Up,0.00420437765350717,0.31261940647521,""
WP_8P231_COPY_NUMBER_VARIATION_SYNDROME,32,Up,0.00456378695584248,0.31261940647521,CTSB
WP_CHOLESTASIS,8,Up,0.00497184025395034,0.314373283749783,""
WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS,5,Up,0.00630473888971048,0.37017824052443,""
WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,56,Up,0.00703389258346735,0.372129578442121,NPC2
WP_PHASE_I_BIOTRANSFORMATIONS_NONP450,5,Up,0.00733115124078846,0.372129578442121,""
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,28,Up,0.00769611050306091,0.372129578442121,HSD11B1
WP_COMPLEMENT_SYSTEM,50,Up,0.00938583285994834,0.428619700604307,""
WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY,18,Up,0.0111176066967057,0.480982773931162,""
WP_FOXA2_PATHWAY,9,Up,0.0128154993796575,0.518404024454004,""
WP_COMPLEMENT_AND_COAGULATION_CASCADES,23,Up,0.0148547735208383,0.518404024454004,""
WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES,23,Up,0.0148547735208383,0.518404024454004,""
WP_BIOSYNTHESIS_AND_TURNOVER_OF_1DEOXYSPHINGOID_BASES,6,Down,0.015059202050576,0.518404024454004,""
