Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_ZINC_HOMEOSTASIS,23,Up,8.76152134229734e-05,0.0429240333287088,""
WP_CLASSICAL_PATHWAY_OF_STEROIDOGENESIS_WITH_GLUCOCORTICOID_AND_MINERALOCORTICOID_METABOLISM,4,Down,0.000104438037296128,0.0429240333287088,""
WP_VITAMIN_A_AND_CAROTENOID_METABOLISM,19,Down,0.000989981337232379,0.271254886401672,""
WP_SULFATASE_AND_AROMATASE_PATHWAY,2,Up,0.00395513182834696,0.80249438653944,""
WP_EBSTEINBARR_VIRUS_LMP1_SIGNALING,21,Down,0.00518357251700946,0.80249438653944,""
WP_MAJOR_RECEPTORS_TARGETED_BY_EPINEPHRINE_AND_NOREPINEPHRINE,4,Down,0.00585762325941197,0.80249438653944,""
WP_GPCRS_CLASS_B_SECRETINLIKE,3,Up,0.0136653688741469,0.994328998337114,""
WP_LET7_INHIBITION_OF_ES_CELL_REPROGRAMMING,2,Up,0.0137624983217271,0.994328998337114,""
WP_MACROPHAGE_MARKERS,8,Up,0.0153118147845517,0.994328998337114,""
WP_LACTO_SERIES_SPHINGOLIPID_METABOLISM,1,Down,0.0169069126033059,0.994328998337114,""
WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_PATHWAY,48,Down,0.0171593534032524,0.994328998337114,""
WP_INTERACTOME_OF_POLYCOMB_REPRESSIVE_COMPLEX_2_PRC2,16,Down,0.0214594641117583,0.994328998337114,""
WP_TRIACYLGLYCERIDE_SYNTHESIS,17,Down,0.0242689597905588,0.994328998337114,""
WP_INTERACTIONS_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY,12,Up,0.0242974494004935,0.994328998337114,""
WP_MICRORNA_FOR_TARGETING_CANCER_GROWTH_AND_VASCULARIZATION_IN_GLIOBLASTOMA,5,Up,0.0245560742417066,0.994328998337114,""
WP_GENES_ASSOCIATED_WITH_THE_DEVELOPMENT_OF_RHEUMATOID_ARTHRITIS,10,Up,0.0246169921004841,0.994328998337114,""
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,50,Up,0.0258232805195986,0.994328998337114,""
WP_SYNTHESIS_OF_CERAMIDES_AND_1DEOXYCERAMIDES,14,Down,0.0258550885278932,0.994328998337114,""
WP_SEROTONIN_RECEPTOR_467_AND_NR3C_SIGNALING,16,Down,0.0266229198378814,0.994328998337114,""
WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME,26,Down,0.0303019449301936,0.994328998337114,""
WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,55,Down,0.0334979251277856,0.994328998337114,""
WP_BIOMARKERS_FOR_UREA_CYCLE_DISORDERS,3,Down,0.0355312349138751,0.994328998337114,""
WP_PEPTIDE_GPCRS,11,Up,0.0355359357834983,0.994328998337114,""
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,12,Down,0.0389057648783449,0.994328998337114,""
WP_CELL_INTERACTIONS_OF_THE_PANCREATIC_CANCER_MICROENVIRONMENT,17,Up,0.0390431622284568,0.994328998337114,""
WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,12,Up,0.0390473977599511,0.994328998337114,""
WP_GLYCOLYSIS_IN_SENESCENCE,10,Down,0.0396385618621412,0.994328998337114,""
WP_NANOPARTICLE_TRIGGERED_REGULATED_NECROSIS,12,Down,0.0398085326719329,0.994328998337114,""
WP_BIOMARKERS_FOR_PYRIMIDINE_METABOLISM_DISORDERS,11,Up,0.0416627348884349,0.994328998337114,""
