,Set,NGenes,Direction,PValue,FDR
1,WP_PTDINS45P2_IN_CYTOKINESIS_PATHWAY,8,Down,9.32398326663855e-07,0.000766431424517689
2,WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,40,Down,1.39987507405752e-05,0.00575348655437641
3,WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,14,Down,0.000113995587879942,0.0312347910791042
4,WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,10,Down,0.000205304478044258,0.042190070238095
5,WP_EXERCISEINDUCED_CIRCADIAN_REGULATION,36,Down,0.00361709203599505,0.594649930717586
6,WP_HYPOTHETICAL_CRANIOFACIAL_DEVELOPMENT_PATHWAY,2,Down,0.00564216661808373,0.690267196296738
7,WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_2,5,Up,0.00720431883164098,0.690267196296738
8,WP_CLASSICAL_PATHWAY_OF_STEROIDOGENESIS_WITH_GLUCOCORTICOID_AND_MINERALOCORTICOID_METABOLISM,4,Down,0.00782061750813878,0.690267196296738
9,WP_WNT_SIGNALING_IN_KIDNEY_DISEASE,12,Down,0.00785367464744652,0.690267196296738
10,WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,28,Down,0.0107901534396246,0.690267196296738
11,WP_INTERACTIONS_OF_NATURAL_KILLER_CELLS_IN_PANCREATIC_CANCER,13,Down,0.0108891502692421,0.690267196296738
12,WP_17P133_YWHAE_COPY_NUMBER_VARIATION,18,Down,0.0117171730957468,0.690267196296738
13,WP_METABOLIC_PATHWAYS_OF_FIBROBLASTS,19,Down,0.013427860930705,0.690267196296738
14,WP_FERROPTOSIS,49,Down,0.0147011100918505,0.690267196296738
15,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,71,Down,0.0153580075142507,0.690267196296738
16,WP_SEROTONIN_TRANSPORTER_ACTIVITY,4,Down,0.0160997990217562,0.690267196296738
17,WP_NANOPARTICLE_TRIGGERED_REGULATED_NECROSIS,12,Down,0.0176153281885981,0.690267196296738
18,WP_NANOMATERIALINDUCED_INFLAMMASOME_ACTIVATION,6,Down,0.0180914742569418,0.690267196296738
19,WP_PROSTAGLANDIN_SIGNALING,20,Down,0.0185582198493564,0.690267196296738
20,WP_LEUKOCYTEINTRINSIC_HIPPO_PATHWAY_FUNCTIONS,23,Down,0.0189393322134808,0.690267196296738
21,WP_MRNA_PROTEIN_AND_METABOLITE_INDUCATION_PATHWAY_BY_CYCLOSPORIN_A,5,Down,0.0195404064133639,0.690267196296738
22,WP_8P231_COPY_NUMBER_VARIATION_SYNDROME,31,Down,0.0203494456762606,0.690267196296738
23,WP_GLYCOSAMINOGLYCAN_DEGRADATION,14,Down,0.0212175718962432,0.690267196296738
24,WP_GENES_CONTROLLING_NEPHROGENESIS,13,Down,0.0226152535057956,0.690267196296738
25,WP_SPINAL_CORD_INJURY,62,Down,0.022634074530212,0.690267196296738
26,WP_ALTERNATIVE_PATHWAY_OF_FETAL_ANDROGEN_SYNTHESIS,3,Down,0.0227380280866955,0.690267196296738
27,WP_TCA_CYCLE_AKA_KREBS_OR_CITRIC_ACID_CYCLE,18,Down,0.0230205072005303,0.690267196296738
28,WP_INTERACTOME_OF_POLYCOMB_REPRESSIVE_COMPLEX_2_PRC2,16,Down,0.025159824021708,0.690267196296738
29,WP_VITAMIN_B6DEPENDENT_AND_RESPONSIVE_DISORDERS,5,Down,0.0258351243403506,0.690267196296738
30,WP_MULTIPLE_EPIPHYSEAL_DYSPLASIA_AND_PSEUDOACHONDROPLASIA_GENES,1,Up,0.0264655040030115,0.690267196296738
31,WP_FATTY_ACID_TRANSPORTERS,10,Down,0.0274134660747487,0.690267196296738
32,WP_PURINE_METABOLISM,10,Up,0.029936000852501,0.690267196296738
33,WP_SILDENAFIL_TREATMENT,12,Up,0.0305007086660266,0.690267196296738
34,WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING,31,Down,0.0313163258739019,0.690267196296738
35,WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,13,Down,0.0319564757365216,0.690267196296738
36,WP_ENVELOPE_PROTEINS_AND_THEIR_POTENTIAL_ROLES_IN_EDMD_PHYSIOPATHOLOGY,31,Down,0.0320219897930709,0.690267196296738
37,WP_VITAMIN_B12_DISORDERS,9,Down,0.0322247406102902,0.690267196296738
38,WP_MAMMARY_GLAND_DEVELOPMENT_INVOLUTION_STAGE_4_OF_4,6,Up,0.0329676699617756,0.690267196296738
39,WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3,7,Up,0.0332384924737705,0.690267196296738
40,WP_LDLRAD4_AND_WHAT_WE_KNOW_ABOUT_IT,7,Up,0.034499128690155,0.690267196296738
41,WP_PHYSIOLOGICAL_AND_PATHOLOGICAL_HYPERTROPHY_OF_THE_HEART,16,Down,0.0353255097700433,0.690267196296738
42,WP_PHYSICOCHEMICAL_FEATURES_AND_TOXICITYASSOCIATED_PATHWAYS,40,Down,0.0368547028771523,0.690267196296738
43,WP_SEBALEIC_ACID_FORMATION_AND_METABOLISM,3,Up,0.0368794916345484,0.690267196296738
44,WP_NAD_BIOSYNTHESIS_II_FROM_TRYPTOPHAN,7,Up,0.0377210103277117,0.690267196296738
45,WP_LTF_DANGER_SIGNAL_RESPONSE_PATHWAY,15,Down,0.0379112272212997,0.690267196296738
46,WP_GLIAL_CELL_DIFFERENTIATION,4,Down,0.0387248720765815,0.690267196296738
47,WP_EBOLA_VIRUS_INFECTION_IN_HOST,106,Down,0.0394678323916626,0.690267196296738
48,WP_T_CELL_RECEPTOR_AND_COSTIMULATORY_SIGNALING,17,Down,0.0450029541298277,0.740366004595864
49,WP_AGERAGE_PATHWAY,53,Down,0.0452988699848992,0.740366004595864
50,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,55,Down,0.0459330571499966,0.740366004595864
51,WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT,22,Down,0.045935117073466,0.740366004595864
52,WP_HORMONAL_CONTROL_OF_PUBERTAL_GROWTH_SPURT,1,Up,0.0474901697131078,0.746192808917022
53,WP_IL10_ANTIINFLAMMATORY_SIGNALING,10,Down,0.0481121884094917,0.746192808917022
54,WP_B_CELL_RECEPTOR_SIGNALING,82,Up,0.0544165481168536,0.788929483702943
55,WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3,55,Down,0.0557844613201698,0.788929483702943
56,WP_SULFATASE_AND_AROMATASE_PATHWAY,2,Up,0.05605257983619,0.788929483702943
57,WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER,34,Down,0.0572047159668043,0.788929483702943
58,WP_16P112_DISTAL_DELETION_SYNDROME,20,Up,0.0577227754510065,0.788929483702943
59,WP_PROXIMAL_TUBULE_TRANSPORT,25,Down,0.0581125857567626,0.788929483702943
60,WP_MELATONIN_METABOLISM_AND_EFFECTS,18,Down,0.0581666626484275,0.788929483702943
61,WP_BENZENE_METABOLISM,3,Down,0.0603500554833941,0.788929483702943
62,WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_1,7,Up,0.0607518223251604,0.788929483702943
63,WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_5,7,Up,0.0607518223251604,0.788929483702943
