,Set,NGenes,Direction,PValue,FDR
1,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,86,Up,8.79062970657524e-07,0.000722589761880484
2,WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,14,Up,0.0001663122615072,0.0461866692902115
3,WP_GDNFRET_SIGNALING_AXIS,4,Down,0.000168564486460626,0.0461866692902115
4,WP_GLP1_SECRETION_FROM_INTESTINE_TO_PORTAL_VEIN,1,Down,0.00114233622294618,0.200792149975928
5,WP_BENZENE_METABOLISM,3,Up,0.00134626850771559,0.200792149975928
6,WP_COMPLEMENT_ACTIVATION,12,Up,0.00146563613121116,0.200792149975928
7,WP_OLIGODENDROCYTE_SPECIFICATION_AND_DIFFERENTIATION_LEADING_TO_MYELIN_COMPONENTS_FOR_CNS,7,Down,0.00269062327233901,0.291082922126257
8,WP_UDPDERIVED_SUGARS_SYNTHESIS_IN_FIBROBLASTS,10,Up,0.00283292381631394,0.291082922126257
9,WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING,19,Up,0.00634152065255773,0.554369283789627
10,WP_FERROPTOSIS,49,Up,0.00729824980475149,0.554369283789627
11,WP_BIOSYNTHESIS_AND_TURNOVER_OF_1DEOXYSPHINGOID_BASES,6,Down,0.00811044851043926,0.554369283789627
12,WP_PHASE_I_BIOTRANSFORMATIONS_NONP450,5,Up,0.0081753893254727,0.554369283789627
13,WP_CHOLESTASIS,8,Up,0.00876739743219604,0.554369283789627
14,WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,28,Up,0.00980292743791727,0.575571882426286
15,WP_8P231_COPY_NUMBER_VARIATION_SYNDROME,32,Up,0.0121039883033071,0.637384876570836
16,WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS,5,Up,0.0128700586226711,0.637384876570836
17,WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,13,Up,0.013181925671173,0.637384876570836
18,WP_ACQUIRED_PARTIAL_LIPODYSTROPHY_BARRAQUERSIMONS_SYNDROME,10,Up,0.0140700258710034,0.63751588239094
19,WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY,12,Down,0.0155652404253302,0.63751588239094
20,WP_CONGENITAL_GENERALIZED_LIPODYSTROPHY,13,Up,0.0156223534962727,0.63751588239094
21,WP_FOXA2_PATHWAY,9,Up,0.016286902104878,0.63751588239094
22,WP_IRON_METABOLISM_DISORDERS,10,Up,0.017404739069903,0.640142785843399
23,WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,56,Up,0.0179115378034041,0.640142785843399
24,WP_CELL_INTERACTIONS_OF_THE_PANCREATIC_CANCER_MICROENVIRONMENT,17,Up,0.0197477856738004,0.650575662219106
25,WP_THYROID_STIMULATING_HORMONE_TSH_SIGNALING,53,Down,0.02049426957385,0.650575662219106
26,WP_COMPLEMENT_SYSTEM,50,Up,0.0210931526661017,0.650575662219106
27,WP_CODEINE_AND_MORPHINE_METABOLISM,1,Up,0.0220388243114732,0.650575662219106
28,WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY,18,Up,0.0224544081521204,0.650575662219106
29,WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY,3,Up,0.0234913720566784,0.650575662219106
30,WP_COMPLEMENT_AND_COAGULATION_CASCADES,23,Up,0.0247580354956459,0.650575662219106
31,WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES,23,Up,0.0247580354956459,0.650575662219106
32,WP_CARDIAC_PROGENITOR_DIFFERENTIATION,12,Down,0.0263131662986056,0.650575662219106
33,WP_KETOGENESIS_AND_KETOLYSIS,5,Up,0.0280432319737608,0.650575662219106
34,WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME,37,Down,0.0284882891302997,0.650575662219106
35,WP_GPCRS_CLASS_B_SECRETINLIKE,3,Down,0.0286546538376937,0.650575662219106
36,WP_SIGNAL_TRANSDUCTION_THROUGH_IL1R,27,Down,0.0295021463945065,0.650575662219106
37,WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,23,Down,0.0297336843130074,0.650575662219106
38,WP_INVOLVEMENT_OF_SECRETASE_IN_NEURODEGENERATIVE_DISEASES,13,Up,0.0300752739225377,0.650575662219106
39,WP_MBDNF_AND_PROBDNF_REGULATION_OF_GABA_NEUROTRANSMISSION,18,Down,0.0331404261637203,0.685224049505618
40,WP_AUTOPHAGY,27,Down,0.0352162012309389,0.685224049505618
41,WP_COPPER_HOMEOSTASIS,40,Up,0.037189269552665,0.685224049505618
42,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,72,Up,0.0387392099740595,0.685224049505618
43,WP_AUTOPHAGY_IN_PANCREATIC_DUCTAL_ADENOCARCINOMA,19,Down,0.0394132219790685,0.685224049505618
44,WP_SPHINGOLIPID_PATHWAY,20,Down,0.0400540642674978,0.685224049505618
45,WP_SPHINGOLIPID_METABOLISM_INTEGRATED_PATHWAY,19,Down,0.0409534052362271,0.685224049505618
46,WP_OSTEOPONTIN_SIGNALING,11,Down,0.0416200473058325,0.685224049505618
47,WP_TGFBETA_SIGNALING_IN_THYROID_CELLS_FOR_EPITHELIALMESENCHYMAL_TRANSITION,11,Up,0.0425474334541068,0.685224049505618
