gene,logFC,logCPM,LR,PValue,FDR
ICAM4,-3.13675555268257,1.92056714087938,50.4310481732566,1.23425989982934e-12,8.41639422336205e-09
FTL,0.562351228294899,16.3215526015159,49.9573440197876,1.57124880488417e-12,8.41639422336205e-09
DEFB1,2.95020274470819,6.3744068199717,40.2663509778501,2.21592929781375e-10,7.91308352249291e-07
EZR,0.725629146234901,6.27778560424146,39.4469328969154,3.37096787196495e-10,9.02829470309012e-07
NLRP2,-2.25479075941249,2.21478371266355,34.8068143482731,3.64096846400435e-09,7.80113903097571e-06
TRGC1,-2.46715610602269,1.52704707257149,31.5653878315191,1.92836219435918e-08,3.44309069802832e-05
NUCB1,0.545906471085302,7.89554252350976,29.559185214444,5.42350278937275e-08,8.3002836260786e-05
RHOA,0.364334629063518,8.92541534652722,28.9704378642969,7.34913149556938e-08,9.84140571400435e-05
IRF8,0.46385165334151,6.40587947650977,28.2829525282728,1.04815011152408e-07,0.000122924936286855
LGMN,1.16828446107365,5.66762937267756,27.9420419924146,1.25004000699445e-07,0.000122924936286855
PLA2G15,0.524140860110548,6.80305128004815,27.9233395349167,1.26218080757528e-07,0.000122924936286855
CD300C,1.04891376174664,5.03889801898317,27.5363943064519,1.54166044996762e-07,0.00013763173667086
NPIPB15,-2.68071842156002,1.47380195124541,25.6151835200564,4.16747234102733e-07,0.000343431778380198
GAPT,-1.35609087084084,4.63964807828249,25.111225008096,5.4116923379048e-07,0.00041411042868553
HLA-DQA2,-4.10901943423909,7.04886747563835,24.9712054975871,5.81929434611944e-07,0.00041561400219985
CD36,1.11376883432278,6.47251824959397,24.1492485853496,8.91509461474711e-07,0.000586827988156536
CLEC4A,-0.681561911393727,5.12988444815148,24.0653446300316,9.31212153333437e-07,0.000586827988156536
ADGRE3,-1.32996416911872,3.71636315054964,23.308972443254,1.37954950501906e-06,0.000821061880403844
MIR3142HG,-2.43237944518117,1.36278125454464,23.1491675693176,1.49908085522099e-06,0.000845244905367495
TRGC2,-1.61557797057665,3.08863034596549,22.9058239439343,1.70135582571418e-06,0.000911331248043799
PKD2L1,0.828196335574088,5.22931233598026,21.9408389090587,2.81185955889691e-06,0.00143445006926012
MUC20,2.31994857474976,1.37800206440029,21.7237032717885,3.1487653174817e-06,0.00153330558391734
EMP3,0.557502242575897,8.76220286790149,21.6262438755586,3.31287756479286e-06,0.00154308075441852
EI24,0.671307730782623,4.71385930398669,21.1960282491537,4.14622842937308e-06,0.00185077271516141
CD99,0.619868140779289,7.33824940919162,20.8367827880759,5.00131649732053e-06,0.00214316414543179
FYN,1.37066331838771,3.38725681566511,20.7100693881916,5.34342708680584e-06,0.00220169747619042
ARHGAP24,-1.21427334841492,4.57739670189695,20.2793792631807,6.69179296848303e-06,0.00265515474338366
RPH3A,-1.60895221533496,3.23923647265332,20.1438483828485,7.1830893658008e-06,0.00272451154625357
VMO1,-1.18075327431681,7.4409645940468,20.0556288051787,7.52218018245664e-06,0.00272451154625357
KLHDC7B,1.50264817481783,2.09371924067814,19.9895467189454,7.78666813522746e-06,0.00272451154625357
ENTPD1,-0.859592804642215,4.32545108067827,19.9658266146695,7.88386613776352e-06,0.00272451154625357
PLEKHG2,-2.30525968868057,1.82057295841848,19.8263912872889,8.48036704050777e-06,0.00283906787827999
HSD11B1,1.64700898130643,3.36203145941445,19.7527804418374,8.81333828282557e-06,0.00286113009163365
OCIAD2,1.2371703224619,2.63551902480533,19.3792787533424,1.07163535650357e-05,0.00337659693359494
CSPG4,2.22640877871223,1.88536534036836,19.187999198696,1.18455750422598e-05,0.00362576129793512
MUC12,1.11294331929643,3.6235014909062,19.0894009850262,1.24735696408571e-05,0.00368406682549084
PSMA6,-0.363451670050902,7.77969035486682,19.0196883364572,1.29376626593184e-05,0.00368406682549084
RPN2,0.30136058822705,7.38628089216988,19.0006015264512,1.3067725134757e-05,0.00368406682549084
TMEM123,0.360449948706773,7.07690280118269,18.7563414561146,1.48528634329502e-05,0.00407996733223577
TSLP,2.17158951416371,1.98416082948509,18.4667566784929,1.72893911100543e-05,0.0046305311740503
NREP,1.34327528584115,2.68745124131432,18.3295468116459,1.85803000223353e-05,0.00475217855499353
PADI2,-2.83596211364544,2.68483895588397,18.3086721381724,1.87850084406258e-05,0.00475217855499353
YWHAQ,0.523226604735053,6.46863212272479,18.2795521356703,1.90743655245703e-05,0.00475217855499353
ENPP2,-1.96747639690033,1.81937756125239,18.0459228541087,2.15639947861758e-05,0.00525034263964322
STXBP2,-1.11182609381774,8.87471324833384,17.9377564371319,2.28247932975746e-05,0.0053802015967602
SH3BP1,-0.787015149429674,4.63473620767448,17.9147992322276,2.31017710679519e-05,0.0053802015967602
CDCA7L,-1.09230732549403,4.29642528881725,17.5810179938755,2.75322887109792e-05,0.00627560444597276
NPC2,0.41507381913663,9.6847345654213,17.4042214481906,3.02154158396192e-05,0.00674370312270502
TRG-AS1,-0.976922634165876,3.91253825259348,17.1431271587411,3.46661485104886e-05,0.00757915202026253
RSAD2,1.26026488615917,3.34324381623176,16.836210068786,4.07483339153819e-05,0.00873073802470972
DUSP2,-1.70028565575114,2.31975289672113,16.6847582406338,4.41341679557165e-05,0.00927077139822728
AP1S2,0.588097312872834,5.7601401228194,16.4039185992983,5.11793157484693e-05,0.0105439232617952
VNN2,-1.2766700322119,3.76419829706766,16.2851971280213,5.4487954730847e-05,0.0107142502739764
ATP9A,2.39901323446272,1.83740633668338,16.279015925115,5.46659930383015e-05,0.0107142502739764
NDRG1,1.00286802049135,4.01586578284389,16.2672530480129,5.50064188433398e-05,0.0107142502739764
DHRS9,1.01341384010892,4.69799944470986,16.1069920982647,5.98626104398797e-05,0.0114519311721863
CBX8,-1.37097219998826,2.14868905171367,15.8550980510012,6.83820657515176e-05,0.0128522293051931
CNRIP1,-1.58834965408406,2.23534280358502,15.7569788065802,7.2021758264711e-05,0.0133029154532733
ITGB1,0.326632523161188,8.27209706851705,15.3936976486051,8.72789060108953e-05,0.0157664104169354
GCHFR,0.460610907198983,10.2255136105464,15.3716665636233,8.83024946341946e-05,0.0157664104169354
INHBA,-1.14444084685093,6.91781742564739,15.1177056540502,0.00010101145249468,0.0177399293536969
ATF2,-0.622142423498137,4.60141097117159,15.0606165244416,0.000104112997831247,0.0179897184800992
TCN2,0.935078336147292,5.40154323209214,14.893661210501,0.000113744546368816,0.0193419892896687
DBP,-0.958602148258161,3.32740822148567,14.8220436917964,0.000118146407029076,0.0197766009141014
ACSM3,-0.818644151621988,4.63208414599266,14.757855591454,0.000122237184895172,0.0201465686427997
EHD1,-0.839019472154918,3.6639247330858,14.6638056436607,0.000128490060029774,0.0208562729257419
TNNI2,0.549082253681925,7.01207788044041,14.5874290134245,0.000133804180235443,0.0213946892964523
