gene,logFC,logCPM,LR,PValue,FDR
PSAP,0.533153895991254,11.4982903285643,49.102708299923,2.42904600490735e-12,2.61195316907687e-08
EPB41L4A,1.07146861945765,4.70463180863142,29.834142484391,4.70630495239106e-08,0.000175333757827748
NPIPB15,-2.73988270057335,1.6487601024739,29.7592488529502,4.8916699849646e-08,0.000175333757827748
RARRES1,1.65254891041152,3.99322892814004,26.2109163629079,3.06087328786008e-07,0.000761515695308985
SPRY1,-1.11175561675878,5.38309539381991,25.9296170969152,3.5409452957732e-07,0.000761515695308985
SERPINB6,0.382385238724787,7.645341644867,22.9244466314921,1.68495240132829e-06,0.00228800675484365
FTL,0.525716161647972,16.2913098980425,22.9199169071989,1.68892766035494e-06,0.00228800675484365
HSD11B1,1.88926515570219,3.28078756126791,22.9048392024859,1.70222766100151e-06,0.00228800675484365
LGMN,1.43022037811969,5.64565931086374,21.1178699043708,4.31881866131656e-06,0.00456866866981919
ZCCHC24,1.09382084017863,3.89746133452833,20.9816188541287,4.63711022230366e-06,0.00456866866981919
ZNF626,-1.06623711656145,3.24222613101288,20.8744629234366,4.90389000662285e-06,0.00456866866981919
SH3PXD2B,-1.55796984758111,2.19726627002035,20.7999286254552,5.09848637941321e-06,0.00456866866981919
DHRS9,1.30679549979456,4.65649514201822,20.2209630105982,6.89927366357516e-06,0.00570676074649413
GATA3,-1.18474005197519,3.26132187893584,19.9684028515053,7.87325078688336e-06,0.00604721897938263
SSR4,0.313239730017212,8.58216084765138,18.5406045927005,1.66323030233296e-05,0.0119231436273242
CPVL,0.684382371876293,7.74993497979273,18.1703906665503,2.01994990428175e-05,0.0135753258254635
APLP2,0.377278233382769,9.69877837274834,17.6824266492217,2.61027032813752e-05,0.0165107275520369
ACADM,0.571496108705969,5.37637302533249,17.0361795516353,3.66743244759855e-05,0.0219088339494596
CXCL5,1.43775253796885,5.69129811027594,16.5114304658758,4.83576677206602e-05,0.0273678947894873
AGRP,0.634307413362172,6.72544806905289,16.214586049915,5.65569721066236e-05,0.0275015824261769
EMP3,0.550761162408187,8.75184072812555,16.206825208411,5.67891432435907e-05,0.0275015824261769
MARCKSL1,1.76156128984552,2.35439842260649,16.1560277716293,5.83326359972469e-05,0.0275015824261769
DEFB1,2.28791952077627,6.37449405712156,16.1401341904305,5.8824178908404e-05,0.0275015824261769
SH3BP5,-0.723036275375285,6.23684439926169,15.8809386772241,6.74546834932835e-05,0.0302225088168032
PADI2,-2.60302473844936,2.73269263277886,15.6153881763511,7.76203374925457e-05,0.0333860595622938
NPC2,0.406122953869077,9.69203095742937,15.0595058067558,0.000104174282192058,0.0430840790927383
NREP,1.44981500715734,2.67789171857069,14.9535202676326,0.000110192281682868,0.0438850964791065
CTSB,0.621290733873258,10.5553315589568,14.7920987863427,0.000120037393505497,0.0453342151363753
GPNMB,0.475890099305233,9.77111314331812,14.7574600137149,0.000122262832600659,0.0453342151363753
ME1,0.674332902723072,4.60759445546906,14.6725021510403,0.000127898609463971,0.0458431249188695
WFDC2,-2.43051615812108,1.50662758573241,14.4721231147787,0.000142249199125749,0.0493421173612637
ZNF772,-1.40623240100484,1.73240375527267,14.3506248408662,0.000151729331314925,0.0509857968634185
TSPO,-0.429830746500076,10.4489202305332,14.1861505918762,0.000165584787512185,0.0539555521248037
FTH1,0.339816768467575,15.2444537260523,14.0467196337738,0.000178324615134829,0.0549339369314261
KNOP1,-0.446197633678691,5.57306459558566,14.0416627223821,0.00017880477937319,0.0549339369314261
CMIP,0.549569649771846,6.08252795133774,13.7213510671735,0.000212030293041116,0.0633322705853089
PKN1,0.514600183143214,5.11134460588563,13.6217968763003,0.00022357460093624,0.0649756130774971
CRACR2B,0.775661265836919,3.83996980937268,13.2758447233597,0.000268847721593505,0.0726570422679181
TSPAN4,0.453556719227064,7.14994003435926,13.2278021887229,0.000275827047067189,0.0726570422679181
NCK1-DT,0.695435806700905,5.13209232142499,13.2021785171701,0.000279623891261101,0.0726570422679181
STXBP2,-1.03847916975307,8.9355641867168,13.1830724881764,0.000282489220836492,0.0726570422679181
GSTP1,0.237297078382306,9.53730670724885,13.1744621022319,0.00028379017718335,0.0726570422679181
GPBAR1,1.16043140832056,3.8991892750092,13.0589310672915,0.000301841650748348,0.0754814714069067
TYMP,0.726350232997396,8.47985141623647,12.9374563629675,0.0003220723419287,0.0784013483924086
CCR1,0.702059837402359,5.33164125761403,12.9027476225478,0.000328100128118514,0.0784013483924086
HLA-DQA2,-3.83218232769006,7.12198472218639,12.8084743046911,0.000345052842123348,0.0806598524207036
MARCO,0.533321831490339,10.9849263098972,12.6819626965129,0.000369199824709314,0.0817113722535927
ERAP2,-1.52936018781521,5.4002517416604,12.6790824049464,0.00036976898881261,0.0817113722535927
ASCL2,0.921911429639099,3.77196919158061,12.6611724918461,0.000373328017938119,0.0817113722535927
KCNAB2,-0.549897566986532,6.63788703400993,12.6214952445918,0.000381336178273754,0.0817113722535927
HEXA,0.358984281920235,7.93626639489432,12.591303336496,0.000387545799770597,0.0817113722535927
PLEKHG2,-3.2500813555973,2.0096164172221,12.52650356657,0.000401219901831145,0.0829676462382751
ARMH1,-1.0081054023426,3.65011480348839,12.4355805110553,0.000421231369121363,0.0841709430891401
APOBEC3A,2.7256149556761,1.77160323418819,12.4291058846979,0.000422694218061338,0.0841709430891401
FOXO1,0.655315846972586,4.27697215884592,12.2555204314503,0.00046388375787571,0.0871277689829395
C3,2.18701115704937,5.45523929399531,12.2521219945389,0.00046472936786059,0.0871277689829395
HIVEP3,1.56691397860506,1.97442324504051,12.212954522262,0.000474588157508491,0.0871277689829395
LINC01091,2.8204295847562,2.69478163805989,12.2128220385648,0.000474621860489758,0.0871277689829395
CRYBG1,0.430318853350583,5.83008137029266,12.1993714456168,0.000478056204779451,0.0871277689829395
TPD52L1,1.14269438449263,4.72795397926305,12.082554440644,0.000508958171369477,0.0912137869455997
ICAM4,-2.35350664491015,2.00092837133267,11.9787976813797,0.000538092910956967,0.0915940632835429
CNPY2,-0.334476335041807,6.35371388350843,11.9742359344003,0.000539411800805782,0.0915940632835429
KLHDC7B,1.37925034106552,2.08468809247871,11.9396938289775,0.000549505093648905,0.0915940632835429
MUC20,1.62495825677176,1.40268594954872,11.9263308703773,0.000553460743996526,0.0915940632835429
TRGC2,-1.77442957591485,3.26389286018708,11.8903124088801,0.000564266564182631,0.0915940632835429
GRK6,0.654175585849041,4.71162442075557,11.874251777339,0.000569153305732472,0.0915940632835429
EXTL2,-0.66524395027088,3.77450950248657,11.8586396040542,0.000573944551749451,0.0915940632835429
RBM47,0.340350797922435,6.72096661030284,11.8415881065624,0.000579224058707423,0.0915940632835429
RTN4R,-1.12806932094993,2.10026974783493,11.747941004401,0.000609105837433333,0.0949234068104438
CASZ1,1.02536653757084,2.42591641542916,11.6331989115971,0.000647850424255503,0.0995108032719083
EIF5A2,0.992601734428994,2.72956750115243,11.6069709314134,0.000657050779531804,0.0995108032719083
DUSP6,0.668265722673836,6.16805194140361,11.4245848660068,0.000724786178740279,0.107972572490451
LY86,0.62058876333459,7.75864057755956,11.4036371627823,0.000733004537506084,0.107972572490451
A2M,1.83254439705979,5.2239352562635,11.3325583933861,0.000761599030814874,0.110668572680437
DGCR8,0.878176492937179,2.94957245503354,11.2773561365513,0.0007845821360453,0.112167901072901
SPINT1,0.7388100264833,5.47867551343642,11.2580611631287,0.00079277973417097,0.112167901072901
GNAQ,-0.305577428706688,6.58620090421961,11.2313498694733,0.000804271269187976,0.11231596048803
BNIP3,1.03726299498034,2.75996862164096,11.202388433364,0.000816921157921544,0.11261991296321
TRAPPC12,0.537861750573822,4.49538385006628,11.0372244263534,0.000893004602421401,0.121352009159692
AMD1,-0.495006771902205,6.50753926406511,11.0169340480727,0.000902832765997893,0.121352009159692
SKAP1,1.35358046530499,3.21763953357163,10.9587615046479,0.000931620630406171,0.122013286861942
RMDN3,0.465306936465179,7.56404746416581,10.9412831901393,0.000940450141180619,0.122013286861942
ATP8B1,1.27751087132088,2.20535361241391,10.9386390094888,0.000941793249283102,0.122013286861942
CNIH4,-0.42373299589303,6.58290760892891,10.8717963193052,0.000976397808235292,0.124990543237549
IFI27L1,-0.620337986275854,3.86232589979042,10.7459767990585,0.00104506264946388,0.131101435621751
LIPA,1.20884944784119,8.54113026551965,10.7398666918014,0.00104851887505539,0.131101435621751
BHLHE41,-0.717633537606781,7.26194286485171,10.6819465090677,0.00108186162871356,0.133715610270769
SPIRE2,0.811845981561865,3.16126564305261,10.5731428279642,0.00114742484294907,0.138522606716259
RAB20,-0.608437386345773,5.03931181896865,10.5717420085778,0.00114829465987532,0.138522606716259
RPH3A,1.72240626625138,3.1196636732826,10.5527155124311,0.0011601751472415,0.138522606716259
PLXNA2,-1.19793245253963,1.81316813426749,10.5322998326628,0.00117306143390392,0.138522606716259
TRGC1,-2.13355956528657,1.72224990101934,10.5133297435065,0.00118516505327777,0.138522606716259
IRF8,0.308040341440708,6.41074069864756,10.3635787041803,0.00128525811085797,0.148606241570492
PON2,0.796253981408224,4.33231431005523,10.2919584990483,0.00133611201161694,0.149815198657471
MORC2,-0.924871364690406,2.47476946416362,10.281429108588,0.00134375826746428,0.149815198657471
SAP30,-0.834880013221452,3.90859124276879,10.273255202939,0.00134972454091919,0.149815198657471
INHBA,-1.04625332757142,7.04901815587197,10.2709066894051,0.00135144371522131,0.149815198657471
COPS9,-0.278369860481581,7.79244347450559,10.2391802445372,0.00137488675365483,0.150858747571942
CCDC191,1.05712116331451,2.45959120716711,10.2046782273448,0.00140084832534274,0.152154768105157
WDR6,0.826576604890947,3.62945481282623,10.0990498677528,0.00148345788791116,0.155337119965581
SLC1A3,-1.03494526422333,4.98870359021114,10.0965470868827,0.00148547398061894,0.155337119965581
