,logFC,logCPM,LR,PValue,FDR
VNN1,-2.83329662608285,1.56153738826448,24.865808276775,6.14629432675857e-07,0.00658452511225645
TLCD4,1.01586174595338,4.00128508271851,21.3361633110567,3.85392309029705e-06,0.0206435390331762
RBM24,1.85569898097107,1.92104484612738,16.3597283541239,5.23865668148454e-05,0.1452268445025
PLA2G15,0.364035944291795,6.80305127992647,16.1318618113092,5.90816660141162e-05,0.1452268445025
MT1H,-2.58926588073622,3.70016706470767,15.6913577543912,7.45640878421787e-05,0.1452268445025
NAGK,-0.35986282204864,7.0690170775638,15.3396226617361,8.98128908247367e-05,0.1452268445025
BOLA2B,-0.776843983289716,3.39864055983228,14.9099105990454,0.000112769000698242,0.1452268445025
NLRP2,-1.28871611749748,2.21478371248603,14.7428858902404,0.000123211547450541,0.1452268445025
TRGC2,-1.0595997899077,3.08863034620294,14.6087378661217,0.000132299684245234,0.1452268445025
MYOM2,-1.70543277835705,1.41593394354525,14.5628451141638,0.000135561322227668,0.1452268445025
RHOD,-1.22463077629838,1.92599453756074,13.8359699859485,0.000199480581247169,0.194275951536447
PMP22,-0.788895828046525,4.05878846030487,13.5044020671681,0.000238004470711497,0.194978563141514
DENND3,-0.951459082780497,2.92033199091702,13.3510320083361,0.00025828045188022,0.194978563141514
ANXA6,-1.50350759500392,2.66729664588699,13.2255587082766,0.000276157393623685,0.194978563141514
MCM3AP,-0.547299815675858,4.36834548123412,13.1303165054468,0.000290555684857345,0.194978563141514
CLEC4A,-0.427253318901079,5.1298844482807,13.1261475960279,0.000291202931976498,0.194978563141514
GPR153,-1.06679733240819,2.35320718116456,12.9631921353607,0.000317675070396914,0.200191354656597
TSC22D1,0.543232256294727,5.19366112757398,12.8013751164689,0.000346364668739812,0.203014333567543
SIGLEC12,-2.23801850715668,1.9469259710649,12.66337621868,0.00037288823937945,0.203014333567543
L1TD1,-1.1592620908338,3.11367123550148,12.6173497509132,0.000382182808747385,0.203014333567543
SNCA,-1.33526778075719,1.64618307534948,12.5417667806796,0.000397955848494203,0.203014333567543
HIVEP3,-1.20553975009174,2.03286396242207,12.3963080977467,0.000430183531790469,0.209479826185059
CARMIL1,1.19885492569865,3.11211650790831,12.1806822527016,0.000482869798761824,0.211347364840549
SERPINA9,-1.24701652726737,1.86353473639843,12.176957225285,0.000483835048979262,0.211347364840549
ESR1,-1.02268190195461,2.28957679396142,12.1411897044752,0.000493203035658893,0.211347364840549
MT1X,-1.00515846605953,5.13451384485149,11.8197580801953,0.000586054741924496,0.24147709423989
CLCN4,0.579711603635463,4.5001474253158,11.4845049061756,0.000701788189100789,0.274223347426334
CTSW,-0.859000156590374,4.58389341941116,11.4453715092727,0.000716723021370051,0.274223347426334
ATP9A,2.12647065140605,1.83740633768567,11.3114276967156,0.000770315193185256,0.277037511410977
CLEC12A,-0.461706779483688,7.2970386253184,11.2982587862484,0.000775798127726062,0.277037511410977
GIMAP7,-0.824745183911815,3.0348651063185,11.2032611431987,0.000816537049636652,0.281213493119332
G0S2,2.51939760196192,3.48575297711962,11.1170628994778,0.000855371332323414,0.281213493119332
HSD11B1,1.23311531319616,3.3620314610902,10.963746249507,0.000929117883227003,0.281213493119332
CD48,-0.776387660106641,5.61643119945624,10.8855860392406,0.000969155108963079,0.281213493119332
ROBO3,1.26643406096477,1.8629966137085,10.8777335450338,0.000973272745937465,0.281213493119332
EPM2A,-1.04583522812811,2.46807521661046,10.8414254392161,0.000992542964620185,0.281213493119332
FFAR2,0.888029937998301,2.87005558155754,10.8198958886032,0.0010041513552254,0.281213493119332
CD163,-0.399388263139479,7.71508753968243,10.7491997487511,0.00104324420936977,0.281213493119332
CD93,-1.1532605827721,1.65156379743552,10.7168873562411,0.0010616211269606,0.281213493119332
C1GALT1C1,-0.639747590744677,4.31456730414357,10.6985582998397,0.00107219054286144,0.281213493119332
FDFT1,-0.515414473253031,6.2731053763842,10.6915852212488,0.00107623944907053,0.281213493119332
RRAS,-0.341832169327257,5.9392509502532,10.6296959755308,0.00111286009054973,0.28385881309665
ZP3,-1.21453184858857,1.79897216527403,10.5171978716073,0.00118268683026039,0.294654046804176
IRF8,0.268796705136538,6.40587947670587,10.3839493790685,0.00127115498595312,0.296867038486539
ING2,-0.403441139065118,5.44969946746664,10.3727645616061,0.00127887901277819,0.296867038486539
MT1G,-1.65468798275375,4.78274150871934,10.3246249919494,0.00131266929083926,0.296867038486539
SIRPB1,0.653248933757199,6.79651351673082,10.293572470477,0.00133494387333448,0.296867038486539
WDR74,-0.592813670734847,4.14089589736266,10.2928753079514,0.0013354483292572,0.296867038486539
