gene,logFC,logCPM,LR,PValue,FDR
RPH3A,2.99320538853558,3.1196636732826,37.6123034925443,8.62984242053756e-10,9.27966955480403e-06
CXCL5,1.79099859295273,5.69129811027594,34.4947194241613,4.27409278530313e-09,2.29796598601823e-05
ASAH1,-0.375661040961764,9.64031374549506,30.7063842640777,3.00175776503113e-08,0.000107593004157933
SPOCD1,1.52344880244557,4.3996566587987,29.8573717798981,4.65025392184716e-08,0.000122776555821931
ASCL2,1.38316726696488,3.77196919158061,29.4597725210754,5.7089442863355e-08,0.000122776555821931
HIVEP3,2.2446432235542,1.97442324504051,27.2441238565353,1.79319279534908e-07,0.000321370035473145
SIPA1,0.949227435920287,4.19268711998169,26.3915801367836,2.78752963937089e-07,0.000428204374459359
C3,3.02603546425412,5.45523929399531,24.5641078135805,7.18781570488264e-07,0.000867738805410379
KIFC3,1.75888461710933,3.16480765819049,24.5441200038636,7.26276318115262e-07,0.000867738805410379
GNAQ,-0.438898537447191,6.58620090421961,24.213953844225,8.62054413396481e-07,0.000926967110725236
PLTP,2.44622788808705,6.5507144566698,23.5189553318484,1.23689140946606e-06,0.00120911757508987
TBC1D2B,0.819093464513931,5.03284367937117,23.3157107723526,1.37472493183584e-06,0.0012318680993359
KNOP1,-0.581132022104486,5.57306459558566,22.5026682251245,2.09851902729689e-06,0.00173579808465565
TTC3,0.547062832335064,6.62147402526177,22.3335004413091,2.29173592001054e-06,0.00176021688199095
AGRP,0.660099074453616,6.72544806905289,21.9233234580279,2.83764069634672e-06,0.0019425944818366
LINC01678,1.69588027062961,2.4699669086967,21.8879073982723,2.89049676456669e-06,0.0019425944818366
WDR6,1.12539708755461,3.62945481282623,20.5827110850665,5.71095437354407e-06,0.00340190361183301
ATP6V1G1,-0.355807779443272,7.98878075986949,20.4929797766686,5.98503629223424e-06,0.00340190361183301
TMEM33,-0.379736273266339,6.76348375170915,20.4846978412458,6.01098936341739e-06,0.00340190361183301
GLIPR1,0.527015602234676,6.90727423236402,19.543224885665,9.83489122244472e-06,0.0052877292657474
PSAP,0.284530596858848,11.4982903285643,19.4219140924489,1.0479764102705e-05,0.00536613825697082
CORO1B,0.389124060522564,6.495576846377,19.1470352827758,1.21025338811882e-05,0.00577374773988808
APOL6,-0.487166297344209,7.30513690257924,19.0436395910262,1.27762901615926e-05,0.00577374773988808
CNPY2,-0.421858469769004,6.35371388350843,18.893485435015,1.38223891799875e-05,0.00577374773988808
DENND3,1.14410302071307,2.91701377025024,18.8592945186182,1.4072372612546e-05,0.00577374773988808
ARHGEF6,0.622411333203791,4.94994551549465,18.8590123727531,1.40744542712262e-05,0.00577374773988808
COL6A1,1.6763040273664,2.24799822006843,18.8025311049275,1.44974601485147e-05,0.00577374773988808
FUS,0.386021503310106,6.74448676821227,18.6956096046985,1.5333513548201e-05,0.00588861682799306
CHMP2B,-0.423303752445869,6.46438920877088,17.7000605496652,2.58618369423767e-05,0.00958939078073713
TNFRSF1A,0.473286187346299,6.25781776692004,17.4007722660043,3.02702961173656e-05,0.0108498831383344
ACO1,0.68719915912771,7.60744747334638,16.9942629730168,3.74929357205868e-05,0.0130052108968861
ZYX,0.515051284251438,6.97019812404922,16.7422529232343,4.28167327895145e-05,0.0137477325975823
KDM2A,0.504092685983774,5.34223218151354,16.727337506475,4.31546589283836e-05,0.0137477325975823
RHOA,-0.263387767675257,8.95189542451268,16.7135650794629,4.34690698705289e-05,0.0137477325975823
ARPP19,-0.490429018590969,6.11752335545312,16.6078204877545,4.59611123195177e-05,0.0141205668791935
BOLA3,-0.595700724322719,5.59113935207003,16.3132646042663,5.36868285898614e-05,0.0160359574396328
HSPD1,-0.331214608154053,7.22716956035007,16.1850968786558,5.74442728351637e-05,0.0166945477242301
DDX17,0.389035886607085,7.86043635614155,15.9128732702588,6.63260546992804e-05,0.0187685280574043
PDGFB,-2.37540936468664,1.29477439558675,15.6929162033383,7.45026752592798e-05,0.0195532536492469
HLA-DPB1,0.381467819567168,10.7993960137926,15.6805298088447,7.49921846528834e-05,0.0195532536492469
TPM4,0.605207396298592,7.55877264600145,15.6529084827512,7.60954618926397e-05,0.0195532536492469
AMD1,-0.519010471776358,6.50753926406511,15.6310180216293,7.69814189123694e-05,0.0195532536492469
VAV1,0.66006741957494,4.89786907970764,15.601532431756,7.81911937987182e-05,0.0195532536492469
SLC46A2,1.6342010398702,2.66257676077803,15.5224295917726,8.153207287278e-05,0.0199253268091137
ACTB,0.417443815818767,12.2375695131254,15.2434354709625,9.45046570884575e-05,0.0222559367618067
IFT88,0.981976084902187,3.21891497946685,15.2294289226721,9.52081364310528e-05,0.0222559367618067
HSPA8,-0.459907681722144,8.0832332463336,15.1759911784406,9.79407984430716e-05,0.0224076043757096
PLEKHB2,-0.511348267848521,6.96240186634863,15.10891997502,0.000101482637849876,0.0227342250999942
AKR1C1,2.58974505780316,3.57358182408266,15.015501732136,0.000106631664178947,0.0232005728702534
ABCC3,0.806018480128567,5.67009874025032,14.9935454307088,0.000107879535340154,0.0232005728702534
FMNL1,0.43979122340567,6.37641724203796,14.8984044044731,0.000113458910112278,0.0239220325575946
C15orf48,1.63575801448622,6.56432367941852,14.818593434441,0.000118362749388904,0.0244159697481228
FLII,0.431116702852081,6.1935938091466,14.7528901465356,0.00012255951788803,0.0244159697481228
CD44,0.385185521528614,8.81854368757177,14.7479077999288,0.000122883808075691,0.0244159697481228
TLR1,0.655419730656672,4.60865736811261,14.7174657522739,0.000124884063623803,0.0244159697481228
CRACR2B,0.854107588426802,3.83996980937268,14.6343747624825,0.000130512161722529,0.0250434479917378
CSF1R,0.631634630239304,5.83576192070979,14.5480249854801,0.000136631800920639,0.0250434479917378
DBP,0.96777078667649,3.28469353143385,14.5453093225409,0.000136828877756687,0.0250434479917378
TRMT1,0.791026092238209,3.89516650309115,14.5359852651231,0.000137507709506326,0.0250434479917378
CEP164,0.780195216739547,4.06038463957704,14.4848589840736,0.000141290651999912,0.0250434479917378
POLR2K,-0.411305308003134,6.94291930786689,14.4501632260905,0.000143917383548319,0.0250434479917378
REV3L,0.471744538845814,5.77006232345851,14.4439056951446,0.000144396333626685,0.0250434479917378
HES2,-0.940200789188791,4.59268928628606,14.4007339629751,0.000147744713650219,0.025217442950489
UBE2L6,-0.558686675863901,6.70304929075955,14.1340529617834,0.000170234027989762,0.0280134305738694
MAP1LC3B,-0.308163902562637,7.48126489592212,14.1164175450191,0.000171837434758904,0.0280134305738694
