,Set,N,DE,P.DE,FDR
1,REACTOME_NEUTROPHIL_DEGRANULATION,443,6,3.95031703922175e-05,0.0337632519253167
2,REACTOME_INNATE_IMMUNE_SYSTEM,916,8,4.01755021178509e-05,0.0337632519253167
3,REACTOME_FORMATION_OF_THE_NEPHRIC_DUCT,8,2,5.84139306666379e-05,0.0337632519253167
4,REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,13,2,0.000161979236775783,0.070217999142302
5,REACTOME_KIDNEY_DEVELOPMENT,22,2,0.000475762440264757,0.164994414283818
6,REACTOME_METABOLISM_OF_LIPIDS,648,5,0.00237842381529949,0.687364482621554
7,REACTOME_HEMOSTASIS,489,4,0.00550066905893998,1
8,REACTOME_PREDNISONE_ADME,4,1,0.00587648285975051,1
9,REACTOME_BETA_DEFENSINS,5,1,0.00734037365546336,1
10,REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA,5,1,0.00734037365546336,1
11,REACTOME_GLUCOCORTICOID_BIOSYNTHESIS,5,1,0.00734037365546336,1
12,REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA,6,1,0.00880217824511142,1
13,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_UNSATURATED_FATTY_ACIDS,6,1,0.00880217824511142,1
14,REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,6,1,0.00880217824511142,1
15,REACTOME_DEFENSINS,7,1,0.0102618995028028,1
16,REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,107,2,0.0108067164013068,1
17,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,107,2,0.0108067164013068,1
18,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,107,2,0.0108067164013068,1
19,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,111,2,0.011591447183763,1
20,REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM,10,1,0.0146285919678986,1
