Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,20,1,0.0018988389072182,1,VNN1,1,2,0.5
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS,68,1,0.00644868989092817,1,VNN1,1,2,0.5
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,122,1,0.0115548482083758,1,VNN1,1,2,0.5
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,180,1,0.0170245878683637,1,VNN1,1,2,0.5
REACTOME_NEUTROPHIL_DEGRANULATION,443,1,0.0416366005518904,1,VNN1,1,2,0.5
REACTOME_INNATE_IMMUNE_SYSTEM,916,1,0.0851155408580357,1,VNN1,1,2,0.5
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,1245,1,0.114762596189312,1,VNN1,1,2,0.5
REACTOME_2_LTR_CIRCLE_FORMATION,7,0,1,1,"",0,2,0
REACTOME_ABACAVIR_ADME,5,0,1,1,"",0,2,0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,3,0,1,1,"",0,2,0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,95,0,1,1,"",0,2,0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,15,0,1,1,"",0,2,0
REACTOME_ABC_TRANSPORTER_DISORDERS,72,0,1,1,"",0,2,0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,20,0,1,1,"",0,2,0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,17,0,1,1,"",0,2,0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,23,0,1,1,"",0,2,0
