Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
REACTOME_RHO_GTPASE_CYCLE,426,11,3.28671991227087e-05,0.0559574596580577,"WDR6,ARHGEF6,RHOA,TPM4,VAV1,ACTB,FMNL1,STEAP3,PKN1,SH3BP1,ARAP2",11,120,0.0916666666666667
REACTOME_INNATE_IMMUNE_SYSTEM,916,16,6.45414759608509e-05,0.0559574596580577,"ASAH1,C3,ATP6V1G1,GLIPR1,PSAP,RHOA,VAV1,ACTB,HSPA8,CD44,TLR1,POLR2K,UBE2L6,HK3,TRIM25,GOLGA7",16,120,0.133333333333333
REACTOME_DEATH_RECEPTOR_SIGNALING,147,6,0.000198605302586227,0.114793864894839,"ARHGEF6,TNFRSF1A,RHOA,VAV1,TNF,RTN4R",6,120,0.05
REACTOME_TNFR1_MEDIATED_CERAMIDE_PRODUCTION,6,2,0.000475980977005548,0.125100238018715,"TNFRSF1A,TNF",2,120,0.0166666666666667
REACTOME_RAC1_GTPASE_CYCLE,177,6,0.000536533817024557,0.125100238018715,"ARHGEF6,VAV1,FMNL1,PKN1,SH3BP1,ARAP2",6,120,0.05
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,29,3,0.000591962696123907,0.125100238018715,"ARHGEF6,RHOA,GNG12",3,120,0.025
REACTOME_INFECTIOUS_DISEASE,903,14,0.000632668324379795,0.125100238018715,"C3,CHMP2B,VAV1,ACTB,HSPA8,TLR1,POLR2K,UBE2L6,MAP1LC3B,ENTPD1,TRIM25,GNG12,GOLGA7,MED19",14,120,0.116666666666667
REACTOME_P75NTR_REGULATES_AXONOGENESIS,7,2,0.000663887835767022,0.125100238018715,"RHOA,RTN4R",2,120,0.0166666666666667
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS,70,4,0.000688209863501555,0.125100238018715,"ARHGEF6,RHOA,VAV1,GNG12",4,120,0.0333333333333333
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,32,3,0.000793600125839601,0.125100238018715,"HLA-DPB1,HLA-DRA,FYB1",3,120,0.025
REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY,32,3,0.000793600125839601,0.125100238018715,"CHMP2B,IFT88,HSPA8",3,120,0.025
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,625,11,0.000899884095826707,0.130033251846959,"WDR6,ARHGEF6,RHOA,TPM4,VAV1,ACTB,FMNL1,STEAP3,PKN1,SH3BP1,ARAP2",11,120,0.0916666666666667
REACTOME_NEUTROPHIL_DEGRANULATION,443,9,0.000993990554059194,0.132583047749126,"ASAH1,C3,GLIPR1,PSAP,RHOA,HSPA8,CD44,HK3,GOLGA7",9,120,0.075
