Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
WP_REGULATION_OF_ACTIN_CYTOSKELETON,119,8,4.07040943126203e-07,0.000337843982794748,"ARHGEF6,RHOA,PDGFB,VAV1,ACTB,RDX,GNG12,CFL2",8,120,0.0666666666666667
WP_FERROPTOSIS,61,5,2.5488757470301e-05,0.0105778343501749,"AKR1C1,MAP1LC3B,STEAP3,SLC3A2,SLC39A8",5,120,0.0416666666666667
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,184,7,8.99587268915019e-05,0.0248885811066489,"CXCL5,ACTB,HSPA8,MAP1LC3B,STEAP3,HLA-DRA,TNF",7,120,0.0583333333333333
WP_ROS_IN_COVID19_ENDOTHELIAL_DYSFUNCTION,6,2,0.000475980977005548,0.0987660527286512,"TNFRSF1A,TNF",2,120,0.0166666666666667
WP_OPIOID_RECEPTOR_PATHWAYS,31,3,0.000722189565600162,0.105833842510876,"HSPA8,MAP1LC3B,TNF",3,120,0.025
WP_ALLOGRAFT_REJECTION,73,4,0.000806314644032302,0.105833842510876,"C3,HLA-DPB1,HLA-DRA,TNF",4,120,0.0333333333333333
WP_HIPPO_SIGNALING_REGULATION,75,4,0.000892574575392931,0.105833842510876,"GNAQ,RHOA,CSF1R,TCF7L1",4,120,0.0333333333333333
WP_G13_SIGNALING,35,3,0.00103425598697607,0.107304058648767,"RHOA,PKN1,CFL2",3,120,0.025
WP_PDGF_PATHWAY,39,3,0.00142043459433009,0.10936749258641,"RHOA,PDGFB,VAV1",3,120,0.025
WP_SMITHMAGENIS_AND_POTOCKILUPSKI_SYNDROME_COPY_NUMBER_VARIATION,148,5,0.00159825954149053,0.10936749258641,"RHOA,IFT88,FLII,TNF,CFL2",5,120,0.0416666666666667
WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME,11,2,0.00171298482364257,0.10936749258641,"RHOA,PLEKHB2",2,120,0.0166666666666667
WP_IRON_METABOLISM_IN_PLACENTA,11,2,0.00171298482364257,0.10936749258641,"ACO1,STEAP3",2,120,0.0166666666666667
WP_PTDINS45P2_IN_CYTOKINESIS_PATHWAY,11,2,0.00171298482364257,0.10936749258641,"RHOA,RDX",2,120,0.0166666666666667
WP_NANOPARTICLE_TRIGGERED_REGULATED_NECROSIS,12,2,0.002047931329692,0.121413071688883,"TNFRSF1A,TNF",2,120,0.0166666666666667
WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,14,2,0.00280269759212956,0.122784701647452,"GNAQ,RHOA",2,120,0.0166666666666667
