Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOBP_RESPONSE_TO_INTERFERON_ALPHA,15,Up,2.01477770849699e-06,0.0320027291217662,""
GOBP_RESPONSE_TO_INTERFERON_BETA,25,Up,6.30597832672089e-06,0.045604870369485,""
GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,13,Down,9.1437895806934e-06,0.045604870369485,""
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,44,Up,1.41578520683942e-05,0.045604870369485,""
GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,14,Down,1.43556000911247e-05,0.045604870369485,""
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX,13,Down,3.65272443372673e-05,0.0966997915088588,""
GOBP_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,8,Down,4.63379613558568e-05,0.105147454025204,""
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,64,Up,7.57868117705355e-05,0.131342253251786,""
GOCC_VACUOLAR_LUMEN,121,Up,9.52165831987349e-05,0.131342253251786,""
GOBP_POSITIVE_REGULATION_OF_MEMBRANE_DEPOLARIZATION,6,Down,9.94837681268125e-05,0.131342253251786,""
GOBP_RESPONSE_TO_CORTICOTROPIN_RELEASING_HORMONE,3,Down,0.000105162931858428,0.131342253251786,""
HP_ATROPHY_OF_ALVEOLAR_RIDGES,3,Up,0.000111539232718199,0.131342253251786,""
GOBP_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,24,Down,0.000123449958985423,0.131342253251786,""
GOMF_MHC_CLASS_II_RECEPTOR_ACTIVITY,8,Down,0.00012349648556113,0.131342253251786,""
GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,23,Down,0.000124032598764593,0.131342253251786,""
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,6,Down,0.000174360698698752,0.167840675082648,""
HP_ABNORMALITY_OF_THE_FIFTH_METATARSAL_BONE,6,Down,0.000189702777667151,0.167840675082648,""
GOBP_ISG15_PROTEIN_CONJUGATION,6,Up,0.00019019970734624,0.167840675082648,""
GOCC_LYSOSOMAL_LUMEN,60,Up,0.000208519013259158,0.174321895084656,""
GOBP_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,40,Down,0.000223765679428563,0.177714702602165,""
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION,5,Down,0.000254233212193638,0.192297159165893,""
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION,29,Down,0.000291458230286078,0.193975578855532,""
HP_CHERRY_RED_SPOT_OF_THE_MACULA,12,Up,0.000292500874104911,0.193975578855532,""
GOBP_DEFENSE_RESPONSE_TO_VIRUS,236,Up,0.000301751434389797,0.193975578855532,""
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,30,Down,0.000313689897465923,0.193975578855532,""
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,13,Down,0.000317512279667831,0.193975578855532,""
GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX,9,Up,0.000405205662872424,0.238380990706133,""
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,69,Up,0.000425555437549773,0.241181866107155,""
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,2,Down,0.000470702458406057,0.241181866107155,""
GOBP_MEMBRANE_REPOLARIZATION_DURING_ATRIAL_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,2,Down,0.000470702458406057,0.241181866107155,""
GOBP_REGULATION_OF_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,2,Down,0.000470702458406057,0.241181866107155,""
GOMF_MHC_PROTEIN_COMPLEX_BINDING,27,Down,0.000517009964125354,0.256630820942723,""
GOCC_ENDOPLASMIC_RETICULUM_LUMEN,149,Up,0.000539966510746351,0.25990388050591,""
GOMF_PROTEIN_DISULFIDE_ISOMERASE_ACTIVITY,16,Up,0.000581788978902538,0.264897552176844,""
GOCC_RESPIRATORY_CHAIN_COMPLEX_IV,16,Up,0.000583695185481587,0.264897552176844,""
GOMF_BENZODIAZEPINE_RECEPTOR_ACTIVITY,1,Down,0.000618067537283517,0.27270513228365,""
GOBP_PHOSPHATIDYLSERINE_EXPOSURE_ON_APOPTOTIC_CELL_SURFACE,2,Up,0.000673899982855069,0.289303441288376,""
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY,72,Up,0.000717636563600043,0.299972083584818,""
GOMF_RETINOL_BINDING,3,Up,0.000766056557825047,0.30353506322302,""
HP_THUMB_CONTRACTURE,1,Up,0.000774094734010948,0.30353506322302,""
GOBP_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,20,Down,0.000783488893990418,0.30353506322302,""
GOBP_HEAT_GENERATION,10,Down,0.000862271543614427,0.326102885685037,""
GOBP_REGULATION_OF_MYOTUBE_DIFFERENTIATION,19,Down,0.000939273179162564,0.34696314367019,""
HP_PROMINENT_INTERPHALANGEAL_JOINTS,4,Down,0.000972951598910933,0.351235527206847,""
GOBP_MONOACYLGLYCEROL_CATABOLIC_PROCESS,5,Up,0.00102109347737638,0.351614224508157,""
GOBP_GLAND_MORPHOGENESIS,55,Down,0.00106478566594047,0.351614224508157,""
GOBP_FEVER_GENERATION,5,Down,0.00108696949975889,0.351614224508157,""
GOBP_INTERLEUKIN_27_MEDIATED_SIGNALING_PATHWAY,7,Up,0.00109753611245144,0.351614224508157,""
GOCC_AZUROPHIL_GRANULE,129,Up,0.0011048257625969,0.351614224508157,MGST1
HP_APLASIA_HYPOPLASIA_OF_THE_INNER_EAR,1,Up,0.0011343104733256,0.351614224508157,""
