,Set,NGenes,Direction,PValue,FDR
1,GOCC_RESPIRASOME,81,Down,2.90331485951591e-07,0.00397878121868491
2,GOCC_NADH_DEHYDROGENASE_COMPLEX,42,Down,5.00790587625539e-07,0.00397878121868491
3,GOBP_VITAMIN_A_METABOLIC_PROCESS,3,Down,8.98904558707281e-07,0.00476119781261957
4,GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,122,Down,1.9174593604995e-06,0.00761710730958428
5,GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,53,Down,3.69972164119921e-06,0.0109494227670756
6,GOMF_NADH_DEHYDROGENASE_UBIQUINONE_ACTIVITY,34,Down,4.89588301826038e-06,0.0109494227670756
7,GOBP_ELECTRON_TRANSPORT_CHAIN,105,Down,5.26945249321794e-06,0.0109494227670756
8,GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,79,Down,6.07415974346842e-06,0.0109494227670756
9,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,64,Down,6.20168690394462e-06,0.0109494227670756
10,GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,54,Down,8.08982734208073e-06,0.0128547356465663
11,GOMF_ELECTRON_TRANSFER_ACTIVITY,87,Down,2.80293832095108e-05,0.0392239647912183
12,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,42,Down,3.1811173639777e-05,0.0392239647912183
13,HP_OSTEOCHONDROSIS,7,Up,3.20900907668872e-05,0.0392239647912183
14,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,14,Down,3.99397922238782e-05,0.0453316641741018
15,GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,136,Down,4.82940148102761e-05,0.0511594596890192
16,GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,92,Down,7.21636271715753e-05,0.0716675022347707
17,GOBP_OXIDATIVE_PHOSPHORYLATION,117,Down,7.94966574078856e-05,0.0743059933065472
18,GOBP_ATP_BIOSYNTHETIC_PROCESS,82,Down,0.000139002958438737,0.116537724350571
19,GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,101,Down,0.000145486456341159,0.116537724350571
20,GOCC_FILAMENTOUS_ACTIN,17,Up,0.000146680584456352,0.116537724350571
21,HP_ANGULAR_CHEILITIS,2,Down,0.000169707276893229,0.128411839515877
22,GOBP_CHOLESTEROL_CATABOLIC_PROCESS,5,Down,0.000197301597604781,0.142505562997271
23,GOMF_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,106,Down,0.000214128683584393,0.147118520020376
24,GOBP_REGULATION_OF_GERM_CELL_PROLIFERATION,6,Down,0.00022356241277873,0.147118520020376
25,GOMF_TOLL_LIKE_RECEPTOR_4_BINDING,4,Down,0.000232793462789119,0.147118520020376
26,GOMF_ANTIOXIDANT_ACTIVITY,47,Down,0.000240722562651338,0.147118520020376
27,HP_ABSENCE_OF_STOMACH_BUBBLE_ON_FETAL_SONOGRAPHY,4,Up,0.000261753583430343,0.148872207201655
28,GOBP_NEURON_REMODELING,7,Down,0.000267326277454038,0.148872207201655
29,GOCC_RESPIRATORY_CHAIN_COMPLEX_IV,16,Down,0.00027169880483625,0.148872207201655
30,HP_EURYBLEPHARON,6,Up,0.000286371236919173,0.151681298488189
31,GOCC_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_PROTON_TRANSPORTING_DOMAIN,22,Down,0.000301502974451239,0.154544589162264
32,GOCC_OXIDOREDUCTASE_COMPLEX,95,Down,0.000331985498417196,0.164851549057789
33,GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX,257,Down,0.000355502160245901,0.168735351035773
34,GOBP_STEROID_CATABOLIC_PROCESS,11,Down,0.000369980585620643,0.168735351035773
35,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR,47,Down,0.000380229763052232,0.168735351035773
36,GOMF_OPSIN_BINDING,2,Down,0.000382870924200097,0.168735351035773
37,GOBP_ELASTIN_CATABOLIC_PROCESS,2,Down,0.000392901698447047,0.168735351035773
38,GOBP_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,9,Down,0.000416071936194235,0.173983764898063
39,GOMF_STEROID_HYDROXYLASE_ACTIVITY,6,Down,0.000462167726844651,0.187887205243261
40,GOBP_GERM_CELL_PROLIFERATION,7,Down,0.000472969679655787,0.187887205243261
41,GOMF_ACTIVE_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,149,Down,0.000508223659966024,0.196949651031773
42,GOCC_CYTOCHROME_COMPLEX,28,Down,0.00052057176484169,0.196949651031773
43,GOCC_PRE_SNORNP_COMPLEX,7,Up,0.000573305888531713,0.211856524855091
44,GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT,56,Down,0.000637639374023037,0.230274764846047
45,GOBP_AMP_CATABOLIC_PROCESS,2,Down,0.000671813480822236,0.237224804672563
46,HP_MITOCHONDRIAL_MYOPATHY,40,Down,0.000705359208950155,0.241138779395828
47,HP_RECURRENT_GRAM_NEGATIVE_BACTERIAL_INFECTIONS,21,Down,0.000713248749628945,0.241138779395828
48,GOBP_OVIDUCT_DEVELOPMENT,3,Down,0.000737818304026304,0.242340614738498
49,GOMF_RAGE_RECEPTOR_BINDING,8,Down,0.000747305860427086,0.242340614738498
50,GOCC_DENSE_BODY,3,Up,0.000870975173603344,0.276795910171143
51,GOBP_MICTURITION,1,Down,0.000900641044801813,0.280611494154918
52,GOMF_SCAVENGER_RECEPTOR_ACTIVITY,15,Down,0.000919043217218755,0.280838398492423
53,GOBP_LIPID_IMPORT_INTO_CELL,14,Down,0.000973802430571329,0.291956992863744
54,GOBP_PHOSPHOLIPID_EFFLUX,7,Down,0.00100754805064278,0.296480343050254
55,GOBP_CELLULAR_OXIDANT_DETOXIFICATION,55,Down,0.00106779121962998,0.308494590544007
56,GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY,10,Up,0.0011336019671882,0.318698314113308
57,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_IRON_SULFUR_PROTEIN_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN,1,Down,0.00114322239801501,0.318698314113308
58,GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE,4,Down,0.00116536026878854,0.319268528811205
59,GOCC_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX,40,Down,0.00123858311088899,0.333577722576713
60,GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,103,Down,0.00135772885947756,0.359571859618308
61,GOBP_POSITIVE_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS,4,Down,0.00142714722074441,0.37176015307588
62,GOBP_COMPLEMENT_ACTIVATION,27,Down,0.00149036454315761,0.38196600952862
63,GOBP_NUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS,9,Down,0.00154825199638,0.386044352613727
64,GOCC_ACTOMYOSIN,54,Up,0.0015548671219181,0.386044352613727
65,GOBP_MUCOCILIARY_CLEARANCE,2,Down,0.00159155828056647,0.38907478581848
66,GOMF_MHC_PROTEIN_COMPLEX_BINDING,27,Down,0.00169051595339566,0.402069973051022
67,GOBP_AEROBIC_RESPIRATION,160,Down,0.00169532336025289,0.402069973051022
68,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H,68,Down,0.00177289862440491,0.411455511591676
69,GOMF_NEDD8_TRANSFERASE_ACTIVITY,7,Down,0.00178668535555857,0.411455511591676
70,GOCC_ACTIN_FILAMENT_BUNDLE,52,Up,0.00187204631470284,0.422146377003324
71,GOBP_DETERMINATION_OF_ADULT_LIFESPAN,20,Down,0.00188624246489843,0.422146377003324
