Set,NGenes,Direction,PValue,FDR,DEG.GENES
HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,Up,0.000137318834005322,0.00686594170026609,""
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,Up,0.00287871722450162,0.0719679306125404,""
HALLMARK_TNFA_SIGNALING_VIA_NFKB,169,Up,0.0200116935402378,0.291985219723005,""
HALLMARK_ADIPOGENESIS,167,Up,0.0233588175778404,0.291985219723005,""
HALLMARK_P53_PATHWAY,159,Up,0.0332731210074676,0.332731210074676,""
HALLMARK_NOTCH_SIGNALING,25,Down,0.0627616753806236,0.491136235750355,""
HALLMARK_COAGULATION,67,Up,0.0775843122458904,0.491136235750355,""
HALLMARK_G2M_CHECKPOINT,148,Down,0.0871700545884238,0.491136235750355,""
HALLMARK_INTERFERON_ALPHA_RESPONSE,93,Down,0.0918288554075994,0.491136235750355,""
HALLMARK_HYPOXIA,131,Up,0.098227247150071,0.491136235750355,""
HALLMARK_INFLAMMATORY_RESPONSE,140,Up,0.110650137410886,0.502955170049484,""
HALLMARK_UV_RESPONSE_UP,113,Up,0.136164198605324,0.567350827522185,""
HALLMARK_DNA_REPAIR,142,Up,0.159978704229908,0.579895213152319,""
HALLMARK_KRAS_SIGNALING_UP,125,Up,0.168186962383992,0.579895213152319,""
HALLMARK_COMPLEMENT,141,Up,0.173968563945696,0.579895213152319,""
HALLMARK_CHOLESTEROL_HOMEOSTASIS,61,Down,0.205454045637399,0.617573416197173,""
HALLMARK_FATTY_ACID_METABOLISM,127,Up,0.218191738749441,0.617573416197173,""
HALLMARK_IL6_JAK_STAT3_SIGNALING,69,Up,0.230707299861115,0.617573416197173,""
HALLMARK_ALLOGRAFT_REJECTION,139,Up,0.242853538838557,0.617573416197173,""
HALLMARK_INTERFERON_GAMMA_RESPONSE,182,Up,0.247029366478869,0.617573416197173,""
HALLMARK_APOPTOSIS,124,Up,0.284458943237919,0.653161332819045,""
HALLMARK_WNT_BETA_CATENIN_SIGNALING,27,Down,0.322730809027412,0.653161332819045,""
HALLMARK_MYC_TARGETS_V2,54,Up,0.323127235511008,0.653161332819045,""
HALLMARK_HEME_METABOLISM,139,Up,0.329989005511082,0.653161332819045,""
HALLMARK_BILE_ACID_METABOLISM,71,Up,0.333594027587238,0.653161332819045,""
HALLMARK_XENOBIOTIC_METABOLISM,128,Up,0.339643893065903,0.653161332819045,""
HALLMARK_MITOTIC_SPINDLE,168,Down,0.371593546877811,0.687400365646454,""
HALLMARK_PROTEIN_SECRETION,89,Up,0.384944204762014,0.687400365646454,""
HALLMARK_HEDGEHOG_SIGNALING,15,Up,0.40478145141517,0.697899054164085,""
HALLMARK_E2F_TARGETS,158,Up,0.489620928931581,0.767398491764934,""
HALLMARK_ANDROGEN_RESPONSE,81,Up,0.497191502909287,0.767398491764934,""
HALLMARK_SPERMATOGENESIS,53,Down,0.497876870002517,0.767398491764934,""
HALLMARK_ESTROGEN_RESPONSE_LATE,101,Up,0.506483004564856,0.767398491764934,""
HALLMARK_ANGIOGENESIS,19,Down,0.558946270275436,0.772849553715247,""
HALLMARK_IL2_STAT5_SIGNALING,146,Up,0.567879657854355,0.772849553715247,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,84,Up,0.575905898233022,0.772849553715247,""
HALLMARK_ESTROGEN_RESPONSE_EARLY,109,Up,0.586461844527428,0.772849553715247,""
HALLMARK_PEROXISOME,79,Down,0.587365660823587,0.772849553715247,""
HALLMARK_PANCREAS_BETA_CELLS,11,Down,0.67839547521633,0.832317790526291,""
HALLMARK_MYC_TARGETS_V1,191,Up,0.703323284601013,0.832317790526291,""
HALLMARK_GLYCOLYSIS,137,Up,0.704268710985249,0.832317790526291,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,104,Up,0.7056839239614,0.832317790526291,""
HALLMARK_TGF_BETA_SIGNALING,43,Up,0.727565045733579,0.832317790526291,""
HALLMARK_KRAS_SIGNALING_DN,46,Down,0.732439655663136,0.832317790526291,""
HALLMARK_APICAL_SURFACE,17,Up,0.775448744592463,0.842647148027802,""
HALLMARK_MTORC1_SIGNALING,178,Down,0.785434513712354,0.842647148027802,""
HALLMARK_MYOGENESIS,83,Down,0.792088319146134,0.842647148027802,""
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,83,Down,0.887169698400055,0.923587111524732,""
HALLMARK_UV_RESPONSE_DN,92,Down,0.905115369294237,0.923587111524732,""
HALLMARK_APICAL_JUNCTION,102,Down,0.989105664215748,0.989105664215748,""
