Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_IMMUNE_RESPONSE_TO_TUBERCULOSIS,22,Up,0.000101756000414671,0.0839487003421033,""
WP_HYPERTROPHY_MODEL,13,Down,0.00033249541130157,0.108003242004269,""
WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION,26,Up,0.000392739061833705,0.108003242004269,""
WP_METABOLISM_OF_ALPHALINOLENIC_ACID,4,Down,0.00148244873760329,0.305755052130678,""
WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE_WP5122,20,Down,0.00232415355921446,0.346272125675265,""
WP_INTERFERONMEDIATED_SIGNALING,15,Up,0.00251834273218375,0.346272125675265,""
WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE_WP5321,21,Down,0.00362127202987417,0.37581445714766,""
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,26,Down,0.00390038325710957,0.37581445714766,""
WP_GPR143_IN_MELANOCYTES_AND_RETINAL_PIGMENT_EPITHELIUM_CELLS,18,Down,0.00409979407797447,0.37581445714766,""
WP_SEBALEIC_ACID_FORMATION_AND_METABOLISM,4,Down,0.00472686218758319,0.382856211342385,""
WP_TYPE_II_INTERFERON_SIGNALING,31,Up,0.00535376359504675,0.382856211342385,""
WP_NETRINUNC5B_SIGNALING,35,Down,0.00556881761952559,0.382856211342385,""
WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS,11,Down,0.00613777847850367,0.385913292419926,""
WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING,104,Down,0.00654883162894419,0.385913292419926,""
WP_RAS_AND_BRADYKININ_PATHWAYS_IN_COVID19,12,Down,0.00735228083704418,0.40437544603743,""
WP_ASPIRIN_AND_MIRNAS,8,Down,0.00861718781441875,0.4077152900218,""
WP_EPAC1_AND_PKA_REDUCTION_OF_RETINAL_INFLAMMATION,7,Down,0.00877586852473648,0.4077152900218,""
WP_OMEGA6FATTY_ACIDS_IN_SENESCENCE,33,Down,0.0102109912462308,0.4077152900218,""
