gene,logFC,logCPM,LR,PValue,FDR
CDCA7L,-2.29740015109282,3.67645433162531,34.0699241206695,5.31667132775897e-09,4.68928412300616e-05
GPAT2,2.61356188649288,2.24482742821473,33.0880538978105,8.80782141811826e-09,4.68928412300616e-05
CDK1,-3.36349860709055,1.97501397794304,21.0262393729149,4.53036238648911e-06,0.0160797662304454
NPHP1,-2.93320543848667,1.79795769374157,19.7329682761287,8.90517748462326e-06,0.0237055824640671
ZBTB42,2.55998935141718,1.98357309031877,17.9453671354081,2.27337088766635e-05,0.0484137064237427
TLCD2,-1.82253378937029,4.42343909668558,17.285979121247,3.21550736813393e-05,0.0570645374264835
CCND1,2.29157822796772,1.90634082957115,16.5979621466203,4.62006371280134e-05,0.0702777691627266
EPHB2,1.52011756817663,2.99245751629819,16.1925526181694,5.72186231206442e-05,0.0761579873735774
IFI27,1.9687369773948,7.42806132436565,15.6775458046872,7.51105951028439e-05,0.0888641796283424
PADI2,-1.5314462307454,3.24489666874864,15.2231470805375,9.55253515211374e-05,0.0987065781163018
STON1,-2.06340494362451,2.724692333601,15.0460733821766,0.000104918303181347,0.0987065781163018
TSPO,-0.288218087372728,10.9268265958657,14.9356728906261,0.000111239569627688,0.0987065781163018
SLC19A3,-1.53930220626734,2.91341995155262,14.5621010673239,0.000135614863899047,0.106001148257464
SUMO4,1.78293739138968,2.31606031744976,14.5106364179036,0.000139370405297192,0.106001148257464
RNF166,0.578658465850103,5.7682899677851,14.1899669269151,0.000165249283797175,0.117304958258155
HLA-DQA2,-4.53688212084038,7.58090258715683,14.0573570652101,0.000177318804063632,0.118005664104347
CD300C,0.797037436343362,5.46134714755078,13.5806879877331,0.000228524463445381,0.14313696980979
ARPC1B,-0.311142598785816,9.97978209263824,13.1124675288529,0.000293337069437106,0.171973937030002
DMAC1,-0.56023582796101,6.29586910672287,13.0280152950547,0.000306865590117396,0.171973937030002
CYP3A5,-2.33381731436053,1.97072374547877,12.8551862822543,0.000336545202979435,0.179176666066251
ICAM4,-2.37692508146748,2.81874288219007,12.660105608794,0.000373541114398485,0.185800932191309
SIGLEC12,2.75168918608224,3.49899117864199,12.609037040484,0.000383886223535763,0.185800932191309
ZNF439,-2.10278461608116,2.26149067683709,12.4929057884224,0.00040850030215563,0.189117879015354
