,logFC,logCPM,LR,PValue,FDR
CDCA7L,2.17788659977506,3.67640983638888,35.8571535452811,2.12327016627513e-09,2.26085807304976e-05
GPAT2,-2.27722903043288,2.24513666285238,31.0436133377001,2.52295121987578e-08,0.000134321922946186
NBPF12,1.72143566183374,2.88332076870577,24.6999320230997,6.69865369885785e-07,0.00237757548618128
NBPF14,1.60891232651656,3.25691088310756,23.7553427327992,1.09391293729153e-06,0.00291199623907006
SLC19A3,1.51875060279065,2.91406588108542,22.097439343244,2.59155207521784e-06,0.00551896929938392
CCND1,-2.40321136444147,1.9055776464265,21.437282126661,3.65592865971339e-06,0.00588529303561943
EPHB2,-1.5595127646522,2.99204282994935,21.3286810248711,3.86899429464087e-06,0.00588529303561943
CYP3A5,2.45215662243941,1.97137258559005,20.8934793844002,4.85544619491562e-06,0.00621958914451264
RILPL1,2.01893317245024,2.13272277090386,20.7413032201675,5.25697805227402e-06,0.00621958914451264
SLC28A3,3.17154082274771,1.91235985017832,19.8177188894488,8.51893003263966e-06,0.00907095669875471
SLC9A9,-1.57770284545279,2.72738231948966,18.5102802024113,1.68990342061744e-05,0.0150243005300865
ECE1,-1.68386823020219,2.58281072351053,18.5065692664167,1.69319690421712e-05,0.0150243005300865
SYNJ2,-1.36033569964421,2.92801978481895,17.102594252319,3.54138979000332e-05,0.0290067065261195
BICD1,-1.65700771120248,2.24799299400759,16.7731961172197,4.21241384576997e-05,0.0320384161641133
IFI27,-2.04041733626376,7.42769870926362,16.5952628182893,4.62664403985683e-05,0.0328430038242637
PADI2,1.45206368976561,3.24546445348635,16.3506794635698,5.26372876556967e-05,0.0347031916040522
NPHP1,2.2857673509619,1.79791667062257,16.2535675489566,5.54051706676265e-05,0.0347031916040522
ASGR2,-1.82197620356869,1.99147392878973,15.698231415085,7.42936052996171e-05,0.0439487949572401
RNF166,-0.540636950285264,5.76860017602838,15.4240864197519,8.58865705644208e-05,0.0461465144343959
ICOS,2.54887949204828,2.69877849741428,15.4067875282909,8.66763982614499e-05,0.0461465144343959
LRP8,-1.58481104956206,2.23154623576165,14.9493940733611,0.000110433522278803,0.0559950545345092
MTRNR2L12,0.747793734139512,5.96669595996726,14.8316225022617,0.00011754786862116,0.0568931684126415
LPAR2,1.08354456965012,3.52802196904686,14.7288564398244,0.000124131806450475,0.0574676293515067
MCOLN2,-1.56401811279976,2.50527106374489,14.5991476813282,0.000132974673064105,0.0589964299494412
SUMO4,-1.46037847330107,2.31571837639878,13.9807920019714,0.000184687801259297,0.077873585803447
FAAH,-1.53288492820416,2.6495525166409,13.9260029476822,0.000190149627243578,0.077873585803447
HLA-DQA2,4.61396319646446,7.581639229061,13.7589044758861,0.000207833277106809,0.0819632864678999
AR,1.90339101511313,3.10487360697609,13.5379892036537,0.000233782734321004,0.0861021399146517
TLCD2,1.64820859695046,4.42400931038724,13.5322353693863,0.000234500568888514,0.0861021399146517
TSPO,0.279182737481852,10.9268353852088,13.2130086239876,0.000278012729765023,0.0958458922495156
CD59,0.883063464845839,6.95752984423792,13.206093116084,0.000279040445129131,0.0958458922495156
LILRA6,-0.993528129014243,5.50580212624472,13.1122798206928,0.000293366461955217,0.0976176902155986
VENTX,-1.07744481653854,3.52407632789457,13.015230504477,0.000308967734336642,0.0996935889459564
ZNF700,1.06237862240467,3.08929092508851,12.6085722362119,0.000383981695549124,0.119959605867454
SCN9A,-1.43116497037715,3.29393794885473,12.5589772310531,0.000394307494868602,0.119959605867454
FCRLB,1.48329373125345,2.28280539892163,12.4858693205554,0.00041004185500724,0.121281268669919
DMAC1,0.521025610060354,6.29569376457567,12.1669547603621,0.00048643659067843,0.139988562636322
TMEM163,-1.29583597130818,3.02182844085851,12.0245624500655,0.000525040226092823,0.147121798090431
ICAM4,2.15050283457257,2.81942645069913,11.9465209692004,0.000547495178838447,0.149480222160815
ZNF202,-1.60895835250935,1.87112137196481,11.7677435639429,0.000602659891163732,0.160428063027786
ARPC1B,0.314492116075574,9.97976872121871,11.6670862898423,0.000636155637838787,0.163040084548222
OPN3,0.806411866979802,5.91441818266176,11.6469011594475,0.00064309575047195,0.163040084548222
NID1,-1.49345084459069,2.29555511718337,11.4792617338589,0.000703770804601153,0.174273291334723
TRGC1,1.75363260056681,3.50911769372326,11.3366474950427,0.000759923867507238,0.183901575936751
MX2,-0.714831223103065,6.20138958047454,11.1660728067126,0.000833067825582087,0.195307154957029
STON1,1.47111010965565,2.72570863716208,11.1171580630412,0.000855327445420645,0.195307154957029
SEPSECS-AS1,1.37390386685311,3.09012367175647,11.04284666909,0.000890300511218972,0.195307154957029
CCR5,-1.20415309055649,4.25573036180935,10.9991260393921,0.000911548600996288,0.195307154957029
MTFP1,1.03670421798751,3.70611765892745,10.9725724201286,0.00092470308970444,0.195307154957029
AGO1,0.758997312645634,4.43267606549235,10.8341440582049,0.000996453703293667,0.195307154957029
BAIAP2,-0.813896520717538,3.60480752705308,10.7744400825213,0.00102911342435181,0.195307154957029
ZNF845,1.13850632323879,2.82653263708031,10.7363940452115,0.00105048835245207,0.195307154957029
SSH2,0.587832097111044,5.36330447795191,10.7183874737502,0.00106076076651898,0.195307154957029
RHOBTB3,1.26310113212839,2.8136129060115,10.7115698965498,0.0010646765319788,0.195307154957029
CD300C,-0.751319290000313,5.46153254286492,10.6583028984135,0.00109577889852574,0.195307154957029
FBN2,2.67617744390775,2.1070055796014,10.6391324325486,0.00110719601507549,0.195307154957029
ZNF440,1.32908049432594,2.23982896070223,10.5888088991063,0.00113774253407428,0.195307154957029
FBXO32,1.51967406516102,2.09266260958682,10.5644833531668,0.00115281250466893,0.195307154957029
FDXACB1,1.14125798498518,2.62702812963669,10.5572126990498,0.00115735584671397,0.195307154957029
PIN1,-0.452186380590991,6.23570517799255,10.5232283882111,0.0011788336683449,0.195307154957029
SH3BP4,-1.04813629157508,3.20520619508409,10.5218124920617,0.00117973720402458,0.195307154957029
TSPAN33,-1.54709974739143,2.68571077636053,10.5213910091049,0.00118000630319855,0.195307154957029
PSAT1,-1.60060172512312,1.93983219263446,10.4977953226481,0.00119517064752435,0.195307154957029
ADAMTS6,1.427611671052,3.4826705615501,10.4798552166986,0.00120683213497421,0.195307154957029
MIATNB,1.34226150929028,2.50649990251116,10.464493085574,0.00121690935364541,0.195307154957029
SLC43A3,-0.471613558223985,6.30937346907385,10.4597359431163,0.00122004716847808,0.195307154957029
ZMAT2,0.376276044441915,6.71864760951589,10.446345292229,0.00122892368352,0.195307154957029
CLN8,-0.738233541891636,4.76495939372289,10.3222347775019,0.00131437039396151,0.203343964784596
ACOT2,0.999321905419291,3.78155702852465,10.3091600123472,0.00132371520197001,0.203343964784596
CYTH4,-0.525140158350756,5.19255804856743,10.2888023355748,0.00133839932767675,0.203343964784596
