gene,logFC,logCPM,LR,PValue,FDR
FADS2,-1.84574087287311,2.77882185545253,29.3664018554657,5.99073179805189e-08,0.000504619733940491
NRGN,-0.979563486622052,4.93314653195519,28.4720930218595,9.50588177339156e-08,0.000504619733940491
SLC1A5,-0.732982857242536,5.33474693316955,27.60778246278,1.48579757292767e-07,0.000525823761059103
GABBR1,-1.51150289706195,2.83249128475528,25.7523121891139,3.88161706002086e-07,0.00103027820815604
CCR5,-1.36504399516647,4.377976206734,25.0800256845477,5.49996276018322e-07,0.00116786209249731
CCR2,-1.51089825086188,4.83876908693911,23.4585486214958,1.27634309818807e-06,0.00225848911224378
SEC62,0.329441512009284,8.13274107743878,22.9573549321488,1.65635264496476e-06,0.00251221371879869
HIVEP3,-0.936275928430672,3.88670074612337,22.10764916783,2.57780528750576e-06,0.00342106984218109
CCL23,1.33295218193655,5.43411670829925,21.4773789660938,3.58027320710155e-06,0.00422352895997746
TNNT1,-2.20429628338991,3.4168182492695,20.9806458684675,4.63946585213012e-06,0.00450299647914778
CCND2,-1.31734003797454,4.20178386553755,20.9699506677636,4.66543856745084e-06,0.00450299647914778
MS4A4A,0.495657120055283,8.15442067582848,20.0592589691921,7.50791491280335e-06,0.00631097801020035
SLC16A10,1.78411484846423,4.30576172784708,19.9424308187988,7.98092836469023e-06,0.00631097801020035
TGM2,1.04807935108155,6.60898003660131,19.8624476477567,8.32190752027925e-06,0.00631097801020035
FTCDNL1,1.0442735039275,3.62539544146505,19.1610636104005,1.20139126735386e-05,0.00803821386939712
RBPJ,-0.426743399859122,8.77648515635634,19.1204505252584,1.22722827461977e-05,0.00803821386939712
S100P,1.33391855372844,5.5170976230293,19.0295707151502,1.28708331713056e-05,0.00803821386939712
RARG,-1.67120103747273,1.80325063763001,18.65295615246,1.56803961080116e-05,0.00924882030437549
PSAT1,-1.57401152330184,2.01473278761641,18.4780931365426,1.71868518820765e-05,0.00960383191747401
LINC01001,1.61361748688641,1.68468691373912,17.8628182815861,2.37414643830396e-05,0.0120716557823722
PTPRE,-0.716625046234736,6.27726747172051,17.6713716705475,2.6254854583108e-05,0.0120716557823722
ATP5MC3,0.232254231201027,8.82261035433453,17.5923380779615,2.7368882014387e-05,0.0120716557823722
EIF3A,-0.240266918068853,7.88458663177255,17.532587020131,2.82425387293007e-05,0.0120716557823722
SCD,0.740144686598567,7.16204551718224,17.5229262213561,2.83864041497286e-05,0.0120716557823722
JPT1,0.548665220024258,7.82580182109315,17.5203228481246,2.84252985362441e-05,0.0120716557823722
RYR1,-0.776958286251912,3.8503176297832,17.4121353761934,3.00898741692589e-05,0.0122870843867316
ABCA1,0.911122255890623,6.43207750238242,17.1858775868348,3.38946769725774e-05,0.0133281402006613
ABCG1,0.740277599744483,7.50368164178974,16.9241851383778,3.89027571458748e-05,0.0147510918792055
CD163,0.573014484023975,7.53143324567234,16.8306225425192,4.08684811459124e-05,0.0149620918733156
NPDC1,-1.80808865723014,1.73635278730322,16.6155688788378,4.57737288535973e-05,0.0161993226412881
MTHFD2,-0.647492325637861,6.45139639847624,16.2733633964832,5.4829315888988e-05,0.0187781563481737
TRIM7,-1.75691163580241,2.09508159184784,16.1825353431196,5.75220046845742e-05,0.0190847226167539
AHNAK,-0.686944610384104,8.91551801559436,15.9002753025798,6.67690043097324e-05,0.0214814096592857
DNASE2B,-1.51397760700667,1.74832178518323,15.8187917585944,6.97067554540669e-05,0.0217669594898773
PDE1B,0.940141624349447,3.7265753277397,15.565880314256,7.96795529193876e-05,0.0241702232384325
NFKBIZ,-1.22341584586649,6.89431237416733,15.4809882739649,8.33392860218758e-05,0.0245781444359515
MTDH,-0.242635490666987,8.62532156145329,15.3745907912627,8.81659396112879e-05,0.0252988589419742
BANK1,-0.787637310612524,3.70919616872105,15.2759070131886,9.28938247431076e-05,0.0259540457183572
DDX11,1.22063359268251,2.73084414844794,15.1939806269231,9.70121643978654e-05,0.0264096961387727
VENTX,-0.829132679722218,3.54949087016025,15.117130026459,0.000101042256506918,0.0268191409333487
FCGRT,0.277974852664388,9.58776021581756,15.0138427943527,0.000106725439291576,0.0276366826575285
KBTBD11,1.21910861809813,3.86505067471065,14.9398313928576,0.000110994656081682,0.0280578634195052
UBE2D3,-0.245803186199944,8.2775199675331,14.8700558132449,0.000115176870046945,0.0284379727741493
HPS5,0.412445895658751,5.74727081642664,14.8123981199979,0.000118752217131437,0.0286543702110105
NLRP3,-1.45870549937801,4.36571908552184,14.6977032445862,0.000126200112680775,0.0296857420652655
ANOS1,0.707460317116363,4.89626810129398,14.6197529707967,0.000131528659961113,0.0296857420652655
FAM43A,-1.34330292590058,1.79642288409994,14.6061595008298,0.000132480818330911,0.0296857420652655
CASP5,1.2819401676398,2.98048303238034,14.5817118634423,0.000134210758136267,0.0296857420652655
TRPV4,1.05978833508983,3.24781160652267,14.3743812061621,0.000149826939209542,0.0324635227262798
C3,1.93178349034493,4.12932986143772,14.2069167314377,0.000163767436509249,0.0344859962107765
STK32B,-1.67907236829037,1.49761812385646,14.1853243801485,0.000165657512173835,0.0344859962107765
CCL20,-3.25279701969305,5.24946987165352,14.1121252003077,0.000172229989689121,0.0351647269332576
ZC3H15,-0.2853415536873,7.19577814320445,13.9501699725469,0.000187720682020819,0.0376043486983969
LINC00513,-0.998200261379969,2.54805726364995,13.905618448572,0.000192223003565137,0.0377931783120567
