,Set,N,DE,P.DE,FDR
1,GOMF_TOLL_LIKE_RECEPTOR_4_BINDING,5,1,0.00023192170323294,1
2,GOBP_AUTOCRINE_SIGNALING,7,1,0.000324690384526094,1
3,GOMF_ICOSANOID_BINDING,7,1,0.000324690384526094,1
4,GOBP_SEQUESTERING_OF_METAL_ION,8,1,0.000371074725172948,1
5,GOMF_RAGE_RECEPTOR_BINDING,9,1,0.000417459065819248,1
6,GOBP_LEUKOCYTE_AGGREGATION,12,1,0.000556612087759145,1
7,GOMF_LONG_CHAIN_FATTY_ACID_BINDING,12,1,0.000556612087759145,1
8,GOBP_PROTEIN_NITROSYLATION,13,1,0.000602996428405778,1
9,GOMF_TOLL_LIKE_RECEPTOR_BINDING,14,1,0.000649380769052299,1
10,GOBP_CHRONIC_INFLAMMATORY_RESPONSE,18,1,0.000834918131638718,1
11,GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE,18,1,0.000834918131638718,1
12,GOBP_INTRACELLULAR_ZINC_ION_HOMEOSTASIS,30,1,0.00139153021939742,1
13,GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,30,1,0.00139153021939742,1
14,GOBP_DEFENSE_RESPONSE_TO_FUNGUS,33,1,0.00153068324133843,1
15,GOMF_FATTY_ACID_BINDING,34,1,0.00157706758198428,1
16,GOBP_ASTROCYTE_DEVELOPMENT,35,1,0.00162345192263103,1
17,GOBP_RESPONSE_TO_ZINC_ION,37,1,0.00171622060392407,1
18,GOBP_PEPTIDYL_CYSTEINE_MODIFICATION,40,1,0.00185537362586397,1
19,GOBP_RESPONSE_TO_FUNGUS,43,1,0.00199452664780331,1
20,GOMF_MONOCARBOXYLIC_ACID_BINDING,56,1,0.00259752307620942,1
