Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_SUBSTANCE,1586,25,2.32892621238931e-08,0.000374770806097688,"CCR5,CCR2,CCL23,TGM2,RARG,PTPRE,RYR1,ABCA1,PDE1B,NFKBIZ,MTDH,DDX11,NLRP3,CCL20,ZC3H15,LPL,EIF5A,GSN,LRP8,DGAT2,SLC7A5,IFI27,NR4A2,EIF4E,CAPN2",25,95,0.263157894736842
GOCC_CELL_SURFACE,688,16,7.3229394068071e-08,0.0005892037046717,"CCR5,CCR2,ABCA1,ABCG1,CD163,FCGRT,ANOS1,TRPV4,C3,LPL,LRP8,SLC7A5,S100A10,CAPN2,PLXNB2,CD109",16,95,0.168421052631579
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,1293,21,2.4267777071126e-07,0.0013017235620952,"GABBR1,CCR5,TGM2,RARG,PTPRE,SCD,ABCA1,NFKBIZ,MTDH,DDX11,NLRP3,TRPV4,LPL,LRP8,DGAT2,SLC7A5,NR4A2,EIF4E,CAPN2,RPS6KA3,EDEM2",21,95,0.221052631578947
GOBP_RESPONSE_TO_BACTERIUM,531,13,7.8138439410637e-07,0.00256493134746875,"CCR5,RBPJ,ABCA1,NFKBIZ,MTDH,BANK1,NLRP3,C3,CCL20,LPL,SLC7A5,CAPN2,RPS6KA3",13,95,0.136842105263158
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,1402,21,9.14113537444013e-07,0.00256493134746875,"SLC1A5,CCR5,CCL23,RBPJ,ABCA1,TRIM7,NFKBIZ,MTDH,BANK1,NLRP3,C3,CCL20,LPL,EIF5A,GSN,LRP8,SLC7A5,IFI27,CAPN2,PSTPIP1,RPS6KA3",21,95,0.221052631578947
GOBP_RESPONSE_TO_LIPID,731,15,9.5635024141266e-07,0.00256493134746875,"CCR5,RARG,SCD,ABCA1,ABCG1,NFKBIZ,MTDH,NLRP3,LPL,LRP8,DGAT2,SLC7A5,EIF4E,CAPN2,RPS6KA3",15,95,0.157894736842105
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,123,7,1.43249690837465e-06,0.00323890866332246,"CCR2,NFKBIZ,NLRP3,CASP5,TRPV4,C3,LPL",7,95,0.0736842105263158
GOBP_REGULATION_OF_CELL_DIFFERENTIATION,1216,19,1.7951737181367e-06,0.00323890866332246,"CCR2,TGM2,RBPJ,RARG,ABCA1,ABCG1,NFKBIZ,NLRP3,TRPV4,LPL,FADS1,GDPD5,LRP8,SLC7A5,S100A10,EIF4E,PLXNB2,RPS6KA3,CD109",19,95,0.2
GOBP_LIPID_STORAGE,82,6,1.93522439166749e-06,0.00323890866332246,"ABCA1,ABCG1,C3,LPL,DGAT2,ACACB",6,95,0.0631578947368421
GOBP_REGULATION_OF_LIPID_STORAGE,46,5,2.01274463293715e-06,0.00323890866332246,"ABCA1,ABCG1,C3,LPL,ACACB",5,95,0.0526315789473684
GOBP_CELLULAR_RESPONSE_TO_LIPID,499,12,2.58642776149316e-06,0.00378370868526799,"CCR5,RARG,ABCA1,NFKBIZ,MTDH,NLRP3,LPL,LRP8,DGAT2,SLC7A5,EIF4E,CAPN2",12,95,0.126315789473684
GOBP_INFLAMMATORY_RESPONSE,702,14,3.18568528748488e-06,0.00427200397051723,"FADS2,CCR5,CCR2,CCL23,RBPJ,CD163,NFKBIZ,NLRP3,CASP5,TRPV4,C3,CCL20,LPL,PSTPIP1",14,95,0.147368421052632
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,930,16,3.95327073612401e-06,0.00489354097582366,"CCR5,TGM2,RARG,PTPRE,ABCA1,NFKBIZ,MTDH,DDX11,NLRP3,LPL,LRP8,DGAT2,SLC7A5,NR4A2,EIF4E,CAPN2",16,95,0.168421052631579
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_OXIDATION_OF_A_PAIR_OF_DONORS_RESULTING_IN_THE_REDUCTION_OF_MOLECULAR_OXYGEN_TO_TWO_MOLECULES_OF_WATER,8,3,4.93501015949974e-06,0.00540798026738443,"FADS2,SCD,FADS1",3,95,0.0315789473684211
GOBP_MAINTENANCE_OF_LOCATION,280,9,5.04099577496684e-06,0.00540798026738443,"CCR5,RYR1,ABCA1,ABCG1,C3,LPL,GSN,DGAT2,ACACB",9,95,0.0947368421052632
GOBP_DEFENSE_RESPONSE,1458,20,6.63379419278448e-06,0.00667193850939299,"FADS2,CCR5,CCR2,CCL23,RBPJ,CD163,TRIM7,NFKBIZ,NLRP3,CASP5,TRPV4,C3,CCL20,LPL,GSN,LRP8,IFI27,EIF4E,PSTPIP1,RPS6KA3",20,95,0.210526315789474
GOMF_MOLECULAR_TRANSDUCER_ACTIVITY,784,14,1.12204285823386e-05,0.0106211256909995,"SLC1A5,GABBR1,CCR5,CCR2,SEC62,RARG,PTPRE,ABCA1,TRPV4,LRP8,GPR183,NR4A2,PLXNB2,ADGRE3",14,95,0.147368421052632
GOBP_RESPONSE_TO_CYTOKINE,799,14,1.38750522837073e-05,0.0124042967416343,"CCR5,CCR2,CCL23,RARG,ABCA1,PDE1B,NFKBIZ,CCL20,ZC3H15,EIF5A,GSN,LRP8,IFI27,CAPN2",14,95,0.147368421052632
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS,129,6,2.65115964071126e-05,0.0224539268096451,"FADS2,SCD,LPL,FABP5,FADS1,ACACB",6,95,0.0631578947368421
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,196,7,3.05410017948205e-05,0.0242557513057094,"CCR5,ABCA1,NFKBIZ,MTDH,NLRP3,SLC7A5,CAPN2",7,95,0.0736842105263158
GOBP_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS,40,4,3.16536650149078e-05,0.0242557513057094,"FADS2,SCD,FABP5,FADS1",4,95,0.0421052631578947
GOBP_MONONUCLEAR_CELL_MIGRATION,199,7,3.36521412636776e-05,0.0246150116915954,"CCR5,CCR2,CCL23,TRPV4,CCL20,CD99,GPR183",7,95,0.0736842105263158
GOMF_APOLIPOPROTEIN_BINDING,16,3,4.80699867133134e-05,0.0322835541022823,"ABCA1,LPL,LRP8",3,95,0.0315789473684211
GOBP_CELL_CELL_SIGNALING,898,14,5.00759423327374e-05,0.0322835541022823,"GABBR1,CCR5,CCR2,CCL23,SLC16A10,TGM2,ABCA1,TRPV4,CCL20,FABP5,FADS1,LRP8,EIF4E,RPS6KA3",14,95,0.147368421052632
GOBP_TRANSMEMBRANE_TRANSPORT,1146,16,5.19764220207358e-05,0.0322835541022823,"SLC1A5,CCR5,CCR2,SEC62,SLC16A10,ATP5MC3,RYR1,ABCA1,ABCG1,AHNAK,TRPV4,C3,SLC37A3,FABP5,SLC7A5,ACACB",16,95,0.168421052631579
GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION,89,5,5.22901787129572e-05,0.0322835541022823,"ABCA1,ABCG1,C3,LPL,ACACB",5,95,0.0526315789473684
GOMF_CALCIUM_ION_BINDING,473,10,5.56749898696689e-05,0.0322835541022823,"TGM2,S100P,RYR1,LPL,GSN,LRP8,S100A10,CAPN2,EDEM2,ADGRE3",10,95,0.105263157894737
GOBP_REGULATION_OF_CHOLESTEROL_STORAGE,17,3,5.81794102017268e-05,0.0322835541022823,"ABCA1,ABCG1,LPL",3,95,0.0315789473684211
GOBP_REGULATION_OF_PLASMA_MEMBRANE_ORGANIZATION,17,3,5.81794102017268e-05,0.0322835541022823,"AHNAK,GSN,S100A10",3,95,0.0315789473684211
