Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
HALLMARK_MTORC1_SIGNALING,196,9,2.62216554695963e-07,1.31108277347981e-05,"FADS2,SLC1A5,PSAT1,SCD,MTHFD2,UBE2D3,FADS1,TUBA4A,SLC7A5",9,95,0.0947368421052632
HALLMARK_TNFA_SIGNALING_VIA_NFKB,198,7,3.25874045059808e-05,0.00081468511264952,"PTPRE,ABCA1,CCL20,DUSP5,GPR183,NR4A2,DUSP2",7,95,0.0736842105263158
HALLMARK_MYOGENESIS,152,6,6.64734588634838e-05,0.00110789098105806,"TNNT1,SCD,RYR1,GSN,SORBS3,PLXNB2",6,95,0.0631578947368421
HALLMARK_ALLOGRAFT_REJECTION,184,6,0.000189613531329605,0.00225533771631808,"CCR5,CCR2,CCND2,EIF3A,NLRP3,EIF5A",6,95,0.0631578947368421
HALLMARK_INFLAMMATORY_RESPONSE,190,6,0.000225533771631808,0.00225533771631808,"GABBR1,PTPRE,ABCA1,NLRP3,CCL20,GPR183",6,95,0.0631578947368421
HALLMARK_CHOLESTEROL_HOMEOSTASIS,71,4,0.000302373622406856,0.0025197801867238,"FADS2,SCD,LPL,FABP5",4,95,0.0421052631578947
HALLMARK_ANDROGEN_RESPONSE,96,4,0.000948567389779015,0.00677548135556439,"SCD,ELL2,FADS1,RPS6KA3",4,95,0.0421052631578947
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,108,4,0.00146848130794563,0.00917800817466018,"PSAT1,MTHFD2,SLC7A5,EIF4E",4,95,0.0421052631578947
HALLMARK_IL2_STAT5_SIGNALING,191,5,0.00176339476115506,0.00979663756197254,"SLC1A5,CCND2,TGM2,AHNAK,NFKBIZ",5,95,0.0526315789473684
HALLMARK_ANGIOGENESIS,27,2,0.00659851671107504,0.0329925835553752,"CCND2,LPL",2,95,0.0210526315789474
HALLMARK_BILE_ACID_METABOLISM,95,3,0.00918510709407729,0.0405306145049343,"FADS2,ABCA1,FADS1",3,95,0.0315789473684211
HALLMARK_PI3K_AKT_MTOR_SIGNALING,99,3,0.0102747000209646,0.0405306145049343,"UBE2D3,EIF4E,RPS6KA3",3,95,0.0315789473684211
HALLMARK_ADIPOGENESIS,190,4,0.0108943522595342,0.0405306145049343,"SLC1A5,ABCA1,C3,LPL",4,95,0.0421052631578947
