Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,14,1,0.00133241318646538,1,MGST1,1,2,0.5
REACTOME_GLUTATHIONE_CONJUGATION,32,1,0.0030442106647729,1,MGST1,1,2,0.5
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,74,1,0.00703269457455358,1,MGST1,1,2,0.5
REACTOME_BIOLOGICAL_OXIDATIONS,150,1,0.0142296300899371,1,MGST1,1,2,0.5
REACTOME_NEUTROPHIL_DEGRANULATION,444,1,0.0418239163814071,1,MGST1,1,2,0.5
REACTOME_INNATE_IMMUNE_SYSTEM,917,1,0.0853967375180594,1,MGST1,1,2,0.5
REACTOME_2_LTR_CIRCLE_FORMATION,7,0,1,1,"",0,2,0
REACTOME_ABACAVIR_ADME,5,0,1,1,"",0,2,0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,3,0,1,1,"",0,2,0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,95,0,1,1,"",0,2,0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,15,0,1,1,"",0,2,0
REACTOME_ABC_TRANSPORTER_DISORDERS,72,0,1,1,"",0,2,0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,20,0,1,1,"",0,2,0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,17,0,1,1,"",0,2,0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,23,0,1,1,"",0,2,0
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,7,0,1,1,"",0,2,0
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,3,0,1,1,"",0,2,0
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,12,0,1,1,"",0,2,0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,10,0,1,1,"",0,2,0
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,3,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,28,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,4,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,8,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,4,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,4,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,6,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,5,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,7,0,1,1,"",0,2,0
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,5,0,1,1,"",0,2,0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,23,0,1,1,"",0,2,0
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,23,0,1,1,"",0,2,0
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,58,0,1,1,"",0,2,0
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,37,0,1,1,"",0,2,0
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,15,0,1,1,"",0,2,0
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,30,0,1,1,"",0,2,0
