,Set,N,DE,P.DE,FDR
1,REACTOME_DRUG_MEDIATED_INHIBITION_OF_CDK4_CDK6_ACTIVITY,5,1,0.00463026478292006,1
2,REACTOME_VITAMIN_B1_THIAMIN_METABOLISM,5,1,0.00463026478292006,1
3,REACTOME_PTK6_REGULATES_CELL_CYCLE,6,1,0.0055538703644521,1
4,REACTOME_SODIUM_PROTON_EXCHANGERS,7,1,0.00647666174350436,1
5,REACTOME_RUNX3_REGULATES_WNT_SIGNALING,8,1,0.00739863960008968,1
6,REACTOME_TRIGLYCERIDE_BIOSYNTHESIS,9,1,0.00831980461368531,1
7,REACTOME_RUNX3_REGULATES_P14_ARF,10,1,0.0092401574632317,1
8,REACTOME_RIBAVIRIN_ADME,11,1,0.0101596988271336,1
9,REACTOME_TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE,11,1,0.0101596988271336,1
10,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,184,2,0.0124427515531101,1
11,REACTOME_PHOSPHOLIPID_METABOLISM,193,2,0.0136252470330103,1
12,REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,15,1,0.0138297629756842,1
13,REACTOME_CHROMATIN_MODIFYING_ENZYMES,199,2,0.0144398743786593,1
14,REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_CELL_CYCLE_AND_PROLIFERATION,16,1,0.0147452570687258,1
15,REACTOME_XENOBIOTICS,16,1,0.0147452570687258,1
16,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,17,1,0.0156599437353283,1
17,REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY,17,1,0.0156599437353283,1
18,REACTOME_EPHRIN_SIGNALING,19,1,0.0174868974873532,1
19,REACTOME_AZATHIOPRINE_ADME,22,1,0.0202212892664793,1
20,REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING,23,1,0.0211311455238352,1
