,Set,N,DE,P.DE,FDR
1,WP_TCELL_ACTIVATION_SARSCOV2,87,2,0.00291749238468687,0.737723594861573
2,WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS,111,2,0.00469811780304724,0.737723594861573
3,WP_IRINOTECAN_PATHWAY,6,1,0.0055538703644521,0.737723594861573
4,WP_VITAMIN_D_RECEPTOR_PATHWAY,135,2,0.00686859840221385,0.737723594861573
5,WP_NODLIKE_RECEPTOR_NLR_SIGNALING,9,1,0.00831980461368531,0.737723594861573
6,WP_TAMOXIFEN_METABOLISM,9,1,0.00831980461368531,0.737723594861573
7,WP_THIAMINE_METABOLIC_PATHWAYS,9,1,0.00831980461368531,0.737723594861573
8,WP_NPHP1_DELETION_SYNDROME,10,1,0.0092401574632317,0.737723594861573
9,WP_MAMMARY_GLAND_DEVELOPMENT_PUBERTY_STAGE_2_OF_4,11,1,0.0101596988271336,0.737723594861573
10,WP_RESOLVIN_E1_AND_RESOLVIN_D1_SIGNALING_DECREASE_INFLAMMATION,11,1,0.0101596988271336,0.737723594861573
11,WP_MAMMARY_GLAND_DEVELOPMENT_EMBRYONIC_DEVELOPMENT_STAGE_1_OF_4,12,1,0.011078429383263,0.737723594861573
12,WP_ESTROGEN_METABOLISM_WP5276,14,1,0.0129134607810036,0.737723594861573
13,WP_H19_RBE2F1_AND_CDKBETACATENIN_IN_COLORECTAL_CANCER,14,1,0.0129134607810036,0.737723594861573
14,WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE,14,1,0.0129134607810036,0.737723594861573
15,WP_TRANSCRIPTIONAL_ACTIVATION_BY_NRF2_IN_RESPONSE_TO_PHYTOCHEMICALS,15,1,0.0138297629756842,0.737723594861573
16,WP_FGF23_SIGNALING_IN_HYPOPHOSPHATEMIC_RICKETS_AND_RELATED_DISORDERS,16,1,0.0147452570687258,0.737723594861573
17,WP_PPARALPHA_PATHWAY,17,1,0.0156599437353283,0.737723594861573
18,WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,21,1,0.0193106296227084,0.737723594861573
19,WP_CONSTITUTIVE_ANDROSTANE_RECEPTOR_PATHWAY,22,1,0.0202212892664793,0.737723594861573
20,WP_WNTBETACATENIN_SIGNALING_IN_LEUKEMIA,22,1,0.0202212892664793,0.737723594861573
