,NGenes,Direction,PValue,FDR
GO_RESPONSE_TO_INTERFERON_ALPHA,17,Up,6.27313458462206e-09,6.28317159995746e-05
GO_RESPONSE_TO_TYPE_I_INTERFERON,75,Up,1.02276395007243e-07,0.000512200186196272
GO_MHC_CLASS_II_PROTEIN_COMPLEX,13,Down,1.45408128270079e-06,0.00485469270917703
GO_MHC_CLASS_II_RECEPTOR_ACTIVITY,7,Down,5.37542553230614e-06,0.0124745412083114
GO_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,13,Down,6.22730691309475e-06,0.0124745412083114
GO_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,8,Down,2.39035471223924e-05,0.0399029879963137
GO_DEFENSE_RESPONSE_TO_VIRUS,183,Up,6.10633860360744e-05,0.0838324324051594
GO_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,13,Down,7.14120799543596e-05,0.0838324324051594
GO_ACYLGLYCEROL_ACYL_CHAIN_REMODELING,4,Up,7.5328663303358e-05,0.0838324324051594
GO_ISG15_PROTEIN_CONJUGATION,6,Up,8.91429120276944e-05,0.0892855406869387
GO_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,24,Down,0.000112128096377685,0.0960134818843011
GO_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,39,Down,0.000115032126858188,0.0960134818843011
GO_NEGATIVE_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,6,Down,0.000128622148837213,0.0990984186733485
GO_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,48,Up,0.000144304093376271,0.103239271375481
GO_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,17,Down,0.00016633142690379,0.111065038124557
GO_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,30,Down,0.000226626286999801,0.141868055661876
GO_ENDOPLASMIC_RETICULUM_LUMEN,144,Up,0.000270804084272066,0.159551394592295
GO_POSITIVE_REGULATION_OF_MEMBRANE_DEPOLARIZATION,6,Down,0.000296545340126347,0.165011007039194
GO_RESPONSE_TO_INTERFERON_BETA,23,Up,0.000372586676681558,0.196412008086447
GO_NEGATIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,30,Down,0.000420221135974977,0.210446744896268
GO_VACUOLAR_LUMEN,118,Up,0.000488248028831241,0.232871059846367
GO_REGULATION_OF_COMPLEMENT_DEPENDENT_CYTOTOXICITY,4,Down,0.000526554767618192,0.239726025111991
GO_RESPONSE_TO_VIRUS,236,Up,0.000583523433538372,0.254111770013927
GO_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX,8,Up,0.000716962602702279,0.282413964733664
GO_RETINOL_BINDING,3,Up,0.000750862676313893,0.282413964733664
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION,26,Down,0.000752274473459217,0.282413964733664
GO_PROTEIN_DISULFIDE_ISOMERASE_ACTIVITY,15,Up,0.000761299625380285,0.282413964733664
GO_XENOPHAGY,9,Down,0.000863215747136394,0.294492895132404
GO_POSITIVE_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION,5,Down,0.000938297524850626,0.294492895132404
GO_SKELETAL_MUSCLE_CELL_DIFFERENTIATION,31,Down,0.000957320672865519,0.294492895132404
GO_RESPONSE_TO_CORTICOTROPIN_RELEASING_HORMONE,3,Down,0.000976889035596447,0.294492895132404
GO_OPIOID_RECEPTOR_BINDING,3,Down,0.000980662708835937,0.294492895132404
GO_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,26,Down,0.000984512034766583,0.294492895132404
GO_MHC_PROTEIN_COMPLEX,18,Down,0.00100047686796181,0.294492895132404
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_SECRETION,8,Down,0.00102907860719191,0.294492895132404
GO_NEGATIVE_REGULATION_OF_CELLULAR_SENESCENCE,14,Down,0.00124467072924095,0.30253232903349
GO_POSITIVE_REGULATION_OF_SPROUTING_ANGIOGENESIS,21,Down,0.00125703535270454,0.30253232903349
GO_POSITIVE_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY,28,Down,0.00125809906656992,0.30253232903349
GO_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE,8,Down,0.00127163258000598,0.30253232903349
GO_SEMAPHORIN_RECEPTOR_COMPLEX,8,Down,0.00127163258000598,0.30253232903349
GO_SEMAPHORIN_RECEPTOR_ACTIVITY,8,Down,0.00127163258000598,0.30253232903349
GO_KINETOCHORE_MICROTUBULE,6,Down,0.00135024878600295,0.30253232903349
GO_ACETYLCHOLINE_RECEPTOR_INHIBITOR_ACTIVITY,1,Up,0.00135826533351131,0.30253232903349
GO_GLUTAMINE_TRANSPORT,4,Down,0.00137234332706042,0.30253232903349
GO_L_GLUTAMINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,4,Down,0.00137234332706042,0.30253232903349
GO_POSITIVE_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION,56,Down,0.00138942563254198,0.30253232903349
GO_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,85,Down,0.00153687074869475,0.323044087397311
GO_VOLUNTARY_SKELETAL_MUSCLE_CONTRACTION,1,Down,0.00154813460414047,0.323044087397311
GO_OLIGOPEPTIDE_BINDING,7,Up,0.00174739806353871,0.339684138163486
GO_POSITIVE_REGULATION_OF_NEURON_MIGRATION,12,Down,0.00175115967550047,0.339684138163486
