,Set,NGenes,Direction,PValue,FDR
1,GOMF_NEUREGULIN_BINDING,2,Up,9.34867746712819e-08,0.000845966208385269
2,GOCC_CYTOSOLIC_RIBOSOME,111,Up,1.06364016896369e-07,0.000845966208385269
3,GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION,2,Down,1.406270204516e-06,0.00559238503580902
4,GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_SIGNALING,2,Down,1.406270204516e-06,0.00559238503580902
5,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,52,Up,1.89299029308609e-06,0.00602235931842408
6,GOMF_FIBRONECTIN_BINDING,15,Down,3.27793029440735e-06,0.00869033953218962
7,GOBP_CYTOPLASMIC_TRANSLATION,150,Up,8.22747663285315e-06,0.0186963529712564
8,HP_BLISTERING_BY_HISTOLOGICAL_LOCATION,2,Up,1.91727990825768e-05,0.0304981715006548
9,HP_HYPOPLASTIC_DERMOEPIDERMAL_HEMIDESMOSOMES,2,Up,1.91727990825768e-05,0.0304981715006548
10,HP_SUBEPIDERMAL_BLISTERING,2,Up,1.91727990825768e-05,0.0304981715006548
11,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR,49,Down,2.12409256431951e-05,0.0307163094733004
12,GOBP_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,5,Down,4.29982180017345e-05,0.0539677049981345
13,HP_SCLEROSIS_OF_SKULL_BASE,9,Up,4.71229154808027e-05,0.0539677049981345
14,GOMF_KETOSTEROID_MONOOXYGENASE_ACTIVITY,3,Down,4.74978229693772e-05,0.0539677049981345
15,GOBP_REGULATION_OF_CARDIAC_CONDUCTION,8,Down,5.47190398770876e-05,0.0580277178216555
16,GOBP_NAIL_DEVELOPMENT,2,Up,6.77103728724774e-05,0.0669661022116499
17,GOBP_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION,8,Down,7.42003827863512e-05,0.0669661022116499
18,HP_APLASIA_OF_THE_BLADDER,3,Up,7.89240885919072e-05,0.0669661022116499
19,GOMF_ESTROGEN_RESPONSE_ELEMENT_BINDING,5,Down,8.34071942509599e-05,0.0669661022116499
20,GOBP_INTRACELLULAR_ZINC_ION_HOMEOSTASIS,23,Down,8.41970229605204e-05,0.0669661022116499
21,GOBP_ELASTIN_CATABOLIC_PROCESS,2,Down,9.48691874039782e-05,0.0678847911738438
22,GOMF_GALACTOSIDE_BINDING,3,Down,9.55771517027503e-05,0.0678847911738438
23,GOCC_ENDOLYSOSOME_LUMEN,5,Down,9.81549127427175e-05,0.0678847911738438
24,GOBP_RESPONSE_TO_PROSTAGLANDIN_D,2,Down,0.000105208798359614,0.069731514812766
25,GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION,12,Up,0.000126798755621048,0.0786957066338002
26,GOBP_REGULATION_OF_BRANCHING_INVOLVED_IN_PROSTATE_GLAND_MORPHOGENESIS,1,Down,0.000128628174544465,0.0786957066338002
27,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,42,Down,0.000172025644545114,0.0920216173862444
