Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOMF_CXCR_CHEMOKINE_RECEPTOR_BINDING,7,Down,7.10843164787004e-09,0.000113080930654317,""
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING,9,Up,1.72003869805276e-07,0.00136811878043117,""
GOMF_5ALPHA_ANDROSTANE_3BETA_17BETA_DIOL_DEHYDROGENASE_ACTIVITY,3,Up,9.36068969906503e-07,0.00496366172442422,AKR1C1
GOMF_CHEMOKINE_RECEPTOR_BINDING,24,Down,5.23967432646181e-06,0.0208381847963386,""
GOMF_CHEMOKINE_ACTIVITY,18,Down,2.3987313588115e-05,0.0683813016290991,""
HP_TOOTH_ABSCESS,1,Up,2.88273247361353e-05,0.0683813016290991,ELANE
GOMF_TESTOSTERONE_DEHYDROGENASE_NAD_P_ACTIVITY,5,Up,3.39937768476305e-05,0.0683813016290991,AKR1C1
GOBP_SIRNA_MEDIATED_RETROTRANSPOSON_SILENCING_BY_HETEROCHROMATIN_FORMATION,2,Up,3.70019148809266e-05,0.0683813016290991,""
GOBP_PROTEIN_CONTAINING_COMPLEX_REMODELING,16,Up,4.13241836845155e-05,0.0683813016290991,""
GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,11,Up,4.298548002835e-05,0.0683813016290991,""
GOMF_KETOSTEROID_MONOOXYGENASE_ACTIVITY,3,Up,4.79811488420771e-05,0.0693894650708875,AKR1C1
GOBP_REGULATION_OF_PLASMA_MEMBRANE_REPAIR,6,Down,5.891817229646e-05,0.0706007725090308,""
HP_ABNORMAL_TISSUE_ENZYME_CONCENTRATION_OR_ACTIVITY,47,Up,6.13712254674135e-05,0.0706007725090308,""
GOBP_PROTEIN_LIPID_COMPLEX_ORGANIZATION,29,Up,6.21329403524284e-05,0.0706007725090308,BIN1
GOBP_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION,4,Down,7.58867329966195e-05,0.0804804099006815,""
HP_CRYPTOZOOSPERMIA,2,Up,8.93563522762652e-05,0.0888425532506767,""
GOMF_PHOSPHATIDYLCHOLINE_STEROL_O_ACYLTRANSFERASE_ACTIVATOR_ACTIVITY,2,Up,0.000134583528614683,0.120882190270312,""
GOCC_EXTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE,6,Up,0.000137785385573861,0.120882190270312,BIN1
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION,22,Down,0.00014437777314156,0.120882190270312,""
GOMF_TESTOSTERONE_17_BETA_DEHYDROGENASE_NADPPLUS_ACTIVITY,4,Up,0.000154579228162809,0.122952318080699,AKR1C1
GOBP_RETROTRANSPOSON_SILENCING_BY_HETEROCHROMATIN_FORMATION,4,Up,0.000165266507879876,0.12519331463586,""
GOCC_CEREBELLAR_MOSSY_FIBER,2,Up,0.000209214770871988,0.151281298865072,BIN1
GOBP_SKELETAL_MUSCLE_CELL_DIFFERENTIATION,39,Down,0.000235184341662816,0.162665761181394,""
GOMF_ESTRADIOL_17_BETA_DEHYDROGENASE_NAD_P_ACTIVITY,11,Up,0.000265902429611315,0.175031233350775,AKR1C1
GOBP_NEUTROPHIL_MEDIATED_KILLING_OF_GRAM_NEGATIVE_BACTERIUM,3,Up,0.00027506794278158,0.175031233350775,ELANE
GOMF_S100_PROTEIN_BINDING,11,Down,0.000323550070108963,0.197962865972822,""
HP_INCREASED_T_CELL_COUNT,5,Down,0.000403608305501682,0.237800034219287,""
GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS_INVOLVED_IN_CHOLESTEROL_TRANSPORT,4,Down,0.000489951324399037,0.278362345304996,""
GOMF_QUATERNARY_AMMONIUM_GROUP_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,6,Up,0.00052864451018993,0.289988857520738,""
HP_PREMATURE_LOSS_OF_PERMANENT_TEETH,2,Up,0.000589803943906246,0.298062087184757,ELANE
GOBP_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,7,Down,0.000620201515117956,0.298062087184757,""
HP_PREMATURE_ARTERIOSCLEROSIS,4,Down,0.000623758638765968,0.298062087184757,""
GOBP_REVERSE_CHOLESTEROL_TRANSPORT,9,Up,0.000625337200077966,0.298062087184757,""
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_CELL_PROLIFERATION,3,Down,0.000639087916083999,0.298062087184757,""
GOBP_PIRNA_MEDIATED_RETROTRANSPOSON_SILENCING_BY_HETEROCHROMATIN_FORMATION,2,Up,0.000655781559684843,0.298062087184757,""
GOBP_NEUTROPHIL_MEDIATED_KILLING_OF_SYMBIONT_CELL,6,Up,0.000711410926764322,0.314364583971301,ELANE
GOBP_T_TUBULE_ORGANIZATION,2,Up,0.000788615885865949,0.339062203036636,BIN1
HP_CORONARY_ARTERY_ANEURYSM,2,Down,0.000835506740656873,0.349769506062356,""
GOBP_FATTY_ACID_HOMEOSTASIS,11,Up,0.00087160477172659,0.353566911574725,""
GOBP_EPIDERMAL_CELL_FATE_SPECIFICATION,3,Down,0.000906837866496048,0.353566911574725,""
HP_HYPERAUTOFLUORESCENT_MACULAR_LESION,5,Up,0.000911254926738982,0.353566911574725,""
GOBP_POSITIVE_REGULATION_OF_MONOOXYGENASE_ACTIVITY,14,Down,0.000998294328423271,0.378115861346605,""
GOMF_ANGIOTENSIN_RECEPTOR_ACTIVITY,1,Down,0.00104995179375875,0.382930146759939,""
GOBP_NEUTROPHIL_MEDIATED_CYTOTOXICITY,7,Up,0.00105914800461638,0.382930146759939,ELANE
GOMF_PHOSPHATIDYLCHOLINE_TRANSPORTER_ACTIVITY,11,Up,0.00109954612500138,0.388701772367155,""
GOBP_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY,9,Up,0.00114929753232256,0.397457068351896,""
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_SIGNALING_PATHWAY,7,Up,0.00119382625250906,0.40407208563647,""
GOBP_ALDITOL_BIOSYNTHETIC_PROCESS,3,Up,0.0012318539160234,0.408256918668756,""
GOBP_VITAMIN_BIOSYNTHETIC_PROCESS,17,Up,0.0014668369291379,0.472055520676843,""
GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING,3,Up,0.00153331429056208,0.472055520676843,""
