Set,NGenes,Direction,PValue,FDR,DEG.GENES
HALLMARK_INTERFERON_ALPHA_RESPONSE,91,Up,0.000298930559769613,0.0149465279884806,IFITM2
HALLMARK_INTERFERON_GAMMA_RESPONSE,175,Up,0.00171950298871929,0.0429875747179822,IFITM2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,Up,0.0039775851648005,0.0662930860800083,""
HALLMARK_KRAS_SIGNALING_DN,49,Up,0.0493223781750866,0.523151663307146,""
HALLMARK_DNA_REPAIR,143,Up,0.0523151663307146,0.523151663307146,""
HALLMARK_GLYCOLYSIS,140,Up,0.0928724753128137,0.673041826048145,VLDLR
HALLMARK_MYOGENESIS,93,Down,0.0942258556467403,0.673041826048145,""
HALLMARK_ESTROGEN_RESPONSE_LATE,107,Down,0.118594498980502,0.741215618628135,""
HALLMARK_ESTROGEN_RESPONSE_EARLY,109,Down,0.135322835399372,0.751793529996509,""
HALLMARK_XENOBIOTIC_METABOLISM,128,Up,0.165868505666544,0.757522357992439,""
HALLMARK_TNFA_SIGNALING_VIA_NFKB,168,Down,0.166654918758337,0.757522357992439,""
HALLMARK_MITOTIC_SPINDLE,186,Down,0.219768299787227,0.835512716958518,""
HALLMARK_G2M_CHECKPOINT,185,Down,0.231283158690827,0.835512716958518,""
HALLMARK_ANGIOGENESIS,19,Up,0.233943560748385,0.835512716958518,""
HALLMARK_SPERMATOGENESIS,62,Down,0.268145829949843,0.893819433166143,""
HALLMARK_IL6_JAK_STAT3_SIGNALING,67,Down,0.316605295959949,0.934443422021539,""
HALLMARK_UV_RESPONSE_DN,97,Down,0.317710763487323,0.934443422021539,VLDLR
HALLMARK_WNT_BETA_CATENIN_SIGNALING,29,Down,0.378399952451538,0.947009387934248,""
HALLMARK_HEME_METABOLISM,140,Down,0.382697390699143,0.947009387934248,""
HALLMARK_PANCREAS_BETA_CELLS,11,Down,0.396370698782324,0.947009387934248,""
HALLMARK_COMPLEMENT,139,Up,0.408382502580254,0.947009387934248,"CTSL,CD59"
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Up,0.416684130691069,0.947009387934248,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,87,Down,0.435886832311598,0.947580070242605,""
HALLMARK_KRAS_SIGNALING_UP,115,Down,0.486034271758885,0.98832240469844,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,104,Down,0.564498649794804,0.98832240469844,""
HALLMARK_FATTY_ACID_METABOLISM,128,Up,0.586435607929143,0.98832240469844,""
HALLMARK_APICAL_JUNCTION,104,Down,0.589717823006463,0.98832240469844,ITGA3
HALLMARK_HEDGEHOG_SIGNALING,16,Down,0.595417041763486,0.98832240469844,VLDLR
HALLMARK_MYC_TARGETS_V1,195,Down,0.613462443808051,0.98832240469844,""
HALLMARK_TGF_BETA_SIGNALING,44,Down,0.616256023195645,0.98832240469844,""
HALLMARK_APICAL_SURFACE,17,Down,0.623118367795496,0.98832240469844,""
HALLMARK_ANDROGEN_RESPONSE,80,Down,0.632526339007002,0.98832240469844,""
HALLMARK_APOPTOSIS,123,Down,0.654812384322795,0.992139976246658,""
HALLMARK_IL2_STAT5_SIGNALING,147,Down,0.738156458399244,0.999005263490177,ITGA6
HALLMARK_BILE_ACID_METABOLISM,69,Up,0.762620421168477,0.999005263490177,""
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,79,Down,0.768936682090486,0.999005263490177,CD59
HALLMARK_COAGULATION,69,Down,0.81593822410872,0.999005263490177,""
HALLMARK_HYPOXIA,131,Up,0.832265717101841,0.999005263490177,VLDLR
HALLMARK_CHOLESTEROL_HOMEOSTASIS,62,Down,0.859815248406687,0.999005263490177,""
HALLMARK_P53_PATHWAY,160,Up,0.86900237824014,0.999005263490177,""
HALLMARK_MYC_TARGETS_V2,56,Down,0.880517424121272,0.999005263490177,""
HALLMARK_E2F_TARGETS,198,Down,0.904927096011904,0.999005263490177,""
HALLMARK_INFLAMMATORY_RESPONSE,129,Up,0.913587213527069,0.999005263490177,""
HALLMARK_MTORC1_SIGNALING,182,Up,0.917547834953891,0.999005263490177,VLDLR
HALLMARK_UV_RESPONSE_UP,117,Up,0.924427520313204,0.999005263490177,""
HALLMARK_PEROXISOME,79,Up,0.92529147435609,0.999005263490177,""
HALLMARK_ALLOGRAFT_REJECTION,133,Up,0.97882746205696,0.999005263490177,""
HALLMARK_NOTCH_SIGNALING,24,Down,0.979265240361831,0.999005263490177,""
HALLMARK_PROTEIN_SECRETION,90,Up,0.994457824879677,0.999005263490177,""
HALLMARK_ADIPOGENESIS,171,Down,0.999005263490177,0.999005263490177,""
