,Set,NGenes,Direction,PValue,FDR
1,REACTOME_PREDNISONE_ADME,2,Up,6.64048239748917e-06,0.0112821795933341
2,REACTOME_PI_3K_CASCADE_FGFR1,9,Up,8.89770175896022e-05,0.0755859764423671
3,REACTOME_AZATHIOPRINE_ADME,17,Down,0.000172796496825503,0.0978604160355096
4,REACTOME_PI_3K_CASCADE_FGFR2,7,Up,0.00029511304753027,0.121349064409494
5,REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,19,Down,0.000357119083017935,0.121349064409494
6,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,60,Up,0.00046044828719983,0.130383606658752
7,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,50,Up,0.00061626222045682,0.149575644650877
8,REACTOME_RIBAVIRIN_ADME,10,Down,0.000779242451339166,0.165491615603155
9,REACTOME_FORMATION_OF_THE_NEPHRIC_DUCT,6,Down,0.00190588035185173,0.359787857532898
10,REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,6,Up,0.00269338148589692,0.380322197731586
11,REACTOME_PI_3K_CASCADE_FGFR3,6,Up,0.0035127854081445,0.380322197731586
12,REACTOME_PI_3K_CASCADE_FGFR4,6,Up,0.0035127854081445,0.380322197731586
13,REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING,23,Down,0.00358340428704259,0.380322197731586
14,REACTOME_SODIUM_PROTON_EXCHANGERS,4,Down,0.00388988426703208,0.380322197731586
15,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,4,Up,0.00394293083530636,0.380322197731586
16,REACTOME_MET_ACTIVATES_PI3K_AKT_SIGNALING,4,Up,0.00394293083530636,0.380322197731586
17,REACTOME_PROTON_COUPLED_MONOCARBOXYLATE_TRANSPORT,5,Up,0.00398285534231966,0.380322197731586
18,REACTOME_TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE,7,Down,0.00402931110015806,0.380322197731586
19,REACTOME_PD_1_SIGNALING,17,Down,0.00511491449950533,0.457381038666292
20,REACTOME_GLYCOSPHINGOLIPID_BIOSYNTHESIS,12,Down,0.0065057375833544,0.520670574708278
21,REACTOME_OPSINS,1,Down,0.0069771569107105,0.520670574708278
22,REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION,5,Up,0.00732052946482449,0.520670574708278
