,Set,NGenes,Direction,PValue,FDR
1,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Up,4.78641779446191e-08,8.15126950396864e-05
2,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,98,Up,1.3303542251701e-06,0.00113279662273234
3,REACTOME_SELENOAMINO_ACID_METABOLISM,100,Up,4.08154898391804e-06,0.00231695930653747
4,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Up,2.25807391128366e-05,0.0096137496772902
5,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL,7,Down,5.75962698912402e-05,0.0196172895249564
6,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Up,0.000142892626562448,0.0359639688886068
7,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Up,0.000154296232281197,0.0359639688886068
8,REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,36,Up,0.000187304183737709,0.0359639688886068
9,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_KERATINOCYTES,7,Down,0.000190062078683184,0.0359639688886068
10,REACTOME_METALLOTHIONEINS_BIND_METALS,7,Down,0.000281762822147404,0.047984208611703
11,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,13,Down,0.000373068651412211,0.0577578103049996
12,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL,8,Down,0.000431114934155117,0.0611823944055137
13,REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,59,Up,0.00101688743655581,0.133212254188811
14,REACTOME_CELLULAR_RESPONSE_TO_STARVATION,147,Up,0.00126653338438496,0.147380306612871
