Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,86,Down,1.79845383942424e-07,0.000147832905600672,""
WP_MAMMARY_GLAND_DEVELOPMENT_EMBRYONIC_DEVELOPMENT_STAGE_1_OF_4,7,Down,2.66264350848077e-05,0.00831197160477902,ITGA6
WP_COVID19_ADVERSE_OUTCOME_PATHWAY,7,Down,3.03356627911643e-05,0.00831197160477902,""
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,86,Up,0.000109496816745547,0.0225015958412099,""
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,50,Up,0.000183949901771889,0.0286768142029911,""
WP_EV_RELEASE_FROM_CARDIAC_CELLS_AND_THEIR_FUNCTIONAL_EFFECTS,3,Down,0.000209319811700665,0.0286768142029911,""
WP_ZINC_HOMEOSTASIS,23,Up,0.000645695620498633,0.0758231142928395,MT1H
WP_OXIDATIVE_PHOSPHORYLATION,50,Up,0.00075044080941774,0.0771077931676728,""
WP_FEMALE_STEROID_HORMONES_IN_CARDIOMYOCYTE_ENERGY_METABOLISM,10,Up,0.00102543753464903,0.0936566281646118,""
WP_DUAL_HIJACK_MODEL_OF_VIF_IN_HIV_INFECTION,8,Up,0.00117908140784433,0.0969204917248039,""
WP_T_CELL_MODULATION_IN_PANCREATIC_CANCER,21,Up,0.00230455334967103,0.172156747136175,""
WP_SULFATASE_AND_AROMATASE_PATHWAY,2,Up,0.00251323718446972,0.172156747136175,""
WP_ALTERNATIVE_PATHWAY_OF_FETAL_ANDROGEN_SYNTHESIS,3,Up,0.00284395123245699,0.174945800553581,""
WP_ALPHA_6_BETA_4_SIGNALING,25,Down,0.00297961217487852,0.174945800553581,ITGA6
WP_HIPPOMERLIN_SIGNALING_DYSREGULATION,53,Down,0.00389150911073677,0.213254699268375,"ITGA6,ITGA3"
WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY,31,Up,0.00467154812188068,0.24000078476162,""
WP_IL5_SIGNALING,37,Down,0.00522766277793226,0.252772870791783,""
WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,11,Down,0.00569437865449261,0.260043291888496,""
WP_GLUCOCORTICOID_BIOSYNTHESIS,6,Up,0.00689328663967325,0.297676711865248,""
WP_DEVELOPMENT_OF_PULMONARY_DENDRITIC_CELLS_AND_MACROPHAGE_SUBSETS,10,Down,0.00724274238114959,0.297676711865248,""
WP_DRAVET_SYNDROME,12,Down,0.00801268423743298,0.313639354436662,""
WP_LUNG_PATHOLOGY_OF_COVID19,14,Down,0.00865001482144005,0.323196008328351,""
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873,23,Down,0.0101413950505153,0.362444640501025,""
WP_BIOMARKERS_FOR_PYRIMIDINE_METABOLISM_DISORDERS,12,Up,0.0113588827119988,0.389041732885958,""
WP_IMMUNE_RESPONSE_TO_TUBERCULOSIS,22,Up,0.012265835463564,0.403300670041985,""
WP_FATTY_ACID_OMEGAOXIDATION,2,Down,0.0134066921210512,0.414616162121136,""
WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS,7,Down,0.0136187790477745,0.414616162121136,""
WP_IL3_SIGNALING,46,Down,0.0158590690804346,0.449889136144445,""
WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY,3,Down,0.0159619396157298,0.449889136144445,""
WP_DISRUPTION_OF_POSTSYNAPTIC_SIGNALING_BY_CNV,11,Up,0.0164193115381184,0.449889136144445,SYNGAP1
WP_BENZOAPYRENE_METABOLISM,5,Up,0.0172874498773976,0.450232804974958,""
WP_MINERALOCORTICOID_BIOSYNTHESIS,5,Up,0.0175273111425774,0.450232804974958,""
WP_PEROXIREDOXIN_2_INDUCED_OVARIAN_FAILURE,4,Up,0.0181961252284366,0.45324893750833,""
WP_PROSTAGLANDIN_SIGNALING,21,Down,0.0194779657045952,0.46034401410722,""
WP_RIOK1_AND_RIOK2_IN_EGFR_AND_PI3KMEDIATED_TUMORIGENESIS,14,Down,0.0196010224984826,0.46034401410722,""
WP_OSTEOBLAST_SIGNALING,2,Down,0.0204467509580871,0.464141141063743,""
WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA,24,Up,0.0216826746482085,0.464141141063743,""
WP_REGULATION_OF_APOPTOSIS_BY_PARATHYROID_HORMONERELATED_PROTEIN,20,Down,0.0220234101955915,0.464141141063743,ITGA6
WP_THYROID_STIMULATING_HORMONE_TSH_SIGNALING,56,Down,0.0227846679947937,0.464141141063743,""
WP_THERMOGENESIS,74,Down,0.0229210647365265,0.464141141063743,""
