Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,Down,5.71829503458358e-07,0.00047004385184277,""
WP_SPINAL_CORD_INJURY,65,Down,1.42117923840502e-06,0.000584104666984463,""
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,Down,6.6201412135547e-06,0.00181391869251399,""
WP_COVID19_ADVERSE_OUTCOME_PATHWAY,7,Down,5.58408147092836e-05,0.0114752874227578,""
WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,27,Down,9.59854252151204e-05,0.0157800039053658,""
WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,11,Down,0.000121327677917979,0.0166218918747631,""
WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,12,Down,0.000192672550703515,0.0226252623826128,""
WP_PROSTAGLANDIN_SIGNALING,21,Down,0.000225177934369822,0.0231370327564992,""
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,35,Down,0.000603908453917981,0.0551569721245089,""
WP_IL26_SIGNALING,31,Down,0.00101080209812941,0.0675084424089575,""
WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,15,Down,0.00105576178586925,0.0675084424089575,""
WP_METABOLISM_OF_ALPHALINOLENIC_ACID,4,Down,0.00110255928982586,0.0675084424089575,""
WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE,12,Down,0.00118184871542189,0.0675084424089575,""
WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS,40,Down,0.00123170857162663,0.0675084424089575,""
WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS,7,Down,0.00123190588337514,0.0675084424089575,""
WP_MEVALONATE_PATHWAY,7,Down,0.00166232022741314,0.0825706648255731,""
WP_STEROID_HORMONE_PRECURSOR_BIOSYNTHESIS,2,Up,0.00170766581756052,0.0825706648255731,AKR1C1
WP_PHYSIOLOGICAL_AND_PATHOLOGICAL_HYPERTROPHY_OF_THE_HEART,18,Down,0.00210961618692413,0.0963391392028686,""
WP_NEURAL_CREST_CELL_MIGRATION_IN_CANCER,24,Down,0.00231257900787358,0.0972104099882055,""
WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT,22,Down,0.0023652167880342,0.0972104099882055,""
WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,24,Down,0.0029106460116705,0.113931001028245,""
WP_MINERALOCORTICOID_BIOSYNTHESIS,5,Up,0.00388400579646161,0.145081928236109,AKR1C1
WP_INTERACTIONS_OF_NATURAL_KILLER_CELLS_IN_PANCREATIC_CANCER,14,Down,0.00405947001147265,0.145081928236109,""
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,86,Up,0.00461038143259995,0.149551192561802,""
WP_SULFATASE_AND_AROMATASE_PATHWAY,2,Up,0.00467255194735659,0.149551192561802,""
WP_GPCRS_CLASS_A_RHODOPSINLIKE,40,Down,0.00475159649468277,0.149551192561802,""
WP_GLUCOCORTICOID_BIOSYNTHESIS,6,Up,0.00491226544911027,0.149551192561802,AKR1C1
WP_COMPLEMENT_ACTIVATION,12,Up,0.00580012973468941,0.159079010764283,""
WP_BIOSYNTHESIS_AND_REGENERATION_OF_TETRAHYDROBIOPTERIN_AND_CATABOLISM_OF_PHENYLALANINE,6,Down,0.00583772117566062,0.159079010764283,""
WP_RAS_AND_BRADYKININ_PATHWAYS_IN_COVID19,12,Down,0.00590755511989127,0.159079010764283,""
WP_SIGNAL_TRANSDUCTION_THROUGH_IL1R,27,Down,0.00599933008965057,0.159079010764283,""
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS,13,Down,0.0066207790845626,0.170071262734702,""
