gene,logFC,logCPM,LR,PValue,FDR
FOLR3,-2.3733047697392,8.06463765169793,70.3035369531308,5.08464481441301e-17,5.56463528489359e-13
NUTM2A-AS1,3.15794531291897,4.87952683959905,40.8878300495153,1.61221990532309e-10,8.82206732192797e-07
PADI2,-5.26209655610276,2.74819035087757,33.1000343037001,8.75371771403744e-09,2.12637151779165e-05
ALDH2,0.517751208604275,9.89900826660632,33.0115378617746,9.16135796039016e-09,2.12637151779165e-05
HLA-DRB5,-4.63792242901913,10.6511914510472,32.8975059169814,9.71478215365335e-09,2.12637151779165e-05
LINC00996,-1.58059755364657,4.35076564549548,32.1737240496046,1.40984599688685e-08,2.57155909832162e-05
NR4A1,-2.51997393576573,3.06458878036604,28.5634616085815,9.06772147055362e-08,0.000141767348248198
RGS14,1.99699251007577,3.10365694312147,28.1512286584235,1.12196422563439e-07,0.000153484706066784
CD93,-2.22610335634309,3.02658492069673,27.9163810894266,1.26672802034431e-07,0.000154034127273868
SVIP,-1.20805326924118,4.52119430222668,25.0986240392267,5.44717124464046e-07,0.000596138421013452
SQLE,1.99718521690671,3.64858772077405,24.900382780132,6.03704364867203e-07,0.000600630960827879
HSPA1B,-1.01929859875097,5.60086737038265,23.4223526767031,1.30058486584395e-06,0.00118613339764968
DUSP2,-2.82431577199913,3.1710623528086,22.8135533066365,1.78502437189536e-06,0.00150271590200175
DEFB1,2.42347759733355,5.89333874732394,22.3974343014877,2.21669939258765e-06,0.00167004381888948
TIMD4,3.02705158077617,2.22663596578786,22.2163797857971,2.4358682807693e-06,0.00167004381888948
SH2D4B,1.96378020173055,3.00883240124611,22.2118793701172,2.44158453054017e-06,0.00167004381888948
RPL36A,-0.603323849244507,9.59959419469326,21.5049288137809,3.52920408357477e-06,0.00227197702886131
CSPG4,3.00452908325736,2.25451158500989,21.3654472061519,3.79550227777075e-06,0.0022965973651344
BCAR1,1.62013953491475,4.77011241478156,21.2710159236977,3.98714820335833e-06,0.0022965973651344
NDUFA13,-0.539312538618541,8.58469097189116,20.614580030688,5.61667331464663e-06,0.00306438616084512
TDRD9,-3.09734711949537,1.96660668846826,20.5268290486187,5.88012695337606e-06,0.00306438616084512
RHEB,0.453479590865766,8.41317740827356,20.2580816439246,6.76670148990318e-06,0.00336612641388638
IFITM2,-0.957132128265959,5.54561059583654,19.9787208436662,7.83087925297551e-06,0.0036076704706477
