,logFC,logCPM,LR,PValue,FDR
PDGFD,2.60334327976204,5.25787969600352,41.8800539911549,9.70475760165197e-11,1.06073000586056e-06
HLA-DRB5,-4.67489022792858,10.7903624777931,39.2221771429097,3.78219734120043e-10,2.06697084696603e-06
EPB41L4A,1.32975907851863,5.0042134948408,30.0666211253331,4.17455093236479e-08,0.000152092805635824
SLC28A3,-3.42357141254737,1.83039827222738,29.2506318109877,6.35954865156981e-08,0.000173774666904145
CXCL1,-3.07048246624198,2.28073980697706,28.7643307989082,8.17428078518489e-08,0.000178689777964142
NID1,1.94664885788402,2.72456447097455,27.6317651367261,1.46748949575125e-07,0.000267327669809354
CLGN,2.02994517670632,2.49748706744109,25.3857715972798,4.69367299453789e-07,0.000732883511861416
WFDC2,-2.75737481649866,2.34588542733508,24.5172323090155,7.36482041294534e-07,0.00100621858891866
EGFL7,1.42065233299057,3.34820593456594,23.6766439607774,1.1395718295501e-06,0.00138394667744251
PSAT1,1.69413133085195,2.60110683352419,22.73360639056,1.86084855138233e-06,0.00203390746666089
TRHDE,1.65842204647828,3.69985042898232,21.9636412549137,2.77864837272712e-06,0.00276096606490067
PLXND1,-0.975873633372551,5.63262717380495,21.3612067319796,3.80390659864092e-06,0.00346472492692877
TNS1,-1.87987913408958,3.19014657068952,20.7369199873381,5.26902477079883e-06,0.00443003390344855
LILRA6,1.17460068410271,4.89174791905786,20.5183832845757,5.90612889653151e-06,0.0046109992027921
SCN9A,-2.09438191061337,1.96455528970015,19.1404990403927,1.21440492124201e-05,0.00884896385945011
ARL14EPL,1.94190523150627,2.07398767700029,18.3517145392435,1.83653639809369e-05,0.0125458392694775
CD93,-1.79240988290696,3.17216572179325,18.0942429001718,2.10236132255053e-05,0.013516946620869
SPP1,6.00674679219624,6.91727330648596,17.3640544698108,3.08607627946221e-05,0.0187393409636233
JAKMIP2,-1.66600023232344,4.67609004084677,16.9923152129339,3.75314180171624e-05,0.0215904420488203
SENP3,1.14879239823211,3.22441773267616,16.7730458494661,4.21274745032862e-05,0.0230226648160459
CXCL2,-2.83522433188119,7.26328229603609,16.4563847896033,4.97822372534738e-05,0.0259104691990699
OS9,0.353729100988862,6.92471206210305,15.5164731708312,8.17893797534936e-05,0.0406344509411675
ANO5,1.11708577285983,3.4773234698183,15.3760601075921,8.80974059831971e-05,0.041865419452015
TMEM59,0.365139092709812,8.49384614062242,15.2313725286746,9.51102047621089e-05,0.0424071503756941
TRGC1,-1.339447354291,4.40054377415888,15.1208822802748,0.000100841629103385,0.0424071503756941
TENM4,1.38451070629999,2.087185357401,15.0757466282459,0.000103281791806775,0.0424071503756941
ELANE,2.26025644203629,3.11732140745685,15.048978930361,0.000104756913096408,0.0424071503756941
SLFN5,0.778505604979428,5.08280148473565,14.8342015354973,0.000117387238159072,0.0458229468956665
GOLM1,0.802285902252077,4.10924659122284,14.7379506986581,0.000123534484699979,0.0458517784852072
AKR1C1,2.35372205793731,3.76016319759169,14.7029227820767,0.000125851176080166,0.0458517784852072
CXCL3,-2.28248998439608,8.06903098155195,14.5277699414043,0.000138108630124895,0.0480129117348329
LMAN1,0.40261304185328,7.01050775687103,14.4945121979458,0.000140568451556693,0.0480129117348329
PADI2,-3.75530231465329,2.73251459318789,14.329308290327,0.000153457042408637,0.050826832531103
JAML,-0.766822485037516,7.48781133362906,14.0994715207112,0.000173392491682306,0.0536289613725761
GBP3,1.3163427204655,5.8656289842074,14.0701246934995,0.000176119116402176,0.0536289613725761
SNAI3,1.30961459082617,2.771297112851,14.0646022313481,0.000176637018244533,0.0536289613725761
CCL3L1,-6.93078489853379,3.77230593233664,13.9457267109846,0.000188164902303904,0.0555849292481533
EGR1,-3.21782336906586,5.16237709894031,13.7245113069679,0.000211673833644222,0.0597797808490425
NR4A3,-2.49151717253849,2.06606542336476,13.6591510805407,0.000219170564796968,0.0597797808490425
RASSF4,-0.567120718944825,5.88986284648417,13.6402293490761,0.000221390390400024,0.0597797808490425
PNRC1,-0.648801587737201,7.4331609871031,13.5959644679942,0.000226672279713436,0.0597797808490425
NREP,0.970129324748017,3.43147115559504,13.5709599200254,0.000229711875174729,0.0597797808490425
GSDMD,0.485668123968094,6.21154543872844,13.5028484288184,0.000238201603950357,0.0605475239808699
NBPF14,-1.25229480710203,2.83736083500298,13.3757702813622,0.000254895920987231,0.061641707374499
CD33,0.513060507089957,5.72811962771059,13.3677951953774,0.00025598210996524,0.061641707374499
SSH2,-0.454998019660125,5.83801665385348,13.3427379514661,0.000259425300935677,0.061641707374499
RAC3,0.993991252869278,3.66933420018837,13.2840410467483,0.000267674909474836,0.0622486544799992
SCGB1A1,-1.59045358295543,3.02263526032027,13.1928480385995,0.000281019503586802,0.0639904827959115
CHURC1,0.36482336978766,7.61672926751551,12.8947965489939,0.000329496912009653,0.0734979846584798
HEXA,0.43475102132062,7.84632297751257,12.8387354022643,0.000339516994474424,0.0742184149921091
TIMD4,1.86418033056628,2.11792945967452,12.7388421960657,0.000358139329556736,0.0767541739618653
ST3GAL5,-0.677449418601648,4.6985692160772,12.6431495142157,0.000376944398531437,0.0792308129990116
LRPAP1,0.39710626806601,8.91938005764809,12.1344393593178,0.000494991470428105,0.102080316448664
IFI27L1,-0.712586823976784,5.58217697597823,11.930438539541,0.000552241757294133,0.111777822356016
NUPR1,-0.890036856368141,8.82993707492943,11.8032601536653,0.000591270910115094,0.117501655410145
IFNGR1,0.356805119430443,7.19208083005464,11.6698863173479,0.000635198916328538,0.123977217061981
REL,-0.463647184398843,6.0574305317094,11.6289691506635,0.000649325308990982,0.124510975917043
BBS1,1.82418966091197,2.03073665374242,11.4082970965996,0.000731168212358215,0.132674270893377
LILRB2,-1.11523832108646,4.25622399227932,11.3956942492111,0.000736145322671788,0.132674270893377
CCL20,-5.51360826126452,5.64357168781218,11.3903018609702,0.00073828532512406,0.132674270893377
SYT11,-0.812257585191596,3.77946299321678,11.3848605856635,0.000740451100136868,0.132674270893377
HPSE,-0.839369896254996,3.82372564220723,11.2367784672828,0.000801922267092459,0.138389966143873
LINC00996,-0.896374895002015,4.38860348281241,11.2119717851189,0.000812713198150844,0.138389966143873
LY86,0.699664334939863,7.53056221391416,11.1873933899805,0.000823549568602912,0.138389966143873
LIPN,1.55963835585724,1.95113607493381,11.17383471475,0.000829589833745461,0.138389966143873
LINC01914,-2.28892210975766,4.0485022260953,11.1603143562556,0.00083565761806913,0.138389966143873
KLHDC7B,1.37181149105543,1.92562749020881,11.089789422559,0.000868043408220532,0.140139049477352
TP53I3,-0.506814037414856,5.43311862268442,11.0816490059886,0.000871862338925887,0.140139049477352
NR4A1,-1.95886492544355,3.31582151890083,10.7938306964764,0.00101838920287165,0.159641563736082
ABCC4,-1.07835205100145,2.53138346376433,10.771441339865,0.00103078208423597,0.159641563736082
CES1,1.40832163794444,8.45357252375433,10.7602871890085,0.00103701290258571,0.159641563736082
FAH,0.749824753339933,4.05199441036989,10.7197568730114,0.00105997599249442,0.160910244416167
IL32,-1.59472382096939,2.32238721127769,10.6046845030139,0.00112801503673626,0.168893210294895
BMF,-0.984918451305471,2.79931273958981,10.5787108859552,0.00114397402991805,0.168968056040599
ERAP2,-1.99893060896339,6.2229856029931,10.5305443809528,0.00117417620629992,0.169454338520378
PIK3R1,0.503649306345708,5.5588737033438,10.5241067046249,0.00117827353408497,0.169454338520378
CD83,-0.871473332471444,6.49496475501708,10.4366964312305,0.0012353602951044,0.17535698734404
FCGRT,0.312468290431129,9.21826581616576,10.3729970655912,0.00127871796737843,0.177139614117875
NFKBIZ,-1.26640276517592,6.34429206759652,10.3706680983283,0.00128033206910449,0.177139614117875
ABHD5,-0.547494071778764,7.84442261244976,10.2033629365617,0.0014018477988186,0.190626522552172
FOLR3,-1.52802607776334,7.90776923683999,10.1689022114831,0.0014282929353052,0.190626522552172
SLC37A4,-0.638140571287704,4.17090287199201,10.1466500716434,0.00144563705294065,0.190626522552172
CCDC90B,0.355818953754599,6.03240108733363,10.1302890166281,0.00145852536273467,0.190626522552172
NPEPL1,-0.643311802072773,4.32525057166519,10.1218308387379,0.00146523379526256,0.190626522552172
HMGN3,-0.30218919199678,8.02949327910769,10.1002937188904,0.00148245694573967,0.190626522552172
CEP57L1,0.439366849372177,5.05726357148058,10.039929600302,0.00153183057698797,0.194684979145099
WFS1,1.00276747131432,2.69429385537991,9.97353078481205,0.00158806664907493,0.199512281314816
CHRNA5,0.83992125648767,3.43769159790441,9.93919885157494,0.00161795950017855,0.20095792428354
HLA-DQA2,-5.34125053725999,7.16744468967885,9.89011607423267,0.00166168887357995,0.20147416026992
BIN1,0.876543397009606,4.23631288300741,9.88572117549293,0.00166566236570652,0.20147416026992
ARID3B,-0.966931642095172,3.00970065599243,9.85592637484501,0.00169285533643667,0.20147416026992
TANGO2,-0.688850788763052,4.41082051953579,9.85267662767786,0.00169584837555651,0.20147416026992
DUSP5,-1.62946301800272,1.85302383470815,9.68939775338125,0.00185334274712474,0.216560278245018
LTBR,0.446898225088195,5.37235918986391,9.66374187891002,0.00187940424792665,0.216560278245018
C4orf33,0.622298198310946,4.26755533362199,9.61676692362052,0.00192808865940131,0.216560278245018
RASSF8,-0.526031534247043,4.80856940423522,9.60715569478481,0.00193820614550133,0.216560278245018
NFKBIA,-1.50127998435096,7.43267216019613,9.60259775619478,0.00194302296390746,0.216560278245018
LILRB3,-0.413291262539312,5.86454050537978,9.5645544302513,0.00198370341563499,0.216560278245018
TFRC,-0.826992816720958,9.22398288111229,9.55734108046868,0.0019915136389515,0.216560278245018
BCAR3,-0.662412206173263,4.46072310671947,9.54669744564756,0.00200309496917052,0.216560278245018
ZCCHC24,0.823431505677047,3.67981399362889,9.51755694665857,0.00203515336514731,0.216560278245018
APBB2,-0.988788980422097,3.18061033100952,9.51494890081068,0.00203804780327993,0.216560278245018
PRR5L,-1.49655545228357,2.00995578718127,9.51249186400919,0.00204077846836567,0.216560278245018
TREM1,0.405136351680633,8.79771282960257,9.48309297696361,0.00207374058279782,0.217407736444974
CD81,0.273672527468091,10.3187037152421,9.47004155630132,0.00208854641598557,0.217407736444974
CCR10,1.49531868087251,1.57322323575395,9.39019889852278,0.00218148536882842,0.224939953597119
TNFAIP3,-1.61225073552824,5.91651383958513,9.35674803932012,0.00222165977619408,0.225585154594332
HEBP2,-0.479671786774598,6.29234481729486,9.34687443396475,0.00223366080579401,0.225585154594332
IFI44L,0.764002213076521,6.47551628079315,9.33379492735696,0.00224965982166351,0.225585154594332
DUSP2,-3.27936780318992,3.40021552241537,9.30639471642909,0.00228355400490221,0.226902229759829
LRP5L,-1.04712471502796,2.50323812931072,9.2841028066909,0.00231151109850547,0.227610957717701
IFNLR1,-0.972178483127104,2.96533771544132,9.21964729736498,0.00239431667892947,0.231617240592158
SVBP,-0.384124109758544,6.15000549544459,9.2194467420304,0.00239457897410008,0.231617240592158
IL1B,-2.32301984812186,6.69464537583377,9.17490349356818,0.00245356304851889,0.234590183717258
HELZ2,0.69215208156157,3.7581680072916,9.1639881356232,0.00246824072529594,0.234590183717258
JOSD1,-0.423641393069575,5.65648035691753,9.11370927699629,0.00253700902712572,0.239047488504173
CD302,0.444495225838453,7.60546872743505,9.07299124187734,0.00259412379563996,0.240773535352783
TIMP1,0.480830253646359,7.38486541637607,9.06928637962763,0.00259938491963663,0.240773535352783
PTGS2,-2.01545461363447,3.20374831719837,8.97902830815643,0.00273095837969651,0.248318257125042
ZNF331,-0.743722853221895,4.30065711413925,8.97229999766094,0.0027410333168394,0.248318257125042
CPVL,0.45035449199037,7.623324831506,8.94505537493823,0.00278221660314622,0.248318257125042
PSMA4,0.27964799318211,8.21810670421475,8.94150073480847,0.0027876359787998,0.248318257125042
FAS,1.09128116430687,3.67363119333661,8.92827742835085,0.00280789040907532,0.248318257125042
PHOSPHO2,-1.41563020106866,1.6078010605203,8.92226358924086,0.00281715131596571,0.248318257125042
NT5C3B,0.550729139715746,4.93299587132047,8.83194543458587,0.00296002667147525,0.258824732153796
BHLHE41,-0.793973995330428,7.24887542972852,8.80107906519913,0.00301052434283958,0.261151040216164
BET1L,0.59549073212763,3.96215279468722,8.69964297642797,0.00318272382113343,0.272747101835972
NME2,-0.898216266333211,9.0327615301465,8.69313333080478,0.00319411061619436,0.272747101835972
OTOA,-1.01019829572158,3.43785094896436,8.67768551654281,0.00322129820139261,0.272936351482335
C3orf33,1.42159223497984,1.74186072023662,8.61348544448294,0.00333683146745645,0.279544878897034
ZNF23,1.72481453594573,1.96273255721895,8.6036559246815,0.00335488865158132,0.279544878897034
DEFB1,1.35193549616837,5.99803191439299,8.57597197752231,0.00340628073382844,0.279544878897034
OPN3,-0.687853661014522,6.36494194532809,8.57467464326741,0.00340870862330267,0.279544878897034
SH3BP5,-0.670266241705446,6.61362878439634,8.56483827094234,0.00342717417860957,0.279544878897034
FGF10,1.22419923425705,2.00730411875328,8.54386224003537,0.00346689231357554,0.280689873980598
ATP6V0D2,-1.49927893265752,2.22214495376723,8.46525120697453,0.00361995255363598,0.290927069200304
TMEM176B,-2.4711116622706,5.35001014215906,8.44495830900047,0.00366056829201273,0.292043879063497
SAMD9L,0.436529677539845,7.41265467502878,8.32610176479167,0.00390794287157135,0.303882095682202
CKMT2-AS1,1.29641030269004,1.80179479782186,8.31512913359746,0.00393162087799078,0.303882095682202
CXADR,1.1503011257302,2.55595427218132,8.30496154990535,0.00395369194388699,0.303882095682202
SOD2,-0.938022892363131,6.99989404708915,8.30200631472123,0.00396013057233733,0.303882095682202
KDM4D,1.4814074695518,1.67163893583937,8.3005201495523,0.00396337253984018,0.303882095682202
ATF3,-0.827104226019697,4.40095985366854,8.28699612724572,0.0039929986495812,0.303882095682202
SKAP1,1.0982158055649,3.12237490002028,8.28003087100345,0.00400834475058061,0.303882095682202
LAMP2,0.265926412593983,8.19680776414277,8.26962972620928,0.00403137272405483,0.303882095682202
PMP22,-0.575624341278083,6.11728262389736,8.22158078533657,0.00413951253902313,0.30989638391454
HSD11B1,1.19634952781371,2.63637002991001,8.14448410909448,0.00431923416203105,0.320493391426373
CTSD,0.325705229744342,11.6168557161541,8.13590872496155,0.00433970923431869,0.320493391426373
PNP,-0.416347883793174,6.44080935131584,8.10977973614106,0.00440270761443207,0.321821761336181
BRK1,-0.176781325068876,7.86200566409024,8.09686126875429,0.00443419791724782,0.321821761336181
STON1,-0.907660174837097,3.52980936924319,8.08171022849647,0.00447142274448289,0.321821761336181
GAS8,1.07907206570033,2.01134762678421,8.07773885705932,0.00448123259741417,0.321821761336181
TMEM187,0.793896265656634,2.96291847405411,8.06818744375519,0.00450491578082668,0.321821761336181
MEPCE,-0.494761370093918,4.5318179087638,8.04470521491984,0.00456368443691738,0.323903057763032
NBDY,-0.456841251695451,6.53018602029311,8.01446400662073,0.004640520637575,0.325805719658421
MIF,-0.379473995330368,8.32745998582007,8.0074669623888,0.00465848548320334,0.325805719658421
TRPC6,0.997669036049912,4.20135681641298,7.98835933532954,0.00470790583682997,0.325805719658421
CAPS,1.18179162256662,1.99603158584822,7.98765955525484,0.00470972586514461,0.325805719658421
ARHGEF35,0.719313648612444,3.50284242308021,7.97065023627799,0.00475418579480524,0.326310307741671
WDR91,-0.77743712456063,3.19861052413274,7.96208749879444,0.00477672911607204,0.326310307741671
SLC39A3,0.470078554314264,5.24362801540005,7.93512052934322,0.00484843975977406,0.328970687723955
KDM6B,-0.518936540601986,4.85002560872224,7.91159195903379,0.00491190257325355,0.328970687723955
COX7A2L,0.21399405653542,7.21049253520028,7.89126495321403,0.00496741110175816,0.328970687723955
MAFF,-0.904694485439149,4.04439566339787,7.89051914816928,0.00496945984199621,0.328970687723955
RCN2,0.458550861023592,5.62807011772375,7.88911967019881,0.00497330655775115,0.328970687723955
HOXB-AS1,1.21043469484197,2.06058530886488,7.87439125420714,0.00501397471132109,0.328970687723955
PDE4B,-0.813193232959351,4.74361600886947,7.86993028734695,0.00502635908965238,0.328970687723955
LINC01070,0.955256941579722,2.70919664545595,7.84491702756238,0.00509637973266183,0.330584549292973
PM20D2,-0.828734075928802,3.15148540919343,7.83024556081767,0.00513791190870349,0.330584549292973
PABPC4,-0.312160268026564,6.38973827887694,7.81804117673842,0.00517272297019077,0.330584549292973
TRIM3,-0.980741779735226,2.34073202526397,7.80986640746823,0.00519617454641919,0.330584549292973
DHRS9,0.787621197761833,3.10400690252791,7.80775634333229,0.00520224542345758,0.330584549292973
MYC,-1.13828820291819,3.14882010957337,7.78860078600572,0.00525768979665209,0.332176586574609
SLC35G2,-1.28308634106407,1.54199307481848,7.76469447782023,0.00532773076966138,0.332328737584084
GNG11,0.938933843158381,5.33644925976288,7.76281414255435,0.00533327998602843,0.332328737584084
SSX2IP,0.669701549385617,3.55802433091429,7.75608843091862,0.00535317707915972,0.332328737584084
SAMSN1,-0.629869545548709,5.18223740292157,7.72835008551196,0.00543604012404891,0.332328737584084
GDPGP1,0.943813256718707,2.51616506006171,7.72832926219784,0.00543610281851066,0.332328737584084
TSPAN5,-1.72066551666972,1.47688870874998,7.72124132765198,0.00545748593684362,0.332328737584084
CTSC,0.381731699982081,10.4415044154797,7.71613817624462,0.00547293437924384,0.332328737584084
IGKC,-2.46884750112422,1.84611353802246,7.6965774571036,0.00553256347562771,0.333375049945976
ZNF90,0.844454066376518,3.09685997593204,7.69051862269947,0.00555116734585247,0.333375049945976
ADGRE3,-0.859559826642975,3.67506440445782,7.65871570260375,0.00564987089346994,0.33744857303621
ATP8B1,1.13802095674782,1.99771344759652,7.62224900247306,0.00576525457203138,0.341723419846197
CELF2,-0.24302201726628,7.02598558989872,7.6164031273496,0.00578397371194387,0.341723419846197
ZFP36L1,-0.677552518613917,6.58259462104296,7.60477615530963,0.00582138906110417,0.341824905266642
FCN1,-2.19613267545464,5.17445407149333,7.59647917034622,0.00584823945881628,0.341824905266642
IFIT3,0.471405499234352,7.55067335435289,7.5529713367597,0.00599112051914731,0.347479871976988
SENP5,0.405194385060829,4.96245078223233,7.53129054991566,0.00606364555441916,0.347479871976988
GATAD1,0.286588017221209,6.29508878546092,7.52677480360295,0.00607886369037325,0.347479871976988
LRRIQ3,1.32597187934938,1.73074116882822,7.52032838443361,0.00610065578282256,0.347479871976988
GUSB,0.262632656550646,7.55589206100753,7.51051133220184,0.00613399553995516,0.347479871976988
RELT,-0.502962323939637,4.89258290153316,7.50999978291558,0.00613573790407674,0.347479871976988
AZU1,1.05896048802973,5.5385533343483,7.50039006801044,0.00616856313285764,0.347538118773887
GRB2,0.184309068485218,8.37451167977987,7.47196093810805,0.00626672574455593,0.351258012246135
IER2,-1.33101144244418,6.81716288427212,7.44990272011523,0.00634398777238436,0.353774420164087
MT1H,1.33245935752651,3.54432542565513,7.42106879643897,0.00644645120396788,0.356125881289574
