gene,logFC,logCPM,LR,PValue,FDR
ITGA6,-2.47767793452022,4.81389703614252,37.3888574309443,9.67734370892681e-10,9.46350956138768e-06
MT1H,3.29797348315156,3.70329265125291,36.2569264913487,1.7294425368033e-09,9.46350956138768e-06
IFITM2,1.12988641172581,5.54561052909015,30.7225209674015,2.97689805228964e-08,0.000108597240947526
ITGA3,2.9906434209367,2.15896480687419,21.3641203791378,3.79812995050399e-06,0.00979596998832381
TRHDE,-1.80145126378631,3.83606607999481,21.0495849042447,4.47549798443156e-06,0.00979596998832381
NT5C3B,-0.93068601619428,5.01278466374101,20.2034090702438,6.9628739615793e-06,0.0127002821059206
CTSL,0.653042925556545,9.06774327801314,19.3120471578539,1.11003764146136e-05,0.0161116223577975
CD59,0.638498879592764,8.42384887005296,19.1990008763305,1.17775017235362e-05,0.0161116223577975
GBP3,-1.57486222758317,5.94971369074332,18.1304351865251,2.06277902497091e-05,0.021434397542621
NKG7,2.62877614875267,1.84671206889649,18.1124848009518,2.08231629357577e-05,0.021434397542621
SYNGAP1,3.22936441041243,1.8774984803361,18.0476822188765,2.15440764774151e-05,0.021434397542621
VLDLR,-3.14845766900027,1.85677169048855,17.5953055559928,2.73262075908643e-05,0.0249215013228682
ESR1,1.88433888982756,2.59949127490353,15.9414855963614,6.5330981709494e-05,0.0549986356791309
NOP10,0.463178832419827,9.10987306347747,15.4264829107229,8.57777248603582e-05,0.0670536729194114
TRPM4,1.43231195330531,3.51769316594007,15.198872378249,9.67611828827048e-05,0.0705969590312214
ALDH2,-0.328361537076512,9.89900774451788,15.0473518317201,0.000104847260274064,0.0717155260274596
RPLP0,-0.358710872308749,9.68773518683308,14.4526807889193,0.000143725141357055,0.0925251733536238
NDRG1,1.15872932572766,3.82680196598571,14.2914856769724,0.000156571482685172,0.0951954614725848
CCDC69,1.41871505053032,3.62139899150842,14.1783204587622,0.000166275303709309,0.0957745749365619
SVIP,0.901656912705865,4.52119479663758,13.613838036627,0.000224524406944855,0.122859755480225
CD93,1.51850673059353,3.02658570504214,13.3311592503593,0.000261032097100812,0.136035012889109
TNFAIP6,2.27191614815314,2.38227265851655,13.001408006547,0.00031125684286132,0.13704160403335
SLC37A1,0.980047171943865,4.77123776797899,12.9771801053,0.000315310498308552,0.13704160403335
SNRPG,0.325529177908125,7.84102854836981,12.9075902056973,0.000327252347260624,0.13704160403335
TRHDE-AS1,-2.32721691772358,1.99503481375645,12.887314873613,0.00033081671102633,0.13704160403335
CEACAM8,-3.38534768710915,5.10283630164785,12.8012730614889,0.000346383563640566,0.13704160403335
CHCHD5,0.455059857877818,6.55562932355965,12.7857824378779,0.000349263652133534,0.13704160403335
SH2D4B,-1.56899756600662,3.00883132551658,12.7785417830942,0.000350618138974215,0.13704160403335
SYNGR1,0.973972766185252,4.85586759795616,12.6772803875491,0.000370125528986118,0.139677716869796
CLEC2D,-2.22042452844997,2.43115232913971,12.4136003743405,0.000426218335722051,0.155484448871404
BCL2L13,-0.688907562038418,5.26848353477844,12.2941156479959,0.000454388623468787,0.158619666899256
SPP1,5.9211460723241,7.18604570946151,12.2558566006617,0.000463800195611861,0.158619666899256
ARHGEF5,-1.36400936515114,3.23044306350585,12.0609060550145,0.000514902604123108,0.170118271999724
LGALS9,0.476416491653989,7.57218695891677,12.0122832325849,0.000528510713449434,0.170118271999724
SLC25A24,-0.414936700163279,7.10271214893796,11.6237202821763,0.000651160264889575,0.203608512541472
NAP1L1,-0.35109767544233,9.2024093509677,11.4349361847678,0.000720759501679383,0.212231904605103
AKR1C3,0.968963222855065,5.7630722928872,11.4167106570934,0.000727864470750133,0.212231904605103
SAMSN1,0.80673953527379,5.08925592657648,11.3663553121482,0.00074786485536915,0.212231904605103
NDUFC1,0.438387278484187,7.11081106262368,11.3236865650956,0.000765246352857094,0.212231904605103
FDX1,0.699911398196648,7.23303100428762,11.2984902772254,0.000775701405720405,0.212231904605103
TMEM191B,1.77084007781301,2.44434413889566,11.164177124078,0.000833919488703442,0.222595484984646
WFDC2,2.03508855517591,2.015567360399,11.0674577761304,0.000878560558405683,0.228875061196342
PLA2G7,2.81739935460699,2.2365525983464,11.0242603558161,0.000899271530650833,0.228875061196342
FAM72C,-2.08824747461792,1.94861518483842,10.9268439326971,0.000947808204706765,0.235745749825246
THEMIS2,-0.525975938743382,7.32721889792371,10.8382969133877,0.00099422135142789,0.240489353614899
EEF2K,1.18120076779435,3.55056156816974,10.7793315152363,0.00102639743149629,0.240489353614899
PROCR,1.02622312687276,4.87637738380068,10.7339948337229,0.00105185122680433,0.240489353614899
ERF,1.19626194450102,3.32833538531727,10.7288533685692,0.00105477786673201,0.240489353614899
TK2,0.58789285820026,5.97516405198397,10.6279510152674,0.00111391068071255,0.248788540606492
CXADR,1.97067727077321,2.60545511222764,10.5711057403365,0.00114868996099438,0.251425258662451
CD1D,-1.43605311680627,3.0520592125353,10.4290939092538,0.00124045584719583,0.261876324334138
MRPS18C,0.419173753696362,6.68506221403329,10.414932001548,0.00125000458062276,0.261876324334138
IFNGR1,0.434377043535434,7.20775950367455,10.3882113907615,0.00126822415841642,0.261876324334138
STRN,-0.644919871674247,5.11506333023537,10.234867725922,0.00137810495177767,0.279295936893608
OR6N1,2.25540453106866,2.06251116090886,10.0130999659001,0.00155430682434518,0.307906484500631
PDE9A,1.90009576289213,2.24529115391166,9.98037105059517,0.0015821779817433,0.307906484500631
PALLD,-1.38618565629665,4.39959833886872,9.94186994338653,0.00161561346544672,0.307906484500631
CEP89,-0.82914959171137,4.33787583617748,9.92350391037279,0.00163181433671752,0.307906484500631
