gene,logFC,logCPM,LR,PValue,FDR
BIN1,1.288231485628,4.23357538125227,22.5285112977652,2.07047646695364e-06,0.0185697610685994
ELOVL7,2.04266362048981,2.07050367004297,21.5776166439721,3.39794347092395e-06,0.0185697610685994
AKR1C1,2.54465589353599,3.75982000898992,20.5639264416258,5.76726925838442e-06,0.0210120843313806
EPB41L4A,1.02446629549534,5.00497913240891,19.7214341185296,8.95908589997203e-06,0.0244807022216736
SLC28A3,-2.1119829435179,1.83092078236668,18.9807555265344,1.32043536498645e-05,0.0288647170786037
ARL14EPL,1.99238534890018,2.07406161832498,17.8182357042269,2.43042723920632e-05,0.0442742828742084
ELANE,2.73050744725369,3.11567853063695,17.5207290111523,2.84192269381003e-05,0.0443745929190623
CXCL3,-1.93058966867345,8.06994072501659,15.0511954637261,0.000104633962696589,0.105810551576573
LILRA6,0.893929561956062,4.89284644169437,15.0479180930424,0.000104815808841788,0.105810551576573
BCAR1,-1.02439919054507,4.77883239729177,14.9849863906159,0.000108369954679758,0.105810551576573
TIMM10,-0.699932782704856,6.64256620230211,14.9017925365235,0.000113255318157739,0.105810551576573
TDRD9,1.87280084195745,1.87661149134388,14.7170499643672,0.000124911609496274,0.105810551576573
CD82,0.88267117837223,5.40006734312806,14.6028073727277,0.000132716683790616,0.105810551576573
PTCH2,-1.48562395529617,2.25114608442417,14.5632743901082,0.000135530441177678,0.105810551576573
S100A10,-0.396036960574327,11.4480146644771,13.930779725481,0.00018966703204653,0.131625168734422
ZNF558,1.64818943904673,1.99875928463305,13.9011460698337,0.000192680942337671,0.131625168734422
HSPA1B,0.836259803015298,5.5301226990765,13.7073077325267,0.000213621641428899,0.137346149459875
CXCL2,-2.03358610930147,7.26492888201684,13.2746701063808,0.000269016221378568,0.161794132074104
TPPP3,-2.20782426518079,2.05542955099754,13.1601814257251,0.000285961196111883,0.161794132074104
P2RY13,-0.580351118052961,5.8054596832699,13.0951889603087,0.000296055136457647,0.161794132074104
FTCDNL1,1.50431402325884,3.71564674706287,12.8840735424838,0.000331390149286884,0.172480682462173
CRIP2,-2.37925925787118,2.76939674601978,12.5553961525948,0.000395063838841577,0.196274898115384
MIR4435-2HG,-0.708340273278678,4.11069880773094,12.4368873636825,0.000420936724605949,0.200036452171436
SQLE,-1.07035979645573,3.70716248103125,12.3350887153379,0.000444522979442056,0.202085944339274
FGD5-AS1,-0.348886531445936,6.66657171670316,12.2621941963516,0.000462227686045914,0.202085944339274
JAKMIP2,-1.1424991162366,4.67653312197368,12.1137148677906,0.000500523213667403,0.206507301111917
GPX3,-0.946862213373551,4.15086525398725,12.0782747062525,0.000510127825253592,0.206507301111917
C8A,1.69568101937395,1.6764605494455,11.8009859351504,0.000591993619607618,0.231088937939688
VAMP5,-0.825358201712689,5.0608266307918,11.6663642352217,0.000636402587499021,0.2398579407367
IFI27L1,-0.61633997348433,5.58259039630141,11.4612041338014,0.000710642379876399,0.258910707068301
PLTP,1.1961909668338,4.48511625880897,11.3129538925493,0.000769682291923877,0.271375079055741
ABCD1,0.873077826398147,3.49107973027092,11.0121188000284,0.000905181165166424,0.309175941727157
