Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,581,12,2.21740485973848e-08,0.000356758267883324,"PADI2,RGS14,DEFB1,BCAR1,MGLL,CCL4,ADGRE1,FCN1,OR6N1,CCL4L2,CCL3,ESR1",12,54,0.222222222222222
GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,26,4,5.67420796224815e-07,0.00456461659523052,"DEFB1,CCL4,CCL4L2,CCL3",4,54,0.0740740740740741
GOBP_DEFENSE_RESPONSE,1447,15,2.43182820859903e-06,0.00983197238696166,"NR4A1,HSPA1B,DEFB1,IFITM2,MGLL,TNFAIP6,CCL4,FCN1,GBP3,NFKBIZ,CCL4L2,WFDC2,CCL3,ESR1,FADS2",15,54,0.277777777777778
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,90,5,3.52182729752358e-06,0.00983197238696166,"DEFB1,CCL4,CCL4L2,WFDC2,CCL3",5,54,0.0925925925925926
GOBP_TAXIS,363,8,3.93639602223168e-06,0.00983197238696166,"PADI2,NR4A1,DEFB1,BCAR1,TNFAIP6,CCL4,CCL4L2,CCL3",8,54,0.148148148148148
GOBP_CELL_CHEMOTAXIS,255,7,3.99222823826599e-06,0.00983197238696166,"PADI2,NR4A1,BCAR1,TNFAIP6,CCL4,CCL4L2,CCL3",7,54,0.12962962962963
GOBP_RESPONSE_TO_CYTOKINE,786,11,4.27769325058932e-06,0.00983197238696166,"PADI2,HSPA1B,NDUFA13,IFITM2,CCL4,CD38,GBP3,SYNGR1,NFKBIZ,CCL4L2,CCL3",11,54,0.203703703703704
GOMF_CHEMOKINE_RECEPTOR_BINDING,45,4,5.45337588286858e-06,0.0109674205724341,"DEFB1,CCL4,CCL4L2,CCL3",4,54,0.0740740740740741
GOBP_HUMORAL_IMMUNE_RESPONSE,180,6,6.83071354391115e-06,0.0122110389119985,"DEFB1,CCL4,FCN1,CCL4L2,WFDC2,CCL3",6,54,0.111111111111111
GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING,192,6,9.87845723365358e-06,0.0158934498432253,"HSPA1B,DEFB1,CCL4,FCN1,CCL4L2,CCL3",6,54,0.111111111111111
GOBP_RESPONSE_TO_LIPID,720,10,1.32759811892136e-05,0.0194179328502961,"PADI2,NR4A1,HSPA1B,NDUFA13,CD38,ARPC1B,GBP3,NFKBIZ,CCL3,ESR1",10,54,0.185185185185185
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,59,4,1.62185930862883e-05,0.021745078680441,"DEFB1,CCL4,CCL4L2,CCL3",4,54,0.0740740740740741
