,Set,N,DE,P.DE,FDR
1,GOBP_ELASTIN_CATABOLIC_PROCESS,4,1,0.000191140631719766,0.939663273920463
2,GOBP_MEMBRANE_FUSION_INVOLVED_IN_VIRAL_ENTRY_INTO_HOST_CELL,5,1,0.000238925789649902,0.939663273920463
3,GOCC_ENDOLYSOSOME_LUMEN,5,1,0.000238925789649902,0.939663273920463
4,GOBP_ELASTIN_METABOLIC_PROCESS,7,1,0.00033449610550973,0.939663273920463
5,GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS_OF_VIRUS_BY_HOST_CELL,10,1,0.000477851579299471,0.939663273920463
6,GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS,11,1,0.000525636737229385,0.939663273920463
7,GOCC_CHROMAFFIN_GRANULE,11,1,0.000525636737229385,0.939663273920463
8,GOBP_ENDOCYTOSIS_INVOLVED_IN_VIRAL_ENTRY_INTO_HOST_CELL,12,1,0.000573421895158965,0.939663273920463
9,GOBP_MACROPHAGE_APOPTOTIC_PROCESS,12,1,0.000573421895158965,0.939663273920463
10,GOBP_RESPONSE_TO_THYROID_HORMONE,19,1,0.000907918000669028,0.939663273920463
11,GOBP_PROTEIN_AUTOPROCESSING,20,1,0.000955703158598498,0.939663273920463
12,GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS,21,1,0.00100348831652897,0.939663273920463
13,GOBP_TRANSPORT_OF_VIRUS,21,1,0.00100348831652897,0.939663273920463
14,GOCC_ENDOCYTIC_VESICLE_LUMEN,21,1,0.00100348831652897,0.939663273920463
15,GOMF_FIBRONECTIN_BINDING,24,1,0.00114684379031926,0.939663273920463
16,GOMF_PEPTIDASE_ACTIVATOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS,24,1,0.00114684379031926,0.939663273920463
17,GOCC_ENDOLYSOSOME,28,1,0.00133798442203792,0.939663273920463
18,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,29,1,0.00138576957996861,0.939663273920463
19,GOBP_CD4_POSITIVE_OR_CD8_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT,29,1,0.00138576957996861,0.939663273920463
20,GOBP_SIGNALING_RECEPTOR_LIGAND_PRECURSOR_PROCESSING,29,1,0.00138576957996861,0.939663273920463
