,Set,N,DE,P.DE,FDR
1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,197,3,0.00333298361706494,0.166649180853247
2,HALLMARK_IL6_JAK_STAT3_SIGNALING,82,2,0.0069706798199867,0.174266995499667
3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,157,2,0.0239424008174716,0.399040013624527
4,HALLMARK_IL2_STAT5_SIGNALING,189,2,0.033703219158413,0.405006903961628
5,HALLMARK_ANGIOGENESIS,27,1,0.0405006903961628,0.405006903961628
6,HALLMARK_SPERMATOGENESIS,91,1,0.13025692137506,0.847425160787298
7,HALLMARK_PROTEIN_SECRETION,93,1,0.132926442715932,0.847425160787298
8,HALLMARK_ANDROGEN_RESPONSE,95,1,0.135588025725968,0.847425160787298
9,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,108,1,0.15269639031532,0.848313279529554
10,HALLMARK_UV_RESPONSE_UP,144,1,0.198379096798535,0.867258772880314
11,HALLMARK_KRAS_SIGNALING_UP,167,1,0.226306213942082,0.867258772880314
12,HALLMARK_HEME_METABOLISM,176,1,0.236975640389793,0.867258772880314
13,HALLMARK_ALLOGRAFT_REJECTION,182,1,0.244009256098687,0.867258772880314
14,HALLMARK_COMPLEMENT,184,1,0.246339805885791,0.867258772880314
15,HALLMARK_MTORC1_SIGNALING,196,1,0.260177631864094,0.867258772880314
16,HALLMARK_ADIPOGENESIS,188,0,1,1
17,HALLMARK_APICAL_JUNCTION,160,0,1,1
18,HALLMARK_APICAL_SURFACE,33,0,1,1
19,HALLMARK_APOPTOSIS,151,0,1,1
20,HALLMARK_BILE_ACID_METABOLISM,95,0,1,1
