Set,N,DE,P.DE,FDR,DEG.GENES
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,183,5,0.000108201501225115,0.0767949974215942,"HLA-DRB5,RHEB,CCL4,ITGA3,CCL3"
WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS,44,3,0.000199576179297433,0.0767949974215942,"SQLE,MSMO1,FADS2"
WP_EBOLA_VIRUS_INFECTION_IN_HOST,122,4,0.000277572279837088,0.0767949974215942,"HLA-DRB5,TIMD4,HLA-DQA2,ITGA3"
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,2,0.00067160534231499,0.114916756525134,"SQLE,MSMO1"
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME,67,3,0.000692269617621292,0.114916756525134,"CCL4,CCL4L2,CCL3"
WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,2,0.000867015595567959,0.119937157386901,"SQLE,MSMO1"
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,80,3,0.00115954354627875,0.137488734773052,"CCL4,CCL4L2,CCL3"
WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,186,4,0.00135087310251574,0.140153084386008,"CCL4,CCL4L2,CCL3,RELT"
WP_INTERACTIONS_OF_NATURAL_KILLER_CELLS_IN_PANCREATIC_CANCER,25,2,0.00188741274059434,0.16942981917388,"CCL4,CCL3"
WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION,26,2,0.00204132312257687,0.16942981917388,"CCL4,CCL3"
WP_NUCLEAR_RECEPTORS,29,2,0.00253748497348915,0.191464775272363,"NR4A1,ESR1"
WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,32,2,0.00308467421966942,0.207849855571774,"SQLE,MSMO1"
WP_IL18_SIGNALING,237,4,0.00325547966558201,0.207849855571774,"NR4A1,CCL4,NFKBIZ,CCL3"
WP_MIRNA_ROLE_IN_IMMUNE_RESPONSE_IN_SEPSIS,37,2,0.00410791400210768,0.243540615839241,"CCL4,CCL3"
WP_CHEMOKINE_SIGNALING,146,3,0.00636235107071274,0.352050092579438,"BCAR1,CCL4,CCL3"
WP_LUNG_FIBROSIS,50,2,0.00739585949705412,0.383660211409683,"CCL4,CCL3"
WP_CYTOSOLIC_DNASENSING_PATHWAY,56,2,0.00920641880016066,0.440320250052425,"CCL4,CCL4L2"
WP_LINOLEIC_ACID_METABOLISM_AFFECTED_BY_SARSCOV2,4,1,0.010282446252845,0.440320250052425,FADS2
WP_CHOLESTEROL_METABOLISM,62,2,0.0111939553292359,0.440320250052425,"SQLE,MSMO1"
WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE,62,2,0.0111939553292359,0.440320250052425,"CCL4,CCL3"
WP_ESTRADIOL_REGULATION_IN_PORTOSINUSOIDAL_VASCULAR_DISEASE,5,1,0.0128368002127148,0.440320250052425,ESR1
WP_METABOLISM_OF_ALPHALINOLENIC_ACID,5,1,0.0128368002127148,0.440320250052425,FADS2
WP_SEBALEIC_ACID_FORMATION_AND_METABOLISM,5,1,0.0128368002127148,0.440320250052425,FADS2
WP_COMPLEMENT_SYSTEM,69,2,0.0137288737879785,0.440320250052425,"CD93,FCN1"
WP_ALLOGRAFT_REJECTION,71,2,0.0144947299502693,0.440320250052425,"HLA-DRB5,HLA-DQA2"
WP_MAPK_SIGNALING,198,3,0.0145287102530986,0.440320250052425,"NR4A1,HSPA1B,DUSP2"
WP_COMPLEMENTMEDIATED_INFLAMMATION_OF_PULMONARY_ALVEOLUS_IN_COVID19_HYPOTHETICAL_PATHWAY,6,1,0.0153846834355666,0.440320250052425,FCN1
WP_FATTY_ACID_OMEGAOXIDATION,6,1,0.0153846834355666,0.440320250052425,ALDH2
WP_FLUOROACETIC_ACID_TOXICITY,6,1,0.0153846834355666,0.440320250052425,ALDH2
WP_THYROID_HORMONES_PRODUCTION_AND_PERIPHERAL_DOWNSTREAM_SIGNALING_EFFECTS,75,2,0.0160805881208009,0.444896271342157,"RHEB,MGLL"
WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,79,2,0.0177373161589862,0.464958530121468,"RHEB,PSAT1"
WP_AMINO_ACID_METABOLISM_IN_TRIPLENEGATIVE_BREAST_CANCER_CELLS,7,1,0.0179261120046831,0.464958530121468,PSAT1
WP_SERINE_METABOLISM,8,1,0.0204611019641356,0.489540869827756,PSAT1
WP_SULFATASE_AND_AROMATASE_PATHWAY,8,1,0.0204611019641356,0.489540869827756,ESR1
WP_SPINAL_CORD_INJURY,87,2,0.0212571315027311,0.489540869827756,"NR4A1,CSPG4"
WP_TOLLLIKE_RECEPTOR_SIGNALING,90,2,0.0226460201297358,0.489540869827756,"CCL4,CCL3"
WP_CELLTYPE_DEPENDENT_SELECTIVITY_OF_CCK2R_SIGNALING,9,1,0.0229896693188819,0.489540869827756,CD38
WP_ESTROGEN_RECEPTOR_PATHWAY,9,1,0.0229896693188819,0.489540869827756,ESR1
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,92,2,0.0235923310760364,0.489540869827756,"MSMO1,FADS2"
WP_INTEGRINMEDIATED_CELL_ADHESION,92,2,0.0235923310760364,0.489540869827756,"BCAR1,ITGA3"
WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS,10,1,0.0255118300348568,0.50240293853702,BCAR1
WP_NPHP1_DELETION_SYNDROME,10,1,0.0255118300348568,0.50240293853702,BCAR1
WP_THERMOGENESIS,97,2,0.026028104044689,0.50240293853702,"RHEB,MGLL"
WP_GPCRS_CLASS_B_SECRETINLIKE,11,1,0.0280276000390702,0.51695351183174,ADGRE1
WP_MAMMARY_GLAND_DEVELOPMENT_PUBERTY_STAGE_2_OF_4,11,1,0.0280276000390702,0.51695351183174,ESR1
WP_MALE_INFERTILITY,104,2,0.0296017044705096,0.534117711098325,"PSAT1,ESR1"
WP_FEMALE_STEROID_HORMONES_IN_CARDIOMYOCYTE_ENERGY_METABOLISM,13,1,0.0330400314261531,0.559657675177695,ESR1
WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS,13,1,0.0330400314261531,0.559657675177695,FADS2
WP_OMEGA9_FATTY_ACID_SYNTHESIS,13,1,0.0330400314261531,0.559657675177695,FADS2
WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,14,1,0.035536724469234,0.567220794412773,CD38
