,Set,N,DE,P.DE,FDR
1,WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,80,4,6.56251579183688e-06,0.00544688810722461
2,WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE,62,3,0.00011552381448086,0.0348642218628111
3,WP_COMPLEMENT_SYSTEM,69,3,0.000158882514305076,0.0348642218628111
4,WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,183,4,0.0001680203463268,0.0348642218628111
5,WP_OLIGODENDROCYTE_SPECIFICATION_AND_DIFFERENTIATION_LEADING_TO_MYELIN_COMPONENTS_FOR_CNS,16,2,0.000268218524563588,0.0445242750775557
6,WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE,21,2,0.000467146542022777,0.0646219383131508
7,WP_LUNG_FIBROSIS,50,2,0.00265069626285854,0.294105967034998
8,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,186,3,0.00283475630877106,0.294105967034998
9,WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY,57,2,0.00343053833098938,0.316371868302354
10,WP_IL18_SIGNALING,237,3,0.00558301457465621,0.460493177394525
11,WP_STEROID_HORMONE_PRECURSOR_BIOSYNTHESIS,4,1,0.00610292162812021,0.460493177394525
12,WP_SPINAL_CORD_INJURY,87,2,0.00781505508519074,0.540541310059026
13,WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING,98,2,0.00982605311059282,0.589655150464833
14,WP_AMINO_ACID_METABOLISM_IN_TRIPLENEGATIVE_BREAST_CANCER_CELLS,7,1,0.0106564183818946,0.589655150464833
15,WP_BENZOAPYRENE_METABOLISM,7,1,0.0106564183818946,0.589655150464833
16,WP_MINERALOCORTICOID_BIOSYNTHESIS,8,1,0.0121697546444081,0.594170373815217
17,WP_SERINE_METABOLISM,8,1,0.0121697546444081,0.594170373815217
18,WP_GLUCOCORTICOID_BIOSYNTHESIS,9,1,0.0136808482842272,0.630839115328255
19,WP_OSTEOPONTIN_SIGNALING,13,1,0.0197028608758232,0.856427760169715
20,WP_OSTEOCLAST_SIGNALING,14,1,0.0212027895576617,0.856427760169715
