,Set,NGenes,Direction,PValue,FDR,DEG.GENES
1,GOBP_DETOXIFICATION_OF_COPPER_ION,10,Up,2.39604157280645e-07,0.00344822946117728,
2,GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND,15,Up,4.32596846214688e-07,0.00344822946117728,
3,GOBP_RESPONSE_TO_CORTICOTROPIN_RELEASING_HORMONE,3,Down,9.79102584263126e-07,0.00520295113277425,
4,GOMF_CHEMOKINE_ACTIVITY,24,Down,1.9831472256847e-06,0.00790383326796636,CXCL3,CXCL2,CCL20
5,GOCC_LYSOSOMAL_LUMEN,62,Up,8.29077379922092e-06,0.026434303181436,EPDR1
6,GOBP_MONOCYTE_AGGREGATION,3,Down,1.81056760979644e-05,0.0401389456292995,IL1B
7,GOBP_CELLULAR_RESPONSE_TO_COPPER_ION,17,Up,1.9864685117196e-05,0.0401389456292995,
8,GOBP_VASCULAR_WOUND_HEALING,9,Down,2.01953724688711e-05,0.0401389456292995,TNFAIP3
9,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,14,Down,2.26603005058146e-05,0.0401389456292995,TNFAIP3
10,GOBP_GRANZYME_MEDIATED_PROGRAMMED_CELL_DEATH_SIGNALING_PATHWAY,5,Up,3.76242086239166e-05,0.0575490789669009,BNIP3
11,GOBP_FEVER_GENERATION,5,Down,3.97089366852283e-05,0.0575490789669009,IL1B
12,GOBP_REGULATION_OF_HEPATOCYTE_PROLIFERATION,10,Down,4.60775599143615e-05,0.0612140383462293,TNFAIP3
13,GOBP_REGULATION_OF_T_CELL_COSTIMULATION,2,Down,5.46619979901705e-05,0.0622960987006382,LILRB2
14,GOBP_REGULATION_OF_CALCIDIOL_1_MONOOXYGENASE_ACTIVITY,4,Down,5.97803207642387e-05,0.0622960987006382,IL1B
15,GOBP_LIVER_MORPHOGENESIS,17,Down,6.19636981919576e-05,0.0622960987006382,IL6,TNFAIP3
16,GOBP_HEAT_GENERATION,9,Down,6.25227436463563e-05,0.0622960987006382,IL1B
17,GOBP_IMMATURE_T_CELL_PROLIFERATION,5,Down,8.2534209801824e-05,0.0720388397280419,IL1B
18,GOBP_RESPONSE_TO_CHEMOKINE,51,Down,8.52196536591038e-05,0.0720388397280419,CXCL3,CXCL2,CCL20,ZC3H12A
19,GOBP_LEUKOCYTE_AGGREGATION,9,Down,8.58573550892483e-05,0.0720388397280419,IL1B
20,GOBP_POSITIVE_REGULATION_OF_IMMATURE_T_CELL_PROLIFERATION,4,Down,0.000101330255098666,0.0757564838724731,IL1B
21,GOBP_HYALURONAN_BIOSYNTHETIC_PROCESS,7,Down,0.000104467253936241,0.0757564838724731,IL1B
22,GOBP_POSITIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS,3,Down,0.00010573145304932,0.0757564838724731,IL1B
23,GOMF_CHEMOKINE_RECEPTOR_BINDING,31,Down,0.000109296144089003,0.0757564838724731,CXCL3,CXCL2,CCL20
24,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION_MOLECULE_PRODUCTION,1,Down,0.000118082810939074,0.0784365071662797,IL1B
25,GOBP_T_HELPER_17_TYPE_IMMUNE_RESPONSE,35,Down,0.00013497926165127,0.0860735755697821,NFKBIZ,IL6,ZC3H12A
26,GOMF_G_PROTEIN_BETA_SUBUNIT_BINDING,6,Up,0.000163706484154911,0.100377260399907,
27,GOBP_POSITIVE_REGULATION_OF_STEROID_HORMONE_SECRETION,5,Up,0.000184419899842704,0.106716396704107,
28,GOCC_ENDOPLASMIC_RETICULUM_LUMEN,160,Up,0.000187433139362376,0.106716396704107,PDGFD,ERAP2,IL6,MELTF,GOLM1,CES1
29,GOCC_VACUOLAR_LUMEN,121,Up,0.000199946945109003,0.108554152587707,EPDR1,FTL
30,GOBP_FEMALE_GENITALIA_DEVELOPMENT,9,Up,0.000209960749370811,0.108554152587707,
31,GOMF_CXCR_CHEMOKINE_RECEPTOR_BINDING,10,Down,0.0002110888677844,0.108554152587707,CXCL3,CXCL2
32,HP_CHERRY_RED_SPOT_OF_THE_MACULA,13,Up,0.000228603498959955,0.112553582113325,
33,GOMF_TESTOSTERONE_DEHYDROGENASE_NAD_P_ACTIVITY,5,Up,0.000235110506601245,0.112553582113325,DHRS9
34,HP_INTRACELLULAR_ACCUMULATION_OF_AUTOFLUORESCENT_LIPOPIGMENT_STORAGE_MATERIAL,13,Up,0.000240046530664475,0.112553582113325,
35,HP_COMPENSATED_HYPOTHYROIDISM,1,Down,0.000270142184587712,0.120877372912193,TANGO2
36,GOBP_REGULATION_OF_GAP_JUNCTION_ASSEMBLY,2,Down,0.00027296358203732,0.120877372912193,IL1B
37,GOBP_POSITIVE_REGULATION_OF_FEVER_GENERATION,4,Down,0.000301482381975723,0.12647979298571,IL1B
38,GOBP_REGULATION_OF_FEVER_GENERATION,4,Down,0.000301482381975723,0.12647979298571,IL1B
39,GOBP_T_HELPER_17_CELL_DIFFERENTIATION,25,Down,0.000329628763630619,0.134216704899594,NFKBIZ,IL6,ZC3H12A
40,GOBP_POSITIVE_REGULATION_OF_HEPATOCYTE_PROLIFERATION,6,Down,0.000336762526407211,0.134216704899594,TNFAIP3
41,GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS,5,Up,0.000397010369690489,0.15436925155136,PTPN3
42,GOBP_POSITIVE_REGULATION_OF_HEAT_GENERATION,6,Down,0.000461774769777927,0.16959305950256,IL1B
43,GOMF_CYTOKINE_ACTIVITY,73,Down,0.00047357326497399,0.16959305950256,CXCL3,CXCL2,IL1B,CCL20,IL6
44,GOBP_GRANULOCYTE_CHEMOTAXIS,81,Down,0.000482285338950365,0.16959305950256,CXCL3,CXCL2,IL1B,PDE4B
45,GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,128,Up,0.000491177505725196,0.16959305950256,NID1,EGFL7,LMAN1,ADAMTS1
46,GOBP_RESPONSE_TO_INTERLEUKIN_17,15,Down,0.000539938821064115,0.16959305950256,NFKBIZ,IL1B
47,GOBP_METANEPHRIC_GLOMERULAR_MESANGIUM_DEVELOPMENT,2,Down,0.000540154058487014,0.16959305950256,EGR1
