Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_CHOLESTEROL_BIOSYNTHESIS,26,Up,2.99837225851646e-10,5.10622795625354e-07,"MSMO1,MVK,FDFT1"
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,41,Up,6.97925611122418e-05,0.0259355768243395,"MVK,FDFT1"
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Down,7.89684150776024e-05,0.0259355768243395,""
REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION,1,Up,0.000106605424410086,0.0259355768243395,FGF10
REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION,1,Up,0.000106605424410086,0.0259355768243395,FGF10
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2,1,Up,0.000106605424410086,0.0259355768243395,FGF10
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS,1,Up,0.000106605424410086,0.0259355768243395,FGF10
REACTOME_CS_DS_DEGRADATION,8,Up,0.000191569329327641,0.0407803209806216,CSPG4
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,54,Up,0.000307263019278563,0.0581409913145992,"MVK,FDFT1"
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,25,Down,0.000462618399696517,0.0738652330716275,CCR1
REACTOME_INTERLEUKIN_10_SIGNALING,33,Down,0.000477109550080976,0.0738652330716275,"CCR1,ICAM1"
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,4,Down,0.000879440178664701,0.111379491578886,""
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD,3,Up,0.00089984210874366,0.111379491578886,CSPG4
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,4,Up,0.000997113039366641,0.111379491578886,""
REACTOME_RESPONSE_TO_METAL_IONS,10,Up,0.00101304413474811,0.111379491578886,""
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Down,0.00110776214468615,0.111379491578886,""
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Down,0.0011118328578045,0.111379491578886,""
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,6,Down,0.00121706512636202,0.115147883899696,""
REACTOME_OAS_ANTIVIRAL_RESPONSE,8,Up,0.00148470455172065,0.123840455697956,""
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,6,Up,0.00150800091596298,0.123840455697956,""
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Down,0.00160964627883522,0.123840455697956,""
REACTOME_METALLOTHIONEINS_BIND_METALS,8,Up,0.00170291780622019,0.123840455697956,""
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,36,Down,0.00170441182922649,0.123840455697956,""
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,18,Up,0.00174525598165059,0.123840455697956,""
REACTOME_DISEASES_OF_GLYCOSYLATION,75,Up,0.00183296810648177,0.124861787413538,CSPG4
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,6,Up,0.00226863127977611,0.132541106677314,""
REACTOME_METABOLISM_OF_STEROIDS,105,Up,0.00234348119382832,0.132541106677314,"MSMO1,MVK,FDFT1"
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE,3,Up,0.0023451636193746,0.132541106677314,CSPG4
REACTOME_SPECIFICATION_OF_PRIMORDIAL_GERM_CELLS,4,Down,0.00244425234577256,0.132541106677314,PRDM1
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,17,Up,0.00254701167655732,0.132541106677314,""
REACTOME_KERATINIZATION,17,Up,0.00254701167655732,0.132541106677314,""
REACTOME_SELENOAMINO_ACID_METABOLISM,100,Down,0.00255078881354429,0.132541106677314,""
