Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_CHOLESTEROL_BIOSYNTHESIS,26,Up,7.34428673144261e-12,1.25073203036468e-08,""
REACTOME_INTERLEUKIN_10_SIGNALING,33,Down,4.48161836886653e-11,3.81609804108985e-08,CCL4
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS,2,Down,2.80431511389337e-06,0.0015919162129868,ADM
REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING,4,Up,4.76668461903957e-06,0.0020294159765561,""
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,139,Up,4.76178548600718e-05,0.016009308544031,""
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,61,Down,5.64039056160811e-05,0.016009308544031,""
REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION,1,Up,0.000254948994976685,0.0402146042033963,""
REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION,1,Up,0.000254948994976685,0.0402146042033963,""
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2,1,Up,0.000254948994976685,0.0402146042033963,""
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS,1,Up,0.000254948994976685,0.0402146042033963,""
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,223,Up,0.000269995976987828,0.0402146042033963,""
REACTOME_SERINE_BIOSYNTHESIS,6,Up,0.000283367733670438,0.0402146042033963,""
REACTOME_SPECIFICATION_OF_PRIMORDIAL_GERM_CELLS,4,Down,0.000455330663858646,0.0585162263313523,""
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,25,Down,0.000511336405971438,0.0585162263313523,CCL4
REACTOME_METABOLISM_OF_STEROIDS,105,Up,0.000515410096870396,0.0585162263313523,""
REACTOME_INTERLEUKIN_1_PROCESSING,9,Down,0.000573137058360828,0.0610032756492806,""
REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS,17,Down,0.000702356086469407,0.0703595538386705,""
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,62,Up,0.000808821438146457,0.0745130052119084,""
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,16,Up,0.000831325366427634,0.0745130052119084,""
REACTOME_COMPLEX_I_BIOGENESIS,62,Up,0.000973012188155227,0.0788662530938668,""
REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION,17,Up,0.00101681164403068,0.0788662530938668,""
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION,25,Down,0.00101882417384913,0.0788662530938668,""
REACTOME_IKBA_VARIANT_LEADS_TO_EDA_ID,7,Down,0.00125204410035072,0.0927057001259686,""
REACTOME_ANCHORING_FIBRIL_FORMATION,1,Up,0.00137770726013006,0.0977598110000623,""
REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES,2,Down,0.00163717686458777,0.111524488015719,""
