Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,86,Up,7.9171731849171e-18,6.52375070437169e-15,RPS6KA3
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,Down,1.65768797656745e-09,6.82967446345791e-07,"IDI1,MSMO1,CYP51A1"
WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,28,Down,2.64114317918472e-09,7.25433993216069e-07,"LDLR,ABCA1,IDI1,MSMO1,CYP51A1"
WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,Down,5.52110650572296e-09,1.13734794017893e-06,"IDI1,MSMO1,CYP51A1"
WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,12,Down,4.65896577721945e-07,7.67797560085766e-05,IDI1
WP_COMPLEMENT_ACTIVATION,12,Up,9.26456644894676e-07,0.000127233379232202,"C3,C8A"
WP_MEVALONATE_PATHWAY,7,Down,2.73695083857521e-06,0.000322178212997996,""
WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,10,Down,6.65137652428989e-06,0.000685091782001859,""
WP_PROSTAGLANDIN_SIGNALING,25,Down,8.67957768031806e-05,0.0079466355650912,"CCR2,MMP9,PTGER4,IL6,IL1B"
WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,41,Down,9.73909937907769e-05,0.00802501788836002,PRKCA
WP_METABOLISM_OF_ALPHALINOLENIC_ACID,4,Down,0.000107588773694313,0.0080593772294649,FADS2
WP_SPINAL_CORD_INJURY,69,Down,0.000121185945435412,0.0083214349198983,"CCR2,MMP9,FCGR2A,IL6,IL1B,RHOB,PRKCA"
WP_FAMILIAL_HYPERLIPIDEMIA_TYPE_3,9,Up,0.000154128497143275,0.00976937551123528,"PLTP,LDLR,APOE"
WP_POSTCOVID_NEUROINFLAMMATION,12,Down,0.000173741176102556,0.0102259092220361,"IL6,IL1B"
WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS,7,Down,0.000233759598889129,0.0128411939656428,CYP51A1
WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS,42,Down,0.000286707054605642,0.0146131879350548,"FADS2,ABCA1,IDI1,MSMO1,CYP51A1"
WP_RAS_AND_BRADYKININ_PATHWAYS_IN_COVID19,12,Down,0.000304907713688509,0.0146131879350548,IL1B
WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,55,Down,0.000319220124794887,0.0146131879350548,""
WP_GASTRIN_SIGNALING,92,Down,0.000353679509099408,0.0153385218683112,"YES1,MEF2C,RHOB,PRKCA"
WP_COMPLEMENTMEDIATED_INFLAMMATION_OF_PULMONARY_ALVEOLUS_IN_COVID19_HYPOTHETICAL_PATHWAY,6,Up,0.000410130008246623,0.0168973563397609,"C3,C8A"
WP_COMMON_PATHWAYS_UNDERLYING_DRUG_ADDICTION,20,Down,0.000472783414024419,0.018551120626482,"PRKCB,PRKCA"
WP_PHYSIOLOGICAL_AND_PATHOLOGICAL_HYPERTROPHY_OF_THE_HEART,17,Down,0.000541579769316322,0.0202846240871204,PRKCB
WP_VITAMIN_D_IN_INFLAMMATORY_DISEASES,21,Down,0.000706893863551269,0.0253252410246194,IL6
WP_17P133_YWHAE_COPY_NUMBER_VARIATION,18,Down,0.000755623007546294,0.0259430565924228,""
WP_PDGF_PATHWAY,36,Down,0.000795070855507658,0.0262055353975324,""
WP_ENVELOPE_PROTEINS_AND_THEIR_POTENTIAL_ROLES_IN_EDMD_PHYSIOPATHOLOGY,32,Down,0.000941110340618542,0.0298259584872953,PLEC
WP_SEROTONIN_HTR1_GROUP_AND_FOS_PATHWAY,28,Down,0.000987851471421032,0.0301477634241085,""
WP_BILE_ACID_SYNTHESIS_AND_ENTEROHEPATIC_CIRCULATION,4,Down,0.00103428451415677,0.0303802236323533,LDLR
WP_INTEGRINMEDIATED_CELL_ADHESION,73,Down,0.00106920689968234,0.0303802236323533,"CAPN11,TNS1,CAPN2,ITGAM"
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY,13,Down,0.00119604024110527,0.0325204714263209,"IL6,IL1B"
WP_SIGNAL_TRANSDUCTION_THROUGH_IL1R,29,Down,0.00122346433764071,0.0325204714263209,"IL6,IL1B"
