gene,logFC,logCPM,LR,PValue,FDR
DEFB1,2.90855435763924,5.88341003992142,52.4618443134664,4.38689217671184e-13,4.94578224002493e-09
NUAK2,-2.05627993681739,0.126078756397077,39.5007153059199,3.27939275196597e-10,1.84859369428322e-06
CCDC88C,1.40259859509928,0.789141208506058,32.0895368003485,1.47228116152376e-08,5.53283260500629e-05
ENPP2,-1.41296876000885,1.53612560067725,31.1897580440288,2.33997393859143e-08,5.60190247441914e-05
C15orf48,-1.48273432727583,6.82680858852852,30.9966220800734,2.58477892166672e-08,5.60190247441914e-05
NID1,1.6225090587563,1.89654489682909,30.7196400268688,2.98132116786543e-08,5.60190247441914e-05
ZC3H12A,-0.909305037391892,2.9603697447324,29.6899799919727,5.06961885210235e-08,8.16498327694313e-05
LINC00482,1.53480635161587,0.438645820792225,28.105080620125,1.14903819121884e-07,0.000161928207097515
CHML,-0.917230911739771,4.6931936539983,26.7049411298062,2.3701465079594e-07,0.000296900352563715
SOD2,-1.2653184756008,8.13679425513318,26.106035919234,3.23172180899745e-07,0.000364344316746372
AQP3,0.967750001439042,7.33596207508585,25.4849634771576,4.4584414766969e-07,0.00045694972007528
HLA-DQA2,-5.87263462291999,7.41050140141332,24.3322753841567,8.10692625690836e-07,0.00076164572183654
PSTPIP2,-1.24696192525202,3.40603836382152,23.9263308602567,1.00093339760392e-06,0.000868040240352819
CLEC1A,-1.07147457600565,1.02249678930261,23.5623385323254,1.20931452440123e-06,0.000960984861931991
NFKB2,-0.979528574358239,2.74026939449226,23.4551716239604,1.27858550017561e-06,0.000960984861931991
PADI2,-3.44722764378528,3.30228705678461,22.9447272298064,1.66726902754011e-06,0.00117479943853045
MIR3142HG,-2.56325674102454,0.716199369668904,22.8111598646201,1.78724874500841e-06,0.00118526131477793
GTF2E1,0.771489878582389,3.92144139425063,21.7599120316228,3.08989330784361e-06,0.00187973182461234
SH3BP4,1.26080074423427,3.21615151713707,21.712080764541,3.16790000599915e-06,0.00187973182461234
FADS2,1.66073054794342,2.07891125677202,21.3464911983572,3.83321685987369e-06,0.0021607843439108
NALCN,1.4377995042246,1.85444913353089,21.2099837998549,4.11614793024302e-06,0.00220978341740761
ZNF503,-1.32620529068898,3.22196518928563,21.0887955266438,4.3848452271554e-06,0.00224703386777045
SERINC2,0.836705489690132,4.65539931854341,20.836897411182,5.00101719921258e-06,0.0023056515050313
CSPG4,1.57808162282553,1.56796709355775,20.7962975262518,5.10816210197087e-06,0.0023056515050313
ZNF366,1.07347583030752,0.57589550907148,20.7945734059148,5.11276278390832e-06,0.0023056515050313
FGF10,1.14656208800906,2.42374536575485,20.4315683775123,6.18018900863845e-06,0.00267982503397654
